特效ID,注释,"作用对象(0.全体,1.目标,2.目标方全体,3.目标方随机单体,4，目标方随机2人，5.目标方随机3人，6.目标方随机4人，11.释放者,12.释放者方全体,13.释放者方随机单体,14. 释放者方目标单体 其它.特殊规则待扩展)",BUFF时机（1.施放技能前，2.施放技能后，3.进入战斗回合，4.死亡时）,"触发条件(-1.击中目标时,-2.没击中目标时,0.一定触发,1-100.概率触发)","效果持续回合(-2.失去目标前有效,-1.当前战斗结束前有效,0.使用完立刻失效,>0.轮到作用对象行动时减1回合，减到0则效果消失)",每减少一个回合时触发的效果，引用本表id,效果结束时触发的效果，0则不触发任何效果，引用本表id(例如预知未来),类别ID,"同效果叠加(0:新生成,1:回合相加,2:无效,3:覆盖,4:同类型叠加,5:同类型无效,6:同类型覆盖)","效果类型(1正面效果,2负面效果)",效果(说明文字，程序不用),效果的持续特效资源,物攻提升百分比,物防提升百分比,特攻提升百分比,特防提升百分比,速度提升百分比,命中提升百分比,闪避提升百分比,暴击率提升百分比,暴击伤害提升百分比,最终伤害提升百分比,回复（释放者）物攻值百分比的生命值,回复（释放者）特攻值百分比的生命值,回复（释放者）生命上限百分比的生命值,回复（释放者）当前生命值百分比的生命值,回复（目标）物攻值百分比的生命值,回复（目标）特攻值百分比的生命值,回复（目标）生命上限百分比的生命值,回复（目标）当前生命值百分比的生命值,回复造成伤害百分比的生命值,随机使用技能,随机攻击目标,不能行动,解除所有负面效果,恢复SP,火系技能威力提升百分比,水系技能威力提升百分比,草系技能威力提升百分比,妖系技能威力提升百分比,恶系技能威力提升百分比,龙系技能威力提升百分比,冰系技能威力百分比,鬼系技能威力百分比,普通系技能威力,电系技能威力,虫系技能威力,飞行系技能威力,地面系技能威力,岩石系技能威力,格斗系技能威力,超能系技能威力,钢系技能威力,毒系技能威力,物理系技能威力提升百分比,特攻系技能威力提升百分比
17112,,1,2,15,1,,,,1,2,有时会使对手畏缩。,,-0.2,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17121,,1,2,25,2,,,,1,2,对手陷入睡眠状态。,6,,,,,,,,,,,,,0.01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
17131,,1,2,15,0,,,,1,2,额外特攻伤害,,,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17501,17501~18000钢系技能,11,2,0,2,,,,1,1,提高自己的防御和特防。,,,0.25,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17502,,11,2,20,2,,,,1,1,有时提高自己防御,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17511,,1,2,0,2,,,,1,2,大幅度降低单体双防。,,,-0.35,,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17512,,1,2,20,2,,,,1,2,降低对手特防,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17513,,1,2,20,2,,,,1,2,有时降低对手物防,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17521,,1,2,0,2,,,,1,2,提高自己的攻击，大幅提高速度。,,0.25,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17531,,11,2,20,1,,,,1,1,有时提高自己物攻,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17532,,11,2,20,2,,,,1,1,有时提高自己物攻,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17541,,1,2,0,0,,,,1,1,攻击必定命中,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17543,,1,2,20,1,,,,1,2,降低对手命中,,,,,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17551,,1,2,35,2,,,,1,2,有时会使对手畏缩。,,-0.2,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17561,,1,2,0,0,,,,1,2,额外物攻伤害,,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18001,18001~18500毒系技能,1,2,60,3,,,,1,2,对方全体中毒,2,,-0.15,,-0.15,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18002,,1,2,15,2,,,,1,2,有时会让对手陷入中毒状态,2,,-0.15,,-0.15,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18003,,1,2,35,2,,,,1,2,有时会让对手陷入中毒状态,2,,-0.15,,-0.15,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18004,,1,2,50,2,,,,1,2,中毒+大幅降低对手的物防。,2,,-0.3,,-0.15,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18005,,1,2,5,2,,,,1,2,有时会让对手陷入中毒状态,2,,-0.15,,-0.15,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18006,,1,2,10,2,,,,1,2,有时会让对手陷入中毒状态,2,,-0.15,,-0.15,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18007,,1,2,15,2,,,,1,2,有时会让对手陷入中毒状态，高几率击中要害,2,,-0.15,,-0.15,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18008,,11,2,0,1,,,,1,2,18007附加高几率击中要害,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18009,,1,2,15,2,,,,1,2,有时会让对手陷入中毒状态。,2,,-0.15,,-0.15,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18010,,1,2,5,2,,,,1,2,有时会让对手陷入中毒状态。,2,,-0.15,,-0.15,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18011,,1,2,10,2,,,,1,2,有时会让对手陷入中毒状态。,2,,-0.15,,-0.15,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18012,,1,2,15,2,,,,1,2,有时会让对手陷入中毒状态+降低特防,2,,-0.15,,-0.15,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18013,,1,2,50,2,,,,1,2,中毒+大幅降低对手的特防。,2,,-0.15,,-0.3,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18014,,1,2,35,3,,,,1,2,中毒+减速,2,,-0.15,,-0.15,-0.3,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18015,,1,2,35,3,,,,1,2,中毒+降双攻,2,-0.15,-0.15,-0.15,-0.15,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18031,,1,2,30,2,,,,1,2,有时会降低对手的特攻。,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18032,,1,2,30,2,,,,1,2,有时会降低对手的物攻。,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,,2,,0,2,,,,1,2,盖欧卡特性,1,-0.01,,-0.01,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20002,,2,,0,2,,,,1,2,,1,-0.02,,-0.02,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20003,,2,,0,2,,,,1,2,,1,-0.03,,-0.03,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20004,,2,,0,2,,,,1,2,,1,-0.04,,-0.04,,,,,,,,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20005,,2,,0,2,,,,1,2,,1,-0.05,,-0.05,,,,,,,,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20006,,2,,0,2,,,,1,2,,1,-0.06,,-0.06,,,,,,,,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20007,,2,,0,2,,,,1,2,,1,-0.07,,-0.07,,,,,,,,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20008,,2,,0,2,,,,1,2,,1,-0.08,,-0.08,,,,,,,,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20009,,2,,0,2,,,,1,2,,1,-0.09,,-0.09,,,,,,,,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010,,2,,0,2,,,,1,2,,1,-0.1,,-0.1,,,,,,,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20011,,2,,0,2,,,,1,2,,1,-0.11,,-0.11,,,,,,,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20012,,2,,0,2,,,,1,2,盖欧卡特性,1,-0.12,,-0.12,,,,,,,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20013,,2,,0,2,,,,1,2,,1,-0.13,,-0.13,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20014,,2,,0,2,,,,1,2,,1,-0.14,,-0.14,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20015,,2,,0,2,,,,1,2,,1,-0.15,,-0.15,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20016,,2,,0,2,,,,1,2,,1,-0.16,,-0.16,,,,,,,,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20017,,2,,0,2,,,,1,2,,1,-0.17,,-0.17,,,,,,,,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20018,,2,,0,2,,,,1,2,,1,-0.18,,-0.18,,,,,,,,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20019,,2,,0,2,,,,1,2,,1,-0.19,,-0.19,,,,,,,,,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020,,2,,0,2,,,,1,2,,1,-0.2,,-0.2,,,,,,,,,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20021,,2,,0,2,,,,1,2,,1,-0.21,,-0.21,,,,,,,,,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20022,,2,,0,2,,,,1,2,,1,-0.22,,-0.22,,,,,,,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20023,,2,,0,2,,,,1,2,,1,-0.23,,-0.23,,,,,,,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20024,,2,,0,2,,,,1,2,,1,-0.24,,-0.24,,,,,,,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20025,,2,,0,2,,,,1,2,,1,-0.25,,-0.25,,,,,,,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20026,,2,,0,2,,,,1,2,,1,-0.26,,-0.26,,,,,,,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20027,,2,,0,2,,,,1,2,,1,-0.27,,-0.27,,,,,,,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20028,,2,,0,2,,,,1,2,,1,-0.28,,-0.28,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20029,,2,,0,2,,,,1,2,,1,-0.29,,-0.29,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20030,,2,,0,2,,,,1,2,,1,-0.3,,-0.3,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20031,,2,,0,2,,,,1,2,,1,-0.31,,-0.31,,,,,,,,,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21001,,11,,100,2,,,,1,1,固拉多技能,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21002,,11,,100,2,,,,1,1,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21003,,11,,100,2,,,,1,1,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21004,,11,,100,2,,,,1,1,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21005,,11,,100,2,,,,1,1,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21006,,11,,100,2,,,,1,1,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21007,,11,,100,2,,,,1,1,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21008,,11,,100,2,,,,1,1,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21009,,11,,100,2,,,,1,1,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21010,,11,,100,2,,,,1,1,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21011,,11,,100,2,,,,1,1,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21051,,1,,0,2,,,,1,2,固拉多特性,1,,-0.01,,-0.01,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21052,,2,,0,2,,,,1,2,,1,,-0.02,,-0.02,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21053,,2,,0,2,,,,1,2,,1,,-0.03,,-0.03,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21054,,2,,0,2,,,,1,2,,1,,-0.04,,-0.04,,,,,,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21055,,2,,0,2,,,,1,2,,1,,-0.05,,-0.05,,,,,,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21056,,2,,0,2,,,,1,2,,1,,-0.06,,-0.06,,,,,,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21057,,2,,0,2,,,,1,2,,1,,-0.07,,-0.07,,,,,,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21058,,2,,0,2,,,,1,2,,1,,-0.08,,-0.08,,,,,,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21059,,2,,0,2,,,,1,2,,1,,-0.09,,-0.09,,,,,,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21060,,2,,0,2,,,,1,2,,1,,-0.1,,-0.1,,,,,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21061,,2,,0,2,,,,1,2,,1,,-0.11,,-0.11,,,,,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21062,,2,,0,2,,,,1,2,,1,,-0.12,,-0.12,,,,,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21063,,2,,0,2,,,,1,2,,1,,-0.13,,-0.13,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21064,,2,,0,2,,,,1,2,,1,,-0.14,,-0.14,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21065,,2,,0,2,,,,1,2,,1,,-0.15,,-0.15,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21066,,2,,0,2,,,,1,2,,1,,-0.16,,-0.16,,,,,,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21067,,2,,0,2,,,,1,2,,1,,-0.17,,-0.17,,,,,,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21068,,2,,0,2,,,,1,2,,1,,-0.18,,-0.18,,,,,,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21069,,2,,0,2,,,,1,2,,1,,-0.19,,-0.19,,,,,,,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21070,,2,,0,2,,,,1,2,,1,,-0.2,,-0.2,,,,,,,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21071,,2,,0,2,,,,1,2,,1,,-0.21,,-0.21,,,,,,,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21072,,2,,0,2,,,,1,2,,1,,-0.22,,-0.22,,,,,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21073,,2,,0,2,,,,1,2,,1,,-0.23,,-0.23,,,,,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21074,,2,,0,2,,,,1,2,,1,,-0.24,,-0.24,,,,,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21075,,2,,0,2,,,,1,2,,1,,-0.25,,-0.25,,,,,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21076,,2,,0,2,,,,1,2,,1,,-0.26,,-0.26,,,,,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21077,,2,,0,2,,,,1,2,,1,,-0.27,,-0.27,,,,,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21078,,2,,0,2,,,,1,2,,1,,-0.28,,-0.28,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21079,,2,,0,2,,,,1,2,,1,,-0.29,,-0.29,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21080,,2,,0,2,,,,1,2,,1,,-0.3,,-0.3,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21081,,2,,0,2,,,,1,2,,1,,-0.31,,-0.31,,,,,,,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22001,,11,,0,2,,,,3,1,时拉比特性,,0.05,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22002,,11,,0,2,,,,3,1,,,0.065,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22003,,11,,0,2,,,,3,1,,,0.08,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22004,,11,,0,2,,,,3,1,,,0.095,,,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22005,,11,,0,2,,,,3,1,,,0.11,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22006,,11,,0,2,,,,3,1,,,0.125,,,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22007,,11,,0,2,,,,3,1,,,0.14,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22008,,11,,0,2,,,,3,1,,,0.155,,,,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22009,,11,,0,2,,,,3,1,,,0.17,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22010,,11,,0,2,,,,3,1,,,0.185,,,,,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22011,,11,,0,2,,,,3,1,,,0.2,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22012,,11,,0,2,,,,3,1,,,0.215,,,,,,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22013,,11,,0,2,,,,3,1,,,0.23,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22014,,11,,0,2,,,,3,1,,,0.245,,,,,,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22015,,11,,0,2,,,,3,1,,,0.26,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22016,,11,,0,2,,,,3,1,,,0.275,,,,,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22017,,11,,0,2,,,,3,1,,,0.29,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22018,,11,,0,2,,,,3,1,,,0.305,,,,,,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22019,,11,,0,2,,,,3,1,,,0.32,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22020,,11,,0,2,,,,3,1,,,0.335,,,,,,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22021,,11,,0,2,,,,3,1,,,0.35,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22022,,11,,0,2,,,,3,1,,,0.365,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22023,,11,,0,2,,,,3,1,,,0.38,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22024,,11,,0,2,,,,3,1,,,0.395,,,,,,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22025,,11,,0,2,,,,3,1,,,0.41,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22026,,11,,0,2,,,,3,1,,,0.425,,,,,,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22027,,11,,0,2,,,,3,1,,,0.44,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22028,,11,,0,2,,,,3,1,,,0.455,,,,,,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22029,,11,,0,2,,,,3,1,,,0.47,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22030,,11,,0,2,,,,3,1,,,0.485,,,,,,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22031,,11,,0,2,,,,3,1,,,0.5,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23001,,1,,3,1,,,,3,2,石化翼龙特性,4,,-0.01,,-0.01,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23002,,1,,3,1,,,,3,2,,4,,-0.02,,-0.02,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23003,,1,,4,1,,,,3,2,,4,,-0.03,,-0.03,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23004,,1,,4,1,,,,3,2,,4,,-0.04,,-0.04,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23005,,1,,5,1,,,,3,2,,4,,-0.05,,-0.05,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23006,,1,,5,1,,,,3,2,,4,,-0.06,,-0.06,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23007,,1,,6,1,,,,3,2,,4,,-0.07,,-0.07,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23008,,1,,6,1,,,,3,2,,4,,-0.08,,-0.08,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23009,,1,,7,1,,,,3,2,,4,,-0.09,,-0.09,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23010,,1,,7,1,,,,3,2,,4,,-0.1,,-0.1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23011,,1,,8,1,,,,3,2,,4,,-0.11,,-0.11,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23012,,1,,8,1,,,,3,2,,4,,-0.12,,-0.12,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23013,,1,,9,1,,,,3,2,,4,,-0.13,,-0.13,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23014,,1,,9,1,,,,3,2,,4,,-0.14,,-0.14,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23015,,1,,10,1,,,,3,2,,4,,-0.15,,-0.15,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23016,,1,,10,1,,,,3,2,,4,,-0.16,,-0.16,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23017,,1,,11,1,,,,3,2,,4,,-0.17,,-0.17,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23018,,1,,11,1,,,,3,2,,4,,-0.18,,-0.18,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23019,,1,,12,1,,,,3,2,,4,,-0.19,,-0.19,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23020,,1,,12,1,,,,3,2,,4,,-0.2,,-0.2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23021,,1,,13,1,,,,3,2,,4,,-0.21,,-0.21,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23022,,1,,13,1,,,,3,2,,4,,-0.22,,-0.22,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23023,,1,,14,1,,,,3,2,,4,,-0.23,,-0.23,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23024,,1,,14,1,,,,3,2,,4,,-0.24,,-0.24,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23025,,1,,15,1,,,,3,2,,4,,-0.25,,-0.25,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23026,,1,,15,1,,,,3,2,,4,,-0.26,,-0.26,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23027,,1,,16,1,,,,3,2,,4,,-0.27,,-0.27,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23028,,1,,16,1,,,,3,2,,4,,-0.28,,-0.28,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23029,,1,,17,1,,,,3,2,,4,,-0.29,,-0.29,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23030,,1,,17,1,,,,3,2,,4,,-0.3,,-0.3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
23031,,1,,18,1,,,,3,2,,4,,-0.31,,-0.31,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
24001,,11,,100,10,,,,1,1,暴鲤龙特性,,0.01,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24002,,11,,100,10,,,,1,1,,,0.01,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24003,,11,,100,10,,,,1,1,,,0.02,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
