强化ID,页签位置,开启关卡限制,等级,"升级下级所需道具数量（经验）(奶糖,道具id：12601）",下一级id,效果引用id,作用属性ID（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼。。）(;分隔）
6051,7,,50,8670,6052,410050,7;13
6052,7,,51,8996,6053,410051,7;13
6053,7,,52,9328,6054,410052,7;13
6054,7,,53,9666,6055,410053,7;13
6055,7,,54,10010,6056,410054,7;13
6056,7,,55,10360,6057,410055,7;13
6057,7,,56,10716,6058,410056,7;13
6058,7,,57,11078,6059,410057,7;13
6059,7,,58,11446,6060,410058,7;13
6060,7,,59,11820,6061,410059,7;13
6061,7,,60,12200,6062,410060,7;13
6062,7,,61,12586,6063,410061,7;13
6063,7,,62,12978,6064,410062,7;13
6064,7,,63,13376,6065,410063,7;13
6065,7,,64,13780,6066,410064,7;13
6066,7,,65,14190,6067,410065,7;13
6067,7,,66,14606,6068,410066,7;13
6068,7,,67,15028,6069,410067,7;13
6069,7,,68,15456,6070,410068,7;13
6070,7,,69,15890,6071,410069,7;13
6071,7,,70,16330,6072,410070,7;13
6072,7,,71,16776,6073,410071,7;13
6073,7,,72,17228,6074,410072,7;13
6074,7,,73,17686,6075,410073,7;13
6075,7,,74,18150,6076,410074,7;13
6076,7,,75,18620,6077,410075,7;13
6077,7,,76,19096,6078,410076,7;13
6078,7,,77,19578,6079,410077,7;13
6079,7,,78,20066,6080,410078,7;13
6080,7,,79,20560,6081,410079,7;13
6081,7,,80,21060,6082,410080,7;13
6082,7,,81,21566,6083,410081,7;13
6083,7,,82,22078,6084,410082,7;13
6084,7,,83,22596,6085,410083,7;13
6085,7,,84,23120,6086,410084,7;13
6086,7,,85,23650,6087,410085,7;13
6087,7,,86,24186,6088,410086,7;13
6088,7,,87,24728,6089,410087,7;13
6089,7,,88,25276,6090,410088,7;13
6090,7,,89,25830,6091,410089,7;13
6091,7,,90,26390,6092,410090,7;13
6092,7,,91,26956,6093,410091,7;13
6093,7,,92,27528,6094,410092,7;13
6094,7,,93,28106,6095,410093,7;13
6095,7,,94,28690,6096,410094,7;13
6096,7,,95,29280,6097,410095,7;13
6097,7,,96,29876,6098,410096,7;13
6098,7,,97,30478,6099,410097,7;13
6099,7,,98,31086,6100,410098,7;13
6100,7,,99,,,410099,7;13
7001,8,,0,20,7002,,8;18
7002,8,,1,46,7003,410001,8;18
7003,8,,2,78,7004,410002,8;18
7004,8,,3,116,7005,410003,8;18
7005,8,,4,160,7006,410004,8;18
7006,8,,5,210,7007,410005,8;18
7007,8,,6,266,7008,410006,8;18
7008,8,,7,328,7009,410007,8;18
7009,8,,8,396,7010,410008,8;18
7010,8,,9,470,7011,410009,8;18
7011,8,,10,550,7012,410010,8;18
7012,8,,11,636,7013,410011,8;18
7013,8,,12,728,7014,410012,8;18
7014,8,,13,826,7015,410013,8;18
7015,8,,14,930,7016,410014,8;18
7016,8,,15,1040,7017,410015,8;18
7017,8,,16,1156,7018,410016,8;18
7018,8,,17,1278,7019,410017,8;18
7019,8,,18,1406,7020,410018,8;18
7020,8,,19,1540,7021,410019,8;18
7021,8,,20,1680,7022,410020,8;18
7022,8,,21,1826,7023,410021,8;18
7023,8,,22,1978,7024,410022,8;18
7024,8,,23,2136,7025,410023,8;18
7025,8,,24,2300,7026,410024,8;18
7026,8,,25,2470,7027,410025,8;18
7027,8,,26,2646,7028,410026,8;18
7028,8,,27,2828,7029,410027,8;18
7029,8,,28,3016,7030,410028,8;18
7030,8,,29,3210,7031,410029,8;18
7031,8,,30,3410,7032,410030,8;18
7032,8,,31,3616,7033,410031,8;18
7033,8,,32,3828,7034,410032,8;18
7034,8,,33,4046,7035,410033,8;18
7035,8,,34,4270,7036,410034,8;18
7036,8,,35,4500,7037,410035,8;18
7037,8,,36,4736,7038,410036,8;18
7038,8,,37,4978,7039,410037,8;18
7039,8,,38,5226,7040,410038,8;18
7040,8,,39,5480,7041,410039,8;18
7041,8,,40,5740,7042,410040,8;18
7042,8,,41,6006,7043,410041,8;18
7043,8,,42,6278,7044,410042,8;18
7044,8,,43,6556,7045,410043,8;18
7045,8,,44,6840,7046,410044,8;18
7046,8,,45,7130,7047,410045,8;18
7047,8,,46,7426,7048,410046,8;18
7048,8,,47,7728,7049,410047,8;18
7049,8,,48,8036,7050,410048,8;18
7050,8,,49,8350,7051,410049,8;18
7051,8,,50,8670,7052,410050,8;18
7052,8,,51,8996,7053,410051,8;18
7053,8,,52,9328,7054,410052,8;18
7054,8,,53,9666,7055,410053,8;18
7055,8,,54,10010,7056,410054,8;18
7056,8,,55,10360,7057,410055,8;18
7057,8,,56,10716,7058,410056,8;18
7058,8,,57,11078,7059,410057,8;18
7059,8,,58,11446,7060,410058,8;18
7060,8,,59,11820,7061,410059,8;18
7061,8,,60,12200,7062,410060,8;18
7062,8,,61,12586,7063,410061,8;18
7063,8,,62,12978,7064,410062,8;18
7064,8,,63,13376,7065,410063,8;18
7065,8,,64,13780,7066,410064,8;18
7066,8,,65,14190,7067,410065,8;18
7067,8,,66,14606,7068,410066,8;18
7068,8,,67,15028,7069,410067,8;18
7069,8,,68,15456,7070,410068,8;18
7070,8,,69,15890,7071,410069,8;18
7071,8,,70,16330,7072,410070,8;18
7072,8,,71,16776,7073,410071,8;18
7073,8,,72,17228,7074,410072,8;18
7074,8,,73,17686,7075,410073,8;18
7075,8,,74,18150,7076,410074,8;18
7076,8,,75,18620,7077,410075,8;18
7077,8,,76,19096,7078,410076,8;18
7078,8,,77,19578,7079,410077,8;18
7079,8,,78,20066,7080,410078,8;18
7080,8,,79,20560,7081,410079,8;18
7081,8,,80,21060,7082,410080,8;18
7082,8,,81,21566,7083,410081,8;18
7083,8,,82,22078,7084,410082,8;18
7084,8,,83,22596,7085,410083,8;18
7085,8,,84,23120,7086,410084,8;18
7086,8,,85,23650,7087,410085,8;18
7087,8,,86,24186,7088,410086,8;18
7088,8,,87,24728,7089,410087,8;18
7089,8,,88,25276,7090,410088,8;18
7090,8,,89,25830,7091,410089,8;18
7091,8,,90,26390,7092,410090,8;18
7092,8,,91,26956,7093,410091,8;18
7093,8,,92,27528,7094,410092,8;18
7094,8,,93,28106,7095,410093,8;18
7095,8,,94,28690,7096,410094,8;18
7096,8,,95,29280,7097,410095,8;18
7097,8,,96,29876,7098,410096,8;18
7098,8,,97,30478,7099,410097,8;18
7099,8,,98,31086,7100,410098,8;18
7100,8,,99,,,410099,8;18
