关卡id,关卡id分段注释,宝可梦id（填-1是随机宝可梦）,等级,阵型所属格子,携带技能(不填为宝可梦该等级所拥有的技能）,BOSS缩放,固定血量值,血量个体值,物攻个体值,特攻个体值,物防个体值,特防个体值,速度个体值,血量努力值,物攻努力值,特攻努力值,物防努力值,特防努力值,速度努力值,亲密度等级,星级,增益效果1,增益效果1参数,增益效果2,增益效果2参数,死亡时增加的血量努力值,死亡时增加的物攻努力值,死亡时增加的特攻努力值,死亡时增加的物防努力值,死亡时增加的特防努力值,死亡时增加的速度努力值,亲密度增加经验
616,,1062,81,1,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
616,,1460,81,2,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
616,,1650,81,4,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
616,,1380,81,5,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
616,,1350,81,7,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
616,,1475,81,9,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
617,,1143,81,2,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
617,,1136,81,3,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
617,,1106,81,4,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
617,,1464,81,6,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
617,,1108,81,8,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
617,,1062,81,1,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
618,,1199,81,2,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
618,,1006,81,3,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
618,,1027,81,4,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
618,,1641,81,5,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
618,,1252,81,7,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
618,,1136,81,9,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
619,,1334,81,3,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
619,,1244,81,2,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
619,,1063,81,4,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
619,,1243,81,5,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
619,,1092,81,7,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
619,,1212,81,1,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
620,,1282,81,8,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
620,,1282,81,6,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
620,,1199,81,4,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
620,,1199,81,3,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
620,,1199,81,2,,,45360,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
620,,1065,81,1,,1.6,129600,40,105,105,20,20,36,20,20,20,20,20,20,24,6,,,,,,,,,,,
621,,1244,82,2,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
621,,1901,82,3,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
621,,1092,82,4,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
621,,1376,82,6,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
621,,1180,82,8,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
621,,1062,82,1,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
622,,1065,82,2,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
622,,1254,82,3,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
622,,1095,82,4,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
622,,1181,82,5,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
622,,1059,82,7,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
622,,1244,82,1,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
623,,1308,82,1,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
623,,1089,82,5,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
623,,1104,82,6,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
623,,1134,82,7,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
623,,1008,82,8,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
623,,1248,82,9,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
624,,1115,82,2,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
624,,1115,82,3,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
624,,1118,82,4,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
624,,1480,82,5,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
624,,1070,82,7,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
624,,1242,82,1,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
625,,1437,82,8,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
625,,1437,82,7,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
625,,1437,82,6,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
625,,1462,82,4,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
625,,1462,82,2,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
625,,1485,82,1,,1.6,135000,40,105,105,20,20,36,30,30,30,30,30,30,24,6,,,,,,,,,,,
626,,1462,82,1,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
626,,1242,82,5,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
626,,1001,82,6,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
626,,1038,82,7,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
626,,1247,82,8,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
626,,1503,82,9,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
627,,1468,82,1,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
627,,1149,82,2,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
627,,1122,82,4,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
627,,1460,82,5,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
627,,1121,82,7,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
627,,1373,82,9,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
628,,1181,82,2,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
628,,1127,82,3,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
628,,1246,82,4,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
628,,1136,82,6,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
628,,1181,82,8,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
628,,1478,82,1,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
629,,1243,82,2,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
629,,1428,82,3,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
629,,1636,82,4,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
629,,1448,82,5,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
629,,1460,82,7,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
629,,1395,82,9,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
630,,1169,82,9,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
630,,1022,82,8,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
630,,1034,82,7,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
630,,1034,82,6,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
630,,1034,82,5,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
630,,1452,82,1,,1.6,135000,40,105,105,20,20,36,20,20,20,20,20,20,24,6,,,,,,,,,,,
631,,1426,83,2,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
631,,1005,83,3,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
631,,1633,83,4,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
631,,1475,83,6,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
631,,1459,83,8,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
631,,1503,83,1,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
632,,1229,83,2,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
632,,1448,83,3,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
632,,1081,83,4,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
632,,1103,83,6,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
632,,1563,83,8,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
632,,1350,83,1,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
633,,1475,83,2,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
633,,1302,83,3,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
633,,1349,83,4,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
633,,1149,83,5,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
633,,1051,83,7,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
633,,1160,83,1,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
634,,1503,83,1,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
634,,1159,83,5,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
634,,1633,83,6,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
634,,1134,83,7,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
634,,1322,83,8,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
634,,1380,83,9,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
635,,1392,83,9,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
635,,1006,83,8,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
635,,1727,83,7,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
635,,1727,83,6,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
635,,1727,83,5,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
635,,1467,83,3,,1.6,135000,40,105,105,20,20,36,20,20,20,20,20,20,24,6,,,,,,,,,,,
636,,1243,83,1,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
636,,1073,83,2,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
636,,1138,83,4,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
636,,1323,83,5,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
636,,1104,83,7,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
636,,1445,83,9,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
637,,1462,83,1,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
637,,1091,83,5,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
637,,1139,83,6,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
637,,1448,83,7,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
637,,1359,83,8,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
637,,1059,83,9,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
638,,1248,83,1,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
638,,1902,83,2,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
638,,1024,83,4,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
638,,1901,83,5,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
638,,1500,83,7,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
638,,1623,83,9,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
639,,1467,83,2,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
639,,1038,83,3,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
639,,1349,83,4,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
639,,1477,83,6,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
639,,1054,83,8,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
639,,1134,83,1,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,6,,,,,,,,,,,
640,,1319,83,8,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
640,,1319,83,7,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
640,,1319,83,6,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
640,,1272,83,4,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
640,,1272,83,2,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
640,,1260,83,3,,1.6,135000,40,105,105,20,20,36,20,20,20,20,20,20,24,7,,,,,,,,,,,
641,,1243,84,3,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
641,,1362,84,2,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
641,,1361,84,4,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
641,,1334,84,5,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
641,,1025,84,7,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
641,,1531,84,1,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
642,,1900,84,2,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
642,,1034,84,3,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
642,,1501,84,4,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
642,,1149,84,6,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
642,,1253,84,8,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
642,,1142,84,1,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
643,,1902,84,2,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
643,,1199,84,3,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
643,,1349,84,4,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
643,,1230,84,6,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
643,,1111,84,8,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
643,,1658,84,1,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
644,,1362,84,2,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
644,,1460,84,3,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
644,,1036,84,4,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
644,,1142,84,5,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
644,,1610,84,7,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
644,,1245,84,1,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
645,,1430,84,4,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
645,,1430,84,3,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
645,,1430,84,2,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
645,,1635,84,8,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
645,,1635,84,6,,,47250,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
645,,1571,84,7,,1.6,135000,40,105,105,20,20,36,20,20,20,20,20,20,24,7,,,,,,,,,,,
646,,1362,84,2,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
646,,1146,84,3,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
646,,1459,84,4,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
646,,1373,84,5,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
646,,1635,84,7,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
646,,1500,84,1,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
647,,1354,84,1,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
647,,1310,84,2,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
647,,1082,84,4,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
647,,1484,84,5,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
647,,1026,84,7,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
647,,1901,84,9,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
648,,1136,84,1,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
648,,1310,84,5,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
648,,1005,84,6,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
648,,1903,84,7,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
648,,1020,84,8,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
648,,1462,84,9,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
649,,1208,84,1,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
649,,1466,84,2,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
649,,1610,84,4,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
649,,1901,84,5,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
649,,1462,84,7,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
649,,1466,84,9,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
650,,1149,84,8,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
650,,1149,84,6,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
650,,1373,84,4,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
650,,1373,84,3,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
650,,1373,84,2,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
650,,1445,84,1,,1.6,140400,40,105,105,20,20,36,30,30,30,30,30,30,24,7,,,,,,,,,,,
651,,1242,85,2,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
651,,1256,85,3,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
651,,1180,85,4,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
651,,1134,85,5,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
651,,1181,85,7,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
651,,1094,85,9,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
652,,1127,85,3,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
652,,1126,85,2,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
652,,1112,85,4,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
652,,1134,85,5,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
652,,1142,85,7,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
652,,1362,85,1,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
653,,1321,85,2,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
653,,1042,85,3,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
653,,1156,85,4,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
653,,1230,85,6,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
653,,1055,85,8,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
653,,1248,85,1,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
654,,1395,85,2,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
654,,1078,85,3,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
654,,1180,85,4,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
654,,1003,85,6,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
654,,1106,85,8,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
654,,1380,85,1,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
655,,1460,85,8,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
655,,1460,85,7,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
655,,1460,85,6,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
655,,1471,85,4,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
655,,1471,85,2,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
655,,1699,85,1,,1.6,140400,40,105,105,20,20,36,20,20,20,20,20,20,24,7,,,,,,,,,,,
656,,1471,85,1,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
656,,1064,85,5,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
656,,1056,85,6,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
656,,1481,85,7,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
656,,1548,85,8,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
656,,1144,85,9,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
657,,1275,85,2,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
657,,1503,85,3,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
657,,1101,85,4,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
657,,1482,85,5,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
657,,1653,85,7,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
657,,1248,85,1,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
658,,1461,85,1,,,49140,40,20,20,20,20,20,0,0,0,0,0,0,24,7,,,,,,,,,,,
