技能,技能图标,技能名字,注释,注释2,伤害类型（默认0.物理伤害 1.特殊伤害 ）,技能分类（1:单体伤害，2：群体伤害，3：单体治疗，4：群体治疗，5：变化，6弹射，7连击）,威力,命中,技能能量,属性ID（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼 9.普通 10.电 11.虫 12.飞行 13.地面 14.岩石 15.格斗 16.超能 17.钢系 18.毒,技能描述,效果注释（不用处理，策划看）,触发效果(|分割),"作用对象(0.全体,1.目标,2.目标方全体,3.目标方随机单体,4.目标方1人+随机1人，5目标方1人+随机2人，6.目标方1人+随机3人，7目标放1人+随机4人.8.连击1次，9连击2次.10连击3次.11.释放者,12.释放者方全体,13.释放者方随机单体,14.释放者方目标单体 其它.特殊规则待扩展)",蓄力动画,释放时播放在释放者身上的特效资源（群体特效）,释放时从释放者飞向目标的特效资源,释放后播放在目标身上的特效资源，若有resFly，则需要飞行特效飞行到目标身上后播放此特效（单体特效）,"抖屏(0:抖,1:不抖)",释放后的音效资源,释放后技能背景资源,释放后出技能名,每场战斗使用次数限制,"是否预览（1是,2否）"
2012507,1,火轮·LV7,单特,,1,1,72,1,25,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2012508,1,火轮·LV8,单特,,1,1,75,1,25,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2012509,1,火轮·LV9,单特,,1,1,77,1,25,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2012510,1,火轮·LV10,单特,,1,1,88,1,25,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013001,1,火轮·LV1,单特,,1,1,60,1,30,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013002,1,火轮·LV2,单特,,1,1,63,1,30,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013003,1,火轮·LV3,单特,,1,1,66,1,30,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013004,1,火轮·LV4,单特,,1,1,69,1,30,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013005,1,火轮·LV5,单特,,1,1,72,1,30,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013006,1,火轮·LV6,单特,,1,1,75,1,30,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013007,1,火轮·LV7,单特,,1,1,86,1,30,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013008,1,火轮·LV8,单特,,1,1,89,1,30,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013009,1,火轮·LV9,单特,,1,1,92,1,30,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013010,1,火轮·LV10,单特,,1,1,104,1,30,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013501,1,火轮·LV1,单特,,1,1,70,1,35,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013502,1,火轮·LV2,单特,,1,1,74,1,35,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013503,1,火轮·LV3,单特,,1,1,77,1,35,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013504,1,火轮·LV4,单特,,1,1,81,1,35,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013505,1,火轮·LV5,单特,,1,1,84,1,35,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013506,1,火轮·LV6,单特,,1,1,88,1,35,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013507,1,火轮·LV7,单特,,1,1,100,1,35,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013508,1,火轮·LV8,单特,,1,1,105,1,35,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013509,1,火轮·LV9,单特,,1,1,108,1,35,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,2
2013510,1,火轮·LV10,单特,,1,1,122,1,35,1,"喷射小型火焰攻击敌方1人,造成特殊伤害",,,1,,,7,8,1,Skillhuo01,,,,1
2014001,2,火焰漩涡·LV1,单特,,1,1,80,1,40,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2014002,2,火焰漩涡·LV2,单特,,1,1,84,1,40,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2014003,2,火焰漩涡·LV3,单特,,1,1,88,1,40,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2014004,2,火焰漩涡·LV4,单特,,1,1,92,1,40,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2014005,2,火焰漩涡·LV5,单特,,1,1,96,1,40,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2014006,2,火焰漩涡·LV6,单特,,1,1,100,1,40,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2014007,2,火焰漩涡·LV7,单特,,1,1,114,1,40,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2014008,2,火焰漩涡·LV8,单特,,1,1,119,1,40,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2014009,2,火焰漩涡·LV9,单特,,1,1,123,1,40,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2014010,2,火焰漩涡·LV10,单特,,1,1,139,1,40,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2014501,2,火焰漩涡·LV1,单特,,1,1,90,1,45,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2014502,2,火焰漩涡·LV2,单特,,1,1,95,1,45,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2014503,2,火焰漩涡·LV3,单特,,1,1,99,1,45,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2014504,2,火焰漩涡·LV4,单特,,1,1,104,1,45,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2014505,2,火焰漩涡·LV5,单特,,1,1,108,1,45,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2014506,2,火焰漩涡·LV6,单特,,1,1,113,1,45,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2014507,2,火焰漩涡·LV7,单特,,1,1,129,1,45,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2014508,2,火焰漩涡·LV8,单特,,1,1,134,1,45,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2014509,2,火焰漩涡·LV9,单特,,1,1,139,1,45,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2014510,2,火焰漩涡·LV10,单特,,1,1,157,1,45,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015001,2,火焰漩涡·LV1,单特,,1,1,100,1,50,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015002,2,火焰漩涡·LV2,单特,,1,1,105,1,50,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015003,2,火焰漩涡·LV3,单特,,1,1,110,1,50,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015004,2,火焰漩涡·LV4,单特,,1,1,115,1,50,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015005,2,火焰漩涡·LV5,单特,,1,1,120,1,50,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015006,2,火焰漩涡·LV6,单特,,1,1,125,1,50,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015007,2,火焰漩涡·LV7,单特,,1,1,143,1,50,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015008,2,火焰漩涡·LV8,单特,,1,1,149,1,50,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015009,2,火焰漩涡·LV9,单特,,1,1,154,1,50,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015010,2,火焰漩涡·LV10,单特,,1,1,174,1,50,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015501,2,火焰漩涡·LV1,单特,,1,1,110,1,55,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015502,2,火焰漩涡·LV2,单特,,1,1,116,1,55,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015503,2,火焰漩涡·LV3,单特,,1,1,121,1,55,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015504,2,火焰漩涡·LV4,单特,,1,1,127,1,55,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015505,2,火焰漩涡·LV5,单特,,1,1,132,1,55,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015506,2,火焰漩涡·LV6,单特,,1,1,138,1,55,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015507,2,火焰漩涡·LV7,单特,,1,1,157,1,55,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015508,2,火焰漩涡·LV8,单特,,1,1,164,1,55,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015509,2,火焰漩涡·LV9,单特,,1,1,169,1,55,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2015510,2,火焰漩涡·LV10,单特,,1,1,192,1,55,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2016001,2,火焰漩涡·LV1,单特,,1,1,120,1,60,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2016002,2,火焰漩涡·LV2,单特,,1,1,126,1,60,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2016003,2,火焰漩涡·LV3,单特,,1,1,132,1,60,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2016004,2,火焰漩涡·LV4,单特,,1,1,138,1,60,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2016005,2,火焰漩涡·LV5,单特,,1,1,144,1,60,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2016006,2,火焰漩涡·LV6,单特,,1,1,150,1,60,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2016007,2,火焰漩涡·LV7,单特,,1,1,172,1,60,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2016008,2,火焰漩涡·LV8,单特,,1,1,178,1,60,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2016009,2,火焰漩涡·LV9,单特,,1,1,185,1,60,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,2
2016010,2,火焰漩涡·LV10,单特,,1,1,209,1,60,1,"喷射炎热火焰攻击敌方1人,造成特殊伤害",,,1,5,,12,8,1,huo,,1,,1
2016501,3,圣之火·LV1,单特,,1,1,130,1,65,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2016502,3,圣之火·LV2,单特,,1,1,137,1,65,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2016503,3,圣之火·LV3,单特,,1,1,143,1,65,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2016504,3,圣之火·LV4,单特,,1,1,150,1,65,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2016505,3,圣之火·LV5,单特,,1,1,156,1,65,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2016506,3,圣之火·LV6,单特,,1,1,163,1,65,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2016507,3,圣之火·LV7,单特,,1,1,186,1,65,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2016508,3,圣之火·LV8,单特,,1,1,194,1,65,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2016509,3,圣之火·LV9,单特,,1,1,200,1,65,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2016510,3,圣之火·LV10,单特,,1,1,227,1,65,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017001,3,圣之火·LV1,单特,,1,1,140,1,70,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017002,3,圣之火·LV2,单特,,1,1,147,1,70,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017003,3,圣之火·LV3,单特,,1,1,154,1,70,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017004,3,圣之火·LV4,单特,,1,1,161,1,70,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017005,3,圣之火·LV5,单特,,1,1,168,1,70,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017006,3,圣之火·LV6,单特,,1,1,175,1,70,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017007,3,圣之火·LV7,单特,,1,1,200,1,70,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017008,3,圣之火·LV8,单特,,1,1,208,1,70,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017009,3,圣之火·LV9,单特,,1,1,216,1,70,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017010,3,圣之火·LV10,单特,,1,1,244,1,70,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017501,3,圣之火·LV1,单特,,1,1,150,1,75,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017502,3,圣之火·LV2,单特,,1,1,158,1,75,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017503,3,圣之火·LV3,单特,,1,1,165,1,75,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017504,3,圣之火·LV4,单特,,1,1,173,1,75,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017505,3,圣之火·LV5,单特,,1,1,180,1,75,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017506,3,圣之火·LV6,单特,,1,1,188,1,75,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017507,3,圣之火·LV7,单特,,1,1,215,1,75,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017508,3,圣之火·LV8,单特,,1,1,223,1,75,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017509,3,圣之火·LV9,单特,,1,1,231,1,75,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2017510,3,圣之火·LV10,单特,,1,1,262,1,75,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018001,3,圣之火·LV1,单特,,1,1,160,1,80,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018002,3,圣之火·LV2,单特,,1,1,168,1,80,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018003,3,圣之火·LV3,单特,,1,1,176,1,80,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018004,3,圣之火·LV4,单特,,1,1,184,1,80,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018005,3,圣之火·LV5,单特,,1,1,192,1,80,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018006,3,圣之火·LV6,单特,,1,1,200,1,80,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018007,3,圣之火·LV7,单特,,1,1,229,1,80,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018008,3,圣之火·LV8,单特,,1,1,238,1,80,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018009,3,圣之火·LV9,单特,,1,1,246,1,80,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018010,3,圣之火·LV10,单特,,1,1,278,1,80,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018501,3,圣之火·LV1,单特,,1,1,170,1,85,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018502,3,圣之火·LV2,单特,,1,1,179,1,85,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018503,3,圣之火·LV3,单特,,1,1,187,1,85,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018504,3,圣之火·LV4,单特,,1,1,196,1,85,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018505,3,圣之火·LV5,单特,,1,1,204,1,85,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018506,3,圣之火·LV6,单特,,1,1,213,1,85,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018507,3,圣之火·LV7,单特,,1,1,243,1,85,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018508,3,圣之火·LV8,单特,,1,1,253,1,85,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018509,3,圣之火·LV9,单特,,1,1,262,1,85,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,2
2018510,3,圣之火·LV10,单特,,1,1,296,1,85,1,"喷射爆炸火焰攻击敌方1人,造成特殊伤害",,,1,5,,11,9,0,Skillbaozha02,1,1,,1
2021501,101,水枪·LV1,单特,,1,1,30,1,15,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2021502,101,水枪·LV2,单特,,1,1,32,1,15,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2021503,101,水枪·LV3,单特,,1,1,33,1,15,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2021504,101,水枪·LV4,单特,,1,1,35,1,15,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2021505,101,水枪·LV5,单特,,1,1,36,1,15,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2021506,101,水枪·LV6,单特,,1,1,38,1,15,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2021507,101,水枪·LV7,单特,,1,1,43,1,15,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2021508,101,水枪·LV8,单特,,1,1,45,1,15,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2021509,101,水枪·LV9,单特,,1,1,46,1,15,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2021510,101,水枪·LV10,单特,,1,1,53,1,15,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022001,101,水枪·LV1,单特,,1,1,40,1,20,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022002,101,水枪·LV2,单特,,1,1,42,1,20,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022003,101,水枪·LV3,单特,,1,1,44,1,20,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022004,101,水枪·LV4,单特,,1,1,46,1,20,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022005,101,水枪·LV5,单特,,1,1,48,1,20,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022006,101,水枪·LV6,单特,,1,1,50,1,20,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022007,101,水枪·LV7,单特,,1,1,57,1,20,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022008,101,水枪·LV8,单特,,1,1,59,1,20,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022009,101,水枪·LV9,单特,,1,1,62,1,20,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022010,101,水枪·LV10,单特,,1,1,70,1,20,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022501,101,水枪·LV1,单特,,1,1,50,1,25,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022502,101,水枪·LV2,单特,,1,1,53,1,25,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022503,101,水枪·LV3,单特,,1,1,55,1,25,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022504,101,水枪·LV4,单特,,1,1,58,1,25,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022505,101,水枪·LV5,单特,,1,1,60,1,25,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022506,101,水枪·LV6,单特,,1,1,63,1,25,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022507,101,水枪·LV7,单特,,1,1,72,1,25,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022508,101,水枪·LV8,单特,,1,1,75,1,25,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022509,101,水枪·LV9,单特,,1,1,77,1,25,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2022510,101,水枪·LV10,单特,,1,1,88,1,25,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2023001,101,水枪·LV1,单特,,1,1,60,1,30,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2023002,101,水枪·LV2,单特,,1,1,63,1,30,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2023003,101,水枪·LV3,单特,,1,1,66,1,30,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2023004,101,水枪·LV4,单特,,1,1,69,1,30,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2023005,101,水枪·LV5,单特,,1,1,72,1,30,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2023006,101,水枪·LV6,单特,,1,1,75,1,30,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2023007,101,水枪·LV7,单特,,1,1,86,1,30,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
2023008,101,水枪·LV8,单特,,1,1,89,1,30,2,"用力喷水,对敌方1人,造成特殊伤害",,,1,,,9,47,1,bing,,1,,2
