效果ID,注释,火系技能威力百分比,水系技能威力百分比,草系技能威力百分比,妖系技能威力百分比,恶系技能威力百分比,龙系技能威力百分比,冰系技能威力百分比,鬼系技能威力百分比,普通系技能威力,电系技能威力,虫系技能威力,飞行系技能威力,地面系技能威力,岩石系技能威力,格斗系技能威力,超能系技能威力,钢系技能威力,毒系技能威力,暴击伤害百分比,暴击率百分比,命中百分比,闪避百分比,伤害增加百分比,伤害减免百分比,血量百分比,物攻百分比,特攻百分比,物防百分比,特防百分比,速度百分比,血量固定值,物攻固定值,特攻固定值,物防固定值,特防固定值,速度固定值
100008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,
100009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,
100010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,
100011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,,,
100012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,,,
100013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,,,
100014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,,,
100015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,,,
100016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,
100017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765,,,
100018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,,,
100019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855,,,
100020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,
100021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945,,,
100022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,,,
100023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035,,,
100024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,,,
100025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,,,
100026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,,,
100027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215,,,
100028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,,,
100029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305,,,
100030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,,,
100031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395,,,
100032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,,,
100033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,,,
100034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530,,,
100035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,,,
100036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620,,,
100037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665,,,
100038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710,,,
100039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1755,,,
100040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,
100041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1845,,,
100042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890,,,
100043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935,,,
100044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,,,
100045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,,,
100046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070,,,
100047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2115,,,
100048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160,,,
100049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2205,,,
100050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,,,
100051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295,,,
100052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2340,,,
100053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385,,,
100054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2430,,,
100055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2475,,,
100056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520,,,
100057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2565,,,
100058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2610,,,
100059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2655,,,
100060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,,,
100061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2745,,,
100062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2790,,,
100063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2835,,,
100064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2880,,,
100065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2925,,,
100066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2970,,,
100067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3015,,,
100068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060,,,
100069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3105,,,
100070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150,,,
100071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3195,,,
100072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3240,,,
100073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3285,,,
100074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3330,,,
100075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3375,,,
100076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3420,,,
100077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3465,,,
100078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3510,,,
100079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3555,,,
100080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,,,
100081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3645,,,
100082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3690,,,
100083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3735,,,
100084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3780,,,
100085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3825,,,
100086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3870,,,
100087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3915,,,
100088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3960,,,
100089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4005,,,
100090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4050,,,
100091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4095,,,
100092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4140,,,
100093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4185,,,
100094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4230,,,
100095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4275,,,
100096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320,,,
100097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4365,,,
100098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4410,,,
100099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4455,,,
100100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,,,
101001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,
101002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,
101003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,
101004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,
101005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,,,
101006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,,,,
101007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,,,,
101008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,
101009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,,,
101010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,,
101011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,,,,
101012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,,,,
101013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,,,,
101014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,,,,
101015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,,,,
101016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,,,
101017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765,,,,
101018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,,,,
101019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855,,,,
101020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,
101021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945,,,,
101022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,,,,
101023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035,,,,
101024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,,,,
101025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,,,,
101026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,,,,
101027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215,,,,
101028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,,,,
101029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305,,,,
101030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,,,,
101031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395,,,,
101032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,,,,
101033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,,,,
101034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530,,,,
101035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,,,,
101036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620,,,,
101037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665,,,,
101038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710,,,,
101039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1755,,,,
101040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,
101041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1845,,,,
101042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890,,,,
101043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935,,,,
101044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,,,,
101045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,,,,
101046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070,,,,
101047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2115,,,,
101048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160,,,,
101049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2205,,,,
101050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,,,,
101051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295,,,,
101052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2340,,,,
101053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385,,,,
101054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2430,,,,
101055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2475,,,,
101056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520,,,,
101057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2565,,,,
101058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2610,,,,
101059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2655,,,,
101060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,,,,
101061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2745,,,,
101062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2790,,,,
101063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2835,,,,
101064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2880,,,,
101065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2925,,,,
101066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2970,,,,
101067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3015,,,,
101068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060,,,,
101069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3105,,,,
101070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150,,,,
101071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3195,,,,
101072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3240,,,,
101073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3285,,,,
101074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3330,,,,
101075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3375,,,,
101076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3420,,,,
101077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3465,,,,
101078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3510,,,,
101079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3555,,,,
101080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,,,,
101081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3645,,,,
101082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3690,,,,
101083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3735,,,,
101084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3780,,,,
101085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3825,,,,
101086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3870,,,,
101087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3915,,,,
101088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3960,,,,
101089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4005,,,,
101090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4050,,,,
101091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4095,,,,
101092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4140,,,,
101093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4185,,,,
101094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4230,,,,
101095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4275,,,,
101096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320,,,,
101097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4365,,,,
101098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4410,,,,
101099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4455,,,,
101100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,,,,
102001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,
102002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,
102003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,
102004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,
102005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,
102006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,
102007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,
102008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,
102009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,
102010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,
102011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,
102012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,
102013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,
102014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,
102015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,
102016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,
102017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765,
102018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,
102019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855,
102020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,
102021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945,
102022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,
102023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035,
102024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,
102025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,
102026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,
102027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215,
102028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,
102029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305,
102030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,
102031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395,
102032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,
102033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,
102034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530,
102035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,
102036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620,
102037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665,
102038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710,
102039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1755,
102040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,
102041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1845,
102042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890,
102043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935,
102044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,
102045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,
102046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070,
102047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2115,
102048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160,
102049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2205,
102050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,
102051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295,
102052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2340,
102053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385,
102054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2430,
102055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2475,
102056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520,
102057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2565,
102058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2610,
102059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2655,
102060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,
102061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2745,
102062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2790,
102063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2835,
102064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2880,
102065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2925,
102066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2970,
102067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3015,
102068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060,
102069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3105,
102070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150,
102071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3195,
102072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3240,
102073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3285,
102074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3330,
102075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3375,
102076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3420,
102077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3465,
102078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3510,
102079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3555,
102080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,
102081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3645,
102082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3690,
102083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3735,
102084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3780,
102085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3825,
102086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3870,
102087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3915,
102088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3960,
102089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4005,
102090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4050,
102091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4095,
102092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4140,
102093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4185,
102094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4230,
102095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4275,
102096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4320,
102097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4365,
102098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4410,
102099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4455,
102100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,
103001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,
103002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,
103003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,
103004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,
103005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,
103006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,,
103007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,,
103008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,
103009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,,
103010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,
103011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,,
103012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,,
103013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,,
103014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,,
103015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,,
103016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,,
103017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765,,
103018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,,
103019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855,,
103020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,
103021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945,,
103022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,,
103023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035,,
103024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080,,
103025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,,
103026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,,
103027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215,,
103028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260,,
103029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305,,
103030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,,
103031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395,,
103032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440,,
103033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485,,
103034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530,,
103035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,,
