道具ID,道具名,道具简介,等级限制,品质（道具框颜色）,排序（不对玩家显示，主要用于排序）,道具类型(1.货币 2.可使用的道具 3.一般消耗素材 4.亲密度道具 5.努力值道具 6.进化素材7.捕捉道具8.技能学习道具9.随机道具10.兑换道具11.精灵碎片 12.角色附魔道具 13.神器强化道具 14.家园建筑制作图纸 15.神器制作图纸 16.用于万能碎片兑换的宝可梦碎片),可使用,所属背包（1.道具 2.学习机. 3.材料 4.其他,"获取面板索引：跳转界面编号出现界面(1:挂机界面,2:精灵界面,3:扭蛋,4:竞技场,5:特殊副本,6:通天塔,7:商店,8:狩猎区,9:主城,10:背包,11:公会,12,角色购买界面,13:活动,14:神兽商店,15:充值,16:任务,17:玩家信息,18:vip,19:称号,20:徽章,21:邮件,22:地图选择,23:聊天,24:好友,25:排行榜,26:培养,27:技能,28:性格,29:图鉴,30:装备,31:队形，32:背包,33:升星,34:确认,35:精灵详情,36:快速战斗,37:签到，41：队伍升级 42:亲密度,43:进化,44:努力值,45:个体值,51:宠物商店，40：秘境，51：终生卡，52：成长基金,72:道馆)",包含道具Loot（引用道具掉落表）（lootid;数量|lootid;数量),获得道具（ID;数量｜ID;数量）,参数预留1（类型5.努力值道具 类型4.亲密度经验.类型7.抓捕增加概率 /100 类型8.引用技能id 类型12.附魔经验）,参数预留2（类型5.努力值道具 类型4.亲密度经验.类型7.抓捕增加概率 /100 类型8.引用技能id 类型12.附魔经验）,购买所需物品id,购买价格,物攻,特攻,物防,特防,速度,生命,,,,,,,,,
601503,大剑鬼碎片,集齐足够数量，就可以在图鉴中兑换大剑鬼,,3,,16,0,4,35;90,,,1503,,,,,,,,,,,,,,,,,,
601531,差不多娃娃碎片,集齐足够数量，就可以在图鉴中兑换差不多娃娃,,3,,16,0,4,35;90,,,1531,,,,,,,,,,,,,,,,,,
601549,裙儿小姐碎片,集齐足够数量，就可以在图鉴中兑换裙儿小姐,,3,,16,0,4,35;90,,,1549,,,,,,,,,,,,,,,,,,
601563,死神棺碎片,集齐足够数量，就可以在图鉴中兑换死神棺,,3,,16,0,4,35;90,,,1563,,,,,,,,,,,,,,,,,,
601612,双斧战龙碎片,集齐足够数量，就可以在图鉴中兑换双斧战龙,,3,,16,0,4,35;90,,,1612,,,,,,,,,,,,,,,,,,
601623,泥偶巨人碎片,集齐足够数量，就可以在图鉴中兑换泥偶巨人,,3,,16,0,4,35;90,,,1623,,,,,,,,,,,,,,,,,,
601635,三首恶龙碎片,集齐足够数量，就可以在图鉴中兑换三首恶龙,,3,,16,0,4,35;90,,,1635,,,,,,,,,,,,,,,,,,
601637,火神虫碎片,集齐足够数量，就可以在图鉴中兑换火神虫,,3,,16,0,4,35;90,,,1637,,,,,,,,,,,,,,,,,,
601641,龙卷云碎片,集齐足够数量，就可以在图鉴中兑换龙卷云,,3,,16,0,4,35;90,,,1641,,,,,,,,,,,,,,,,,,
601642,雷电云碎片,集齐足够数量，就可以在图鉴中兑换雷电云,,3,,16,0,4,35;90,,,1642,,,,,,,,,,,,,,,,,,
601645,土地云碎片,集齐足够数量，就可以在图鉴中兑换土地云,,3,,16,0,4,35;90,,,1645,,,,,,,,,,,,,,,,,,
601652,布里卡隆碎片,集齐足够数量，就可以在图鉴中兑换布里卡隆,,3,,16,0,4,35;90,,,1652,,,,,,,,,,,,,,,,,,
601655,妖火红狐碎片,集齐足够数量，就可以在图鉴中兑换妖火红狐,,3,,16,0,4,35;90,,,1655,,,,,,,,,,,,,,,,,,
601658,甲贺忍蛙碎片,集齐足够数量，就可以在图鉴中兑换甲贺忍蛙,,3,,16,0,4,35;90,,,1658,,,,,,,,,,,,,,,,,,
601900,天气小子碎片,集齐足够数量，就可以在图鉴中兑换天气小子,,3,,16,0,4,35;90,,,1900,,,,,,,,,,,,,,,,,,
601901,水系小子碎片,集齐足够数量，就可以在图鉴中兑换水系小子,,3,,16,0,4,35;90,,,1901,,,,,,,,,,,,,,,,,,
601902,冰系小子碎片,集齐足够数量，就可以在图鉴中兑换冰系小子,,3,,16,0,4,35;90,,,1902,,,,,,,,,,,,,,,,,,
601903,太阳小子碎片,集齐足够数量，就可以在图鉴中兑换太阳小子,,3,,16,0,4,35;90,,,1903,,,,,,,,,,,,,,,,,,
601473,象牙猪碎片,集齐足够数量，就可以在图鉴中兑换象牙猪,,3,,16,0,4,35;90,,,1473,,,,,,,,,,,,,,,,,,
601330,沙漠蜻蜓碎片,集齐足够数量，就可以在图鉴中兑换沙漠蜻蜓,,3,,16,0,4,35;90,,,1330,,,,,,,,,,,,,,,,,,
601346,摇篮百合碎片,集齐足够数量，就可以在图鉴中兑换摇篮百合,,3,,16,0,4,35;90,,,1346,,,,,,,,,,,,,,,,,,
601357,热带龙碎片,集齐足够数量，就可以在图鉴中兑换热带龙,,3,,16,0,4,35;90,,,1357,,,,,,,,,,,,,,,,,,
601365,帝牙海狮碎片,集齐足够数量，就可以在图鉴中兑换帝牙海狮,,3,,16,0,4,35;90,,,1365,,,,,,,,,,,,,,,,,,
601377,雷吉洛克碎片,集齐足够数量，就可以在图鉴中兑换雷吉洛克,,3,,16,0,4,35;90,,,1377,,,,,,,,,,,,,,,,,,
601378,雷吉艾斯碎片,集齐足够数量，就可以在图鉴中兑换雷吉艾斯,,3,,16,0,4,35;90,,,1378,,,,,,,,,,,,,,,,,,
601379,雷吉斯奇鲁碎片,集齐足够数量，就可以在图鉴中兑换雷吉斯奇鲁,,3,,16,0,4,35;90,,,1379,,,,,,,,,,,,,,,,,,
601442,花岩怪碎片,集齐足够数量，就可以在图鉴中兑换花岩怪,,3,,16,0,4,35;90,,,1442,,,,,,,,,,,,,,,,,,
601992,阿罗拉·雷丘碎片,集齐足够数量，就可以在图鉴中兑换阿罗拉·雷丘,,3,,16,0,4,35;90,,,1992,,,,,,,,,,,,,,,,,,
601993,由克希碎片,集齐足够数量，就可以在图鉴中兑换由克希,,3,,16,0,4,35;90,,,1993,,,,,,,,,,,,,,,,,,
601994,艾姆利多碎片,集齐足够数量，就可以在图鉴中兑换艾姆利多,,3,,16,0,4,35;90,,,1994,,,,,,,,,,,,,,,,,,
601995,亚克诺姆碎片,集齐足够数量，就可以在图鉴中兑换亚克诺姆,,3,,16,0,4,35;90,,,1995,,,,,,,,,,,,,,,,,,
601537,蟾蜍王碎片,集齐足够数量，就可以在图鉴中兑换蟾蜍王,,3,,16,0,4,35;90,,,1537,,,,,,,,,,,,,,,,,,
601542,保姆虫碎片,集齐足够数量，就可以在图鉴中兑换保姆虫,,3,,16,0,4,35;90,,,1542,,,,,,,,,,,,,,,,,,
601573,奇诺栗鼠碎片,集齐足够数量，就可以在图鉴中兑换奇诺栗鼠,,3,,16,0,4,35;90,,,1573,,,,,,,,,,,,,,,,,,
601609,水晶灯火灵碎片,集齐足够数量，就可以在图鉴中兑换水晶灯火灵,,3,,16,0,4,35;90,,,1609,,,,,,,,,,,,,,,,,,
601465,巨蔓藤碎片,集齐足够数量，就可以在图鉴中兑换巨蔓藤,,3,,16,0,4,35;90,,,1465,,,,,,,,,,,,,,,,,,
601996,春季鹿碎片,集齐足够数量，就可以在图鉴中兑换春季鹿,,3,,16,0,4,35;90,,,1996,,,,,,,,,,,,,,,,,,
601997,夏季鹿碎片,集齐足够数量，就可以在图鉴中兑换夏季鹿,,3,,16,0,4,35;90,,,1997,,,,,,,,,,,,,,,,,,
601998,秋季鹿碎片,集齐足够数量，就可以在图鉴中兑换秋季鹿,,3,,16,0,4,35;90,,,1998,,,,,,,,,,,,,,,,,,
601999,冬季鹿碎片,集齐足够数量，就可以在图鉴中兑换冬季鹿,,3,,16,0,4,35;90,,,1999,,,,,,,,,,,,,,,,,,
601681,坚盾剑怪碎片,集齐足够数量，就可以在图鉴中兑换坚盾剑怪,,3,,16,0,4,35;90,,,1681,,,,,,,,,,,,,,,,,,
601699,冰雪巨龙碎片,集齐足够数量，就可以在图鉴中兑换冰雪巨龙,,3,,16,0,4,35;90,,,1699,,,,,,,,,,,,,,,,,,
601189,毽子棉碎片,集齐足够数量，就可以在图鉴中兑换毽子棉,,3,,16,0,4,35;90,,,1189,,,,,,,,,,,,,,,,,,
601232,顿甲碎片,集齐足够数量，就可以在图鉴中兑换顿甲,,3,,16,0,4,35;90,,,1232,,,,,,,,,,,,,,,,,,
601262,大狼犬碎片,集齐足够数量，就可以在图鉴中兑换大狼犬,,2,,16,0,4,35;90,,,1262,,,,,,,,,,,,,,,,,,
601435,坦克臭鼬碎片,集齐足够数量，就可以在图鉴中兑换坦克臭鼬,,2,,16,0,4,35;90,,,1435,,,,,,,,,,,,,,,,,,
601452,龙王蝎碎片,集齐足够数量，就可以在图鉴中兑换龙王蝎,,3,,16,0,4,35;90,,,1452,,,,,,,,,,,,,,,,,,
601485,席多蓝恩碎片,集齐足够数量，就可以在图鉴中兑换席多蓝恩,,3,,16,0,4,35;90,,,1485,,,,,,,,,,,,,,,,,,
601518,梦梦蚀碎片,集齐足够数量，就可以在图鉴中兑换梦梦蚀,,3,,16,0,4,35;90,,,1518,,,,,,,,,,,,,,,,,,
601545,蜈蚣王碎片,集齐足够数量，就可以在图鉴中兑换蜈蚣王,,3,,16,0,4,35;90,,,1545,,,,,,,,,,,,,,,,,,
601553,流氓鳄碎片,集齐足够数量，就可以在图鉴中兑换流氓鳄,,3,,16,0,4,35;90,,,1553,,,,,,,,,,,,,,,,,,
601555,达摩狒狒碎片,集齐足够数量，就可以在图鉴中兑换达摩狒狒,,3,,16,0,4,35;90,,,1555,,,,,,,,,,,,,,,,,,
601560,头巾混混碎片,集齐足够数量，就可以在图鉴中兑换头巾混混,,3,,16,0,4,35;90,,,1560,,,,,,,,,,,,,,,,,,
601569,灰尘山碎片,集齐足够数量，就可以在图鉴中兑换灰尘山,,2,,16,0,4,35;90,,,1569,,,,,,,,,,,,,,,,,,
601571,索罗亚克碎片,集齐足够数量，就可以在图鉴中兑换索罗亚克,,3,,16,0,4,35;90,,,1571,,,,,,,,,,,,,,,,,,
601576,哥德小姐碎片,集齐足够数量，就可以在图鉴中兑换哥德小姐,,3,,16,0,4,35;90,,,1576,,,,,,,,,,,,,,,,,,
601584,双倍多多冰碎片,集齐足够数量，就可以在图鉴中兑换双倍多多冰,,3,,16,0,4,35;90,,,1584,,,,,,,,,,,,,,,,,,
601630,秃鹰娜碎片,集齐足够数量，就可以在图鉴中兑换秃鹰娜,,3,,16,0,4,35;90,,,1630,,,,,,,,,,,,,,,,,,
601638,勾帕路翁碎片,集齐足够数量，就可以在图鉴中兑换勾帕路翁,,3,,16,0,4,35;90,,,1638,,,,,,,,,,,,,,,,,,
601639,代拉基翁碎片,集齐足够数量，就可以在图鉴中兑换代拉基翁,,3,,16,0,4,35;90,,,1639,,,,,,,,,,,,,,,,,,
601640,毕力吉翁碎片,集齐足够数量，就可以在图鉴中兑换毕力吉翁,,3,,16,0,4,35;90,,,1640,,,,,,,,,,,,,,,,,,
601614,冻原熊碎片,集齐足够数量，就可以在图鉴中兑换冻原熊,,3,,16,0,4,35;90,,,1614,,,,,,,,,,,,,,,,,,
601986,格斗皮卡丘碎片,集齐足够数量，就可以在图鉴中兑换格斗皮卡丘,,3,,16,0,4,35,,,1986,,,,,,,,,,,,,,,,,,
601987,贵妇皮卡丘碎片,集齐足够数量，就可以在图鉴中兑换贵妇皮卡丘,,3,,16,0,4,35,,,1987,,,,,,,,,,,,,,,,,,
601988,学者皮卡丘碎片,集齐足够数量，就可以在图鉴中兑换学者皮卡丘,,3,,16,0,4,35,,,1988,,,,,,,,,,,,,,,,,,
601989,明星皮卡丘碎片,集齐足够数量，就可以在图鉴中兑换明星皮卡丘,,3,,16,0,4,35,,,1989,,,,,,,,,,,,,,,,,,
601990,摇滚皮卡丘碎片,集齐足够数量，就可以在图鉴中兑换摇滚皮卡丘,,3,,16,0,4,35,,,1990,,,,,,,,,,,,,,,,,,
601984,极冰九尾碎片,集齐足够数量，就可以在图鉴中兑换极冰九尾,,3,,16,0,4,35;90,,,1984,,,,,,,,,,,,,,,,,,
601982,长颈椰蛋树碎片,集齐足够数量，就可以在图鉴中兑换长颈椰蛋树,,3,,16,0,4,35;90,,,1982,,,,,,,,,,,,,,,,,,
601784,杖尾鳞甲龙碎片,集齐足够数量，就可以在图鉴中兑换杖尾鳞甲龙,,3,,16,0,4,35;90,,,1784,,,,,,,,,,,,,,,,,,
601706,黏美龙碎片,集齐足够数量，就可以在图鉴中兑换黏美龙,,3,,16,0,4,35;90,,,1706,,,,,,,,,,,,,,,,,,
601724,狙射树枭碎片,集齐足够数量，就可以在图鉴中兑换狙射树枭,,3,,16,0,4,35;90,,,1724,,,,,,,,,,,,,,,,,,
601727,炽焰咆哮虎碎片,集齐足够数量，就可以在图鉴中兑换炽焰咆哮虎,,3,,16,0,4,35;90,,,1727,,,,,,,,,,,,,,,,,,
601730,西狮海壬碎片,集齐足够数量，就可以在图鉴中兑换西狮海壬,,3,,16,0,4,35;90,,,1730,,,,,,,,,,,,,,,,,,
601002,妙蛙草碎片,集齐足够数量，就可以在图鉴中兑换妙蛙草,,2,,16,0,4,35;90,,,1002,,,,,,,,,,,,,,,,,,
601005,火恐龙碎片,集齐足够数量，就可以在图鉴中兑换火恐龙,,2,,16,0,4,35;90,,,1005,,,,,,,,,,,,,,,,,,
601008,卡咪龟碎片,集齐足够数量，就可以在图鉴中兑换卡咪龟,,2,,16,0,4,35;90,,,1008,,,,,,,,,,,,,,,,,,
601012,巴大蝴碎片,集齐足够数量，就可以在图鉴中兑换巴大蝴,,2,,16,0,4,35;90,,,1012,,,,,,,,,,,,,,,,,,
601020,拉达碎片,集齐足够数量，就可以在图鉴中兑换拉达,,2,,16,0,4,35;90,,,1020,,,,,,,,,,,,,,,,,,
601022,大嘴雀碎片,集齐足够数量，就可以在图鉴中兑换大嘴雀,,2,,16,0,4,35;90,,,1022,,,,,,,,,,,,,,,,,,
601024,阿柏怪碎片,集齐足够数量，就可以在图鉴中兑换阿柏怪,,2,,16,0,4,35;90,,,1024,,,,,,,,,,,,,,,,,,
601025,皮卡丘碎片,集齐足够数量，就可以在图鉴中兑换皮卡丘,,2,,16,0,4,35;90,,,1025,,,,,,,,,,,,,,,,,,
601028,穿山王碎片,集齐足够数量，就可以在图鉴中兑换穿山王,,2,,16,0,4,35;90,,,1028,,,,,,,,,,,,,,,,,,
601030,尼多娜碎片,集齐足够数量，就可以在图鉴中兑换尼多娜,,2,,16,0,4,35;90,,,1030,,,,,,,,,,,,,,,,,,
601033,尼多力诺碎片,集齐足够数量，就可以在图鉴中兑换尼多力诺,,2,,16,0,4,35;90,,,1033,,,,,,,,,,,,,,,,,,
601036,皮可西碎片,集齐足够数量，就可以在图鉴中兑换皮可西,,2,,16,0,4,35;90,,,1036,,,,,,,,,,,,,,,,,,
601040,胖可丁碎片,集齐足够数量，就可以在图鉴中兑换胖可丁,,2,,16,0,4,35;90,,,1040,,,,,,,,,,,,,,,,,,
601042,大嘴蝠碎片,集齐足够数量，就可以在图鉴中兑换大嘴蝠,,2,,16,0,4,35;90,,,1042,,,,,,,,,,,,,,,,,,
601045,霸王花碎片,集齐足够数量，就可以在图鉴中兑换霸王花,,2,,16,0,4,35;90,,,1045,,,,,,,,,,,,,,,,,,
601047,派拉斯特碎片,集齐足够数量，就可以在图鉴中兑换派拉斯特,,2,,16,0,4,35;90,,,1047,,,,,,,,,,,,,,,,,,
601049,摩鲁蛾碎片,集齐足够数量，就可以在图鉴中兑换摩鲁蛾,,2,,16,0,4,35;90,,,1049,,,,,,,,,,,,,,,,,,
601051,三地鼠碎片,集齐足够数量，就可以在图鉴中兑换三地鼠,,2,,16,0,4,35;90,,,1051,,,,,,,,,,,,,,,,,,
601053,猫老大碎片,集齐足够数量，就可以在图鉴中兑换猫老大,,2,,16,0,4,35;90,,,1053,,,,,,,,,,,,,,,,,,
601055,哥达鸭碎片,集齐足够数量，就可以在图鉴中兑换哥达鸭,,2,,16,0,4,35;90,,,1055,,,,,,,,,,,,,,,,,,
601057,火爆猴碎片,集齐足够数量，就可以在图鉴中兑换火爆猴,,2,,16,0,4,35;90,,,1057,,,,,,,,,,,,,,,,,,
601058,卡蒂狗碎片,集齐足够数量，就可以在图鉴中兑换卡蒂狗,,2,,16,0,4,35;90,,,1058,,,,,,,,,,,,,,,,,,
601064,勇基拉碎片,集齐足够数量，就可以在图鉴中兑换勇基拉,,2,,16,0,4,35;90,,,1064,,,,,,,,,,,,,,,,,,
601067,豪力碎片,集齐足够数量，就可以在图鉴中兑换怪力,,2,,16,0,4,35;90,,,1067,,,,,,,,,,,,,,,,,,
601071,大食花碎片,集齐足够数量，就可以在图鉴中兑换大食花,,2,,16,0,4,35;90,,,1071,,,,,,,,,,,,,,,,,,
601072,玛瑙水母碎片,集齐足够数量，就可以在图鉴中兑换玛瑙水母,,2,,16,0,4,35;90,,,1072,,,,,,,,,,,,,,,,,,
601076,隆隆岩碎片,集齐足够数量，就可以在图鉴中兑换隆隆岩,,2,,16,0,4,35;90,,,1076,,,,,,,,,,,,,,,,,,
601077,小火马碎片,集齐足够数量，就可以在图鉴中兑换小火马,,2,,16,0,4,35;90,,,1077,,,,,,,,,,,,,,,,,,
601080,呆河马碎片,集齐足够数量，就可以在图鉴中兑换呆河马,,2,,16,0,4,35;90,,,1080,,,,,,,,,,,,,,,,,,
601082,三合一磁怪碎片,集齐足够数量，就可以在图鉴中兑换三合一磁怪,,2,,16,0,4,35;90,,,1082,,,,,,,,,,,,,,,,,,
601085,嘟嘟利碎片,集齐足够数量，就可以在图鉴中兑换嘟嘟利,,2,,16,0,4,35;90,,,1085,,,,,,,,,,,,,,,,,,
601087,白海狮碎片,集齐足够数量，就可以在图鉴中兑换白海狮,,2,,16,0,4,35;90,,,1087,,,,,,,,,,,,,,,,,,
601089,臭臭泥碎片,集齐足够数量，就可以在图鉴中兑换臭臭泥,,2,,16,0,4,35;90,,,1089,,,,,,,,,,,,,,,,,,
601090,大舌贝碎片,集齐足够数量，就可以在图鉴中兑换大舌贝,,2,,16,0,4,35;90,,,1090,,,,,,,,,,,,,,,,,,
601093,鬼斯通碎片,集齐足够数量，就可以在图鉴中兑换鬼斯通,,2,,16,0,4,35;90,,,1093,,,,,,,,,,,,,,,,,,
601097,素利柏碎片,集齐足够数量，就可以在图鉴中兑换素利柏,,2,,16,0,4,35;90,,,1097,,,,,,,,,,,,,,,,,,
601099,巨钳蟹碎片,集齐足够数量，就可以在图鉴中兑换巨钳蟹,,2,,16,0,4,35;90,,,1099,,,,,,,,,,,,,,,,,,
601101,顽皮弹碎片,集齐足够数量，就可以在图鉴中兑换顽皮弹,,2,,16,0,4,35;90,,,1101,,,,,,,,,,,,,,,,,,
601105,嘎拉嘎拉碎片,集齐足够数量，就可以在图鉴中兑换嘎拉嘎拉,,2,,16,0,4,35;90,,,1105,,,,,,,,,,,,,,,,,,
601106,沙瓦朗碎片,集齐足够数量，就可以在图鉴中兑换沙瓦朗,,2,,16,0,4,35;90,,,1106,,,,,,,,,,,,,,,,,,
601107,艾比朗碎片,集齐足够数量，就可以在图鉴中兑换艾比朗,,2,,16,0,4,35;90,,,1107,,,,,,,,,,,,,,,,,,
601110,双弹瓦斯碎片,集齐足够数量，就可以在图鉴中兑换双弹瓦斯,,2,,16,0,4,35;90,,,1110,,,,,,,,,,,,,,,,,,
601112,铁甲暴龙碎片,集齐足够数量，就可以在图鉴中兑换铁甲暴龙,,2,,16,0,4,35;90,,,1112,,,,,,,,,,,,,,,,,,
601113,吉利蛋碎片,集齐足够数量，就可以在图鉴中兑换吉利蛋,,2,,16,0,4,35;90,,,1113,,,,,,,,,,,,,,,,,,
601114,蔓藤怪碎片,集齐足够数量，就可以在图鉴中兑换蔓藤怪,,2,,16,0,4,35;90,,,1114,,,,,,,,,,,,,,,,,,
601117,海刺龙碎片,集齐足够数量，就可以在图鉴中兑换海刺龙,,2,,16,0,4,35;90,,,1117,,,,,,,,,,,,,,,,,,
601119,金鱼王碎片,集齐足够数量，就可以在图鉴中兑换金鱼王,,2,,16,0,4,35;90,,,1119,,,,,,,,,,,,,,,,,,
601121,宝石海星碎片,集齐足够数量，就可以在图鉴中兑换宝石海星,,3,,16,0,4,35;90,,,1121,,,,,,,,,,,,,,,,,,
601122,吸盘魔偶碎片,集齐足够数量，就可以在图鉴中兑换吸盘魔偶,,2,,16,0,4,35;90,,,1122,,,,,,,,,,,,,,,,,,
601123,飞天螳螂碎片,集齐足够数量，就可以在图鉴中兑换飞天螳螂,,2,,16,0,4,35;90,,,1123,,,,,,,,,,,,,,,,,,
601124,迷唇姐碎片,集齐足够数量，就可以在图鉴中兑换迷唇姐,,2,,16,0,4,35;90,,,1124,,,,,,,,,,,,,,,,,,
601125,电击兽碎片,集齐足够数量，就可以在图鉴中兑换电击兽,,2,,16,0,4,35;90,,,1125,,,,,,,,,,,,,,,,,,
601126,鸭嘴火兽碎片,集齐足够数量，就可以在图鉴中兑换鸭嘴火兽,,2,,16,0,4,35;90,,,1126,,,,,,,,,,,,,,,,,,
601128,肯泰罗碎片,集齐足够数量，就可以在图鉴中兑换肯泰罗,,2,,16,0,4,35;90,,,1128,,,,,,,,,,,,,,,,,,
601133,伊布碎片,集齐足够数量，就可以在图鉴中兑换伊布,,2,,16,0,4,35;90,,,1133,,,,,,,,,,,,,,,,,,
601139,多刺菊石兽碎片,集齐足够数量，就可以在图鉴中兑换多刺菊石兽,,2,,16,0,4,35;90,,,1139,,,,,,,,,,,,,,,,,,
601141,镰刀盔碎片,集齐足够数量，就可以在图鉴中兑换镰刀盔,,2,,16,0,4,35;90,,,1141,,,,,,,,,,,,,,,,,,
601148,哈克龙碎片,集齐足够数量，就可以在图鉴中兑换哈克龙,,2,,16,0,4,35;90,,,1148,,,,,,,,,,,,,,,,,,
601153,月桂叶碎片,集齐足够数量，就可以在图鉴中兑换月桂叶,,2,,16,0,4,35;90,,,1153,,,,,,,,,,,,,,,,,,
601156,火岩鼠碎片,集齐足够数量，就可以在图鉴中兑换火岩鼠,,2,,16,0,4,35;90,,,1156,,,,,,,,,,,,,,,,,,
601159,蓝鳄碎片,集齐足够数量，就可以在图鉴中兑换蓝鳄,,2,,16,0,4,35;90,,,1159,,,,,,,,,,,,,,,,,,
601171,电灯怪碎片,集齐足够数量，就可以在图鉴中兑换电灯怪,,2,,16,0,4,35;90,,,1171,,,,,,,,,,,,,,,,,,
601176,波克基古碎片,集齐足够数量，就可以在图鉴中兑换波克基古,,2,,16,0,4,35;90,,,1176,,,,,,,,,,,,,,,,,,
601180,茸茸羊碎片,集齐足够数量，就可以在图鉴中兑换茸茸羊,,2,,16,0,4,35;90,,,1180,,,,,,,,,,,,,,,,,,
601182,美丽花碎片,集齐足够数量，就可以在图鉴中兑换美丽花,,2,,16,0,4,35;90,,,1182,,,,,,,,,,,,,,,,,,
601185,树才怪碎片,集齐足够数量，就可以在图鉴中兑换树才怪,,2,,16,0,4,35;90,,,1185,,,,,,,,,,,,,,,,,,
601120,海星星碎片,集齐足够数量，就可以在图鉴中兑换海星星,,2,,16,0,4,35;90,,,1120,,,,,,,,,,,,,,,,,,
601202,果然翁碎片,集齐足够数量，就可以在图鉴中兑换果然翁,,2,,16,0,4,35;90,,,1202,,,,,,,,,,,,,,,,,,
601203,麒麟奇碎片,集齐足够数量，就可以在图鉴中兑换麒麟奇,,2,,16,0,4,35;90,,,1203,,,,,,,,,,,,,,,,,,
601206,土龙弟弟碎片,集齐足够数量，就可以在图鉴中兑换土龙弟弟,,2,,16,0,4,35;90,,,1206,,,,,,,,,,,,,,,,,,
601215,狃拉碎片,集齐足够数量，就可以在图鉴中兑换狃拉,,2,,16,0,4,35;90,,,1215,,,,,,,,,,,,,,,,,,
601227,盔甲鸟碎片,集齐足够数量，就可以在图鉴中兑换盔甲鸟,,2,,16,0,4,35;90,,,1227,,,,,,,,,,,,,,,,,,
601228,戴鲁比碎片,集齐足够数量，就可以在图鉴中兑换戴鲁比,,2,,16,0,4,35;90,,,1228,,,,,,,,,,,,,,,,,,
601247,沙基拉斯碎片,集齐足够数量，就可以在图鉴中兑换沙基拉斯,,2,,16,0,4,35;90,,,1247,,,,,,,,,,,,,,,,,,
601253,森林蜥蜴碎片,集齐足够数量，就可以在图鉴中兑换森林蜥蜴,,2,,16,0,4,35;90,,,1253,,,,,,,,,,,,,,,,,,
601256,力壮鸡碎片,集齐足够数量，就可以在图鉴中兑换力壮鸡,,2,,16,0,4,35;90,,,1256,,,,,,,,,,,,,,,,,,
601259,沼跃鱼碎片,集齐足够数量，就可以在图鉴中兑换沼跃鱼,,2,,16,0,4,35;90,,,1259,,,,,,,,,,,,,,,,,,
601274,长鼻叶碎片,集齐足够数量，就可以在图鉴中兑换长鼻叶,,2,,16,0,4,35;90,,,1274,,,,,,,,,,,,,,,,,,
601281,奇鲁莉安碎片,集齐足够数量，就可以在图鉴中兑换奇鲁莉安,,2,,16,0,4,35;90,,,1281,,,,,,,,,,,,,,,,,,
601291,铁面忍者碎片,集齐足够数量，就可以在图鉴中兑换铁面忍者,,2,,16,0,4,35;90,,,1291,,,,,,,,,,,,,,,,,,
601305,可多拉碎片,集齐足够数量，就可以在图鉴中兑换可多拉,,2,,16,0,4,35;90,,,1305,,,,,,,,,,,,,,,,,,
601307,玛沙那碎片,集齐足够数量，就可以在图鉴中兑换玛沙那,,2,,16,0,4,35;90,,,1307,,,,,,,,,,,,,,,,,,
601309,落雷兽碎片,集齐足够数量，就可以在图鉴中兑换落雷兽,,2,,16,0,4,35;90,,,1309,,,,,,,,,,,,,,,,,,
601318,利牙鱼碎片,集齐足够数量，就可以在图鉴中兑换利牙鱼,,2,,16,0,4,35;90,,,1318,,,,,,,,,,,,,,,,,,
601320,吼吼鲸碎片,集齐足够数量，就可以在图鉴中兑换吼吼鲸,,2,,16,0,4,35;90,,,1320,,,,,,,,,,,,,,,,,,
601356,彷徨夜灵碎片,集齐足够数量，就可以在图鉴中兑换彷徨夜灵,,2,,16,0,4,35;90,,,1356,,,,,,,,,,,,,,,,,,
601361,雪童子碎片,集齐足够数量，就可以在图鉴中兑换雪童子,,2,,16,0,4,35;90,,,1361,,,,,,,,,,,,,,,,,,
601372,甲壳龙碎片,集齐足够数量，就可以在图鉴中兑换甲壳龙,,2,,16,0,4,35;90,,,1372,,,,,,,,,,,,,,,,,,
601375,金属怪碎片,集齐足够数量，就可以在图鉴中兑换金属怪,,2,,16,0,4,35;90,,,1375,,,,,,,,,,,,,,,,,,
601391,猛火猴碎片,集齐足够数量，就可以在图鉴中兑换猛火猴,,2,,16,0,4,35;90,,,1391,,,,,,,,,,,,,,,,,,
601394,波皇子碎片,集齐足够数量，就可以在图鉴中兑换波皇子,,2,,16,0,4,35;90,,,1394,,,,,,,,,,,,,,,,,,
601425,飘飘球碎片,集齐足够数量，就可以在图鉴中兑换飘飘球,,2,,16,0,4,35;90,,,1425,,,,,,,,,,,,,,,,,,
601427,卷卷耳碎片,集齐足够数量，就可以在图鉴中兑换卷卷耳,,2,,16,0,4,35;90,,,1427,,,,,,,,,,,,,,,,,,
601430,乌鸦头头碎片,集齐足够数量，就可以在图鉴中兑换乌鸦头头,,3,,16,0,4,35;90,,,1430,,,,,,,,,,,,,,,,,,
601444,尖牙陆鲨碎片,集齐足够数量，就可以在图鉴中兑换尖牙陆鲨,,2,,16,0,4,35;90,,,1444,,,,,,,,,,,,,,,,,,
601446,小卡比兽碎片,集齐足够数量，就可以在图鉴中兑换小卡比兽,,2,,16,0,4,35;90,,,1446,,,,,,,,,,,,,,,,,,
601459,雪笠怪碎片,集齐足够数量，就可以在图鉴中兑换雪笠怪,,2,,16,0,4,35;90,,,1459,,,,,,,,,,,,,,,,,,
