预览位置（1.钻石扭蛋，2.扭蛋十抽，3.工会商店，4.竞技商店，5宝可梦商店，6.秒杀专场商店）,"所在商店类型(1.学习机 2.公会商店 3.竞技场商店 4.宠物商店 5.特惠商店，6大赛商店，7道馆商店，8专场秒杀,9携带品）",购买次数限制(不填没限制）,"购买条件限制类型(不填没有,1:道馆声望)",购买条件限制数值,重置周期（天）不填为系统不自动刷新,起始时间,结束时间,商品id（道具id;数量）,购买价格（道具id；数量）,走马灯标记,周期标记(1为7天，2为30天，3为五折，4为七折，5为1折 不填为无),是否显示（0/null=显示，1=不显示）
number,number,number,number,number,number,string,string,string,string,number,number,number
id,type,countLimit,buyLimitType,buyLimitNumber,refreshCycle,startTime,dedTime,goods,price,notify,cycleNotify,display
552,1,1,,,,,,810147;1,10308;20,,,
553,1,1,,,,,,810148;1,10308;50,,,
554,1,1,,,,,,810149;1,10309;20,,,
555,1,1,,,,,,810150;1,10309;50,,,
556,1,1,,,,,,810196;1,10308;10,,,
557,1,1,,,,,,810197;1,10308;20,,,
558,1,1,,,,,,810198;1,10308;50,,,
559,1,1,,,,,,810199;1,10309;20,,,
560,1,1,,,,,,810200;1,10309;50,,,
561,1,1,,,,,,810246;1,10308;10,,,
562,1,1,,,,,,810247;1,10308;20,,,
563,1,1,,,,,,810248;1,10308;50,,,
564,1,1,,,,,,810249;1,10309;20,,,
565,1,1,,,,,,810250;1,10309;50,,,
566,1,1,,,,,,810296;1,10308;10,,,
567,1,1,,,,,,810297;1,10308;20,,,
568,1,1,,,,,,810298;1,10308;50,,,
569,1,1,,,,,,810299;1,10309;20,,,
570,1,1,,,,,,810300;1,10309;50,,,
571,1,1,,,,,,810326;1,10308;10,,,
572,1,1,,,,,,810327;1,10308;20,,,
573,1,1,,,,,,810328;1,10308;50,,,
574,1,1,,,,,,810329;1,10309;20,,,
575,1,1,,,,,,810330;1,10309;50,,,
576,1,1,,,,,,810356;1,10308;10,,,
577,1,1,,,,,,810357;1,10308;20,,,
578,1,1,,,,,,810358;1,10308;50,,,
579,1,1,,,,,,810359;1,10309;20,,,
580,1,1,,,,,,810360;1,10309;50,,,
581,1,1,,,,,,810396;1,10308;10,,,
582,1,1,,,,,,810397;1,10308;20,,,
583,1,1,,,,,,810398;1,10308;50,,,
584,1,1,,,,,,810399;1,10309;20,,,
585,1,1,,,,,,810400;1,10309;50,,,
586,1,1,,,,,,810426;1,10308;10,,,
587,1,1,,,,,,810427;1,10308;20,,,
588,1,1,,,,,,810428;1,10308;50,,,
589,1,1,,,,,,810429;1,10309;20,,,
590,1,1,,,,,,810430;1,10309;50,,,
591,1,1,,,,,,810456;1,10308;10,,,
592,1,1,,,,,,810457;1,10308;20,,,
593,1,1,,,,,,810458;1,10308;50,,,
594,1,1,,,,,,810459;1,10309;20,,,
595,1,1,,,,,,810460;1,10309;50,,,
596,1,1,,,,,,810496;1,10308;10,,,
597,1,1,,,,,,810497;1,10308;20,,,
598,1,1,,,,,,810498;1,10308;50,,,
599,1,1,,,,,,810499;1,10309;20,,,
600,1,1,,,,,,810500;1,10309;50,,,
601,1,1,,,,,,811046;1,10308;10,,,
602,1,1,,,,,,811047;1,10308;20,,,
603,1,1,,,,,,811048;1,10308;50,,,
604,1,1,,,,,,811049;1,10309;20,,,
605,1,1,,,,,,811050;1,10309;50,,,
606,1,1,,,,,,811096;1,10308;10,,,
607,1,1,,,,,,811097;1,10308;20,,,
608,1,1,,,,,,811098;1,10308;50,,,
609,1,1,,,,,,811099;1,10309;20,,,
610,1,1,,,,,,811100;1,10309;50,,,
611,1,1,,,,,,811146;1,10308;10,,,
612,1,1,,,,,,811147;1,10308;20,,,
613,1,1,,,,,,811148;1,10308;50,,,
614,1,1,,,,,,811149;1,10309;20,,,
615,1,1,,,,,,811150;1,10309;50,,,
616,1,1,,,,,,811196;1,10308;10,,,
617,1,1,,,,,,811197;1,10308;20,,,
618,1,1,,,,,,811198;1,10308;50,,,
619,1,1,,,,,,811199;1,10309;20,,,
620,1,1,,,,,,811200;1,10309;50,,,
621,1,1,,,,,,811246;1,10308;10,,,
622,1,1,,,,,,811247;1,10308;20,,,
623,1,1,,,,,,811248;1,10308;50,,,
624,1,1,,,,,,811249;1,10309;20,,,
625,1,1,,,,,,811250;1,10309;50,,,
626,1,1,,,,,,811296;1,10308;10,,,
627,1,1,,,,,,811297;1,10308;20,,,
628,1,1,,,,,,811298;1,10308;50,,,
629,1,1,,,,,,811299;1,10309;20,,,
630,1,1,,,,,,811300;1,10309;50,,,
631,1,1,,,,,,811326;1,10308;10,,,
632,1,1,,,,,,811327;1,10308;20,,,
633,1,1,,,,,,811328;1,10308;50,,,
634,1,1,,,,,,811329;1,10309;20,,,
635,1,1,,,,,,811330;1,10309;50,,,
636,1,1,,,,,,811356;1,10308;10,,,
637,1,1,,,,,,811357;1,10308;20,,,
638,1,1,,,,,,811358;1,10308;50,,,
639,1,1,,,,,,811359;1,10309;20,,,
640,1,1,,,,,,811360;1,10309;50,,,
641,1,1,,,,,,811396;1,10308;10,,,
642,1,1,,,,,,811397;1,10308;20,,,
643,1,1,,,,,,811398;1,10308;50,,,
644,1,1,,,,,,811399;1,10309;20,,,
645,1,1,,,,,,811400;1,10309;50,,,
646,1,1,,,,,,811426;1,10308;10,,,
647,1,1,,,,,,811427;1,10308;20,,,
648,1,1,,,,,,811428;1,10308;50,,,
649,1,1,,,,,,811429;1,10309;20,,,
650,1,1,,,,,,811430;1,10309;50,,,
651,1,1,,,,,,811456;1,10308;10,,,
652,1,1,,,,,,811457;1,10308;20,,,
653,1,1,,,,,,811458;1,10308;50,,,
654,1,1,,,,,,811459;1,10309;20,,,
655,1,1,,,,,,811460;1,10309;50,,,
656,1,1,,,,,,811496;1,10308;10,,,
657,1,1,,,,,,811497;1,10308;20,,,
658,1,1,,,,,,811498;1,10308;50,,,
659,1,1,,,,,,811499;1,10309;20,,,
660,1,1,,,,,,811500;1,10309;50,,,
661,1,1,,,,,,812046;1,10308;10,,,
662,1,1,,,,,,812047;1,10308;20,,,
663,1,1,,,,,,812048;1,10308;50,,,
664,1,1,,,,,,812049;1,10309;20,,,
665,1,1,,,,,,812050;1,10309;50,,,
666,1,1,,,,,,812096;1,10308;10,,,
667,1,1,,,,,,812097;1,10308;20,,,
668,1,1,,,,,,812098;1,10308;50,,,
669,1,1,,,,,,812099;1,10309;20,,,
670,1,1,,,,,,812100;1,10309;50,,,
671,1,1,,,,,,812146;1,10308;10,,,
672,1,1,,,,,,812147;1,10308;20,,,
673,1,1,,,,,,812148;1,10308;50,,,
674,1,1,,,,,,812149;1,10309;20,,,
675,1,1,,,,,,812150;1,10309;50,,,
676,1,1,,,,,,812196;1,10308;10,,,
677,1,1,,,,,,812197;1,10308;20,,,
678,1,1,,,,,,812198;1,10308;50,,,
679,1,1,,,,,,812199;1,10309;20,,,
680,1,1,,,,,,812200;1,10309;50,,,
681,1,1,,,,,,812246;1,10308;10,,,
682,1,1,,,,,,812247;1,10308;20,,,
683,1,1,,,,,,812248;1,10308;50,,,
684,1,1,,,,,,812249;1,10309;20,,,
685,1,1,,,,,,812250;1,10309;50,,,
686,1,1,,,,,,812296;1,10308;10,,,
687,1,1,,,,,,812297;1,10308;20,,,
688,1,1,,,,,,812298;1,10308;50,,,
689,1,1,,,,,,812299;1,10309;20,,,
690,1,1,,,,,,812300;1,10309;50,,,
691,1,1,,,,,,812326;1,10308;10,,,
692,1,1,,,,,,812327;1,10308;20,,,
693,1,1,,,,,,812328;1,10308;50,,,
694,1,1,,,,,,812329;1,10309;20,,,
695,1,1,,,,,,812330;1,10309;50,,,
696,1,1,,,,,,812356;1,10308;10,,,
697,1,1,,,,,,812357;1,10308;20,,,
698,1,1,,,,,,812358;1,10308;50,,,
699,1,1,,,,,,812359;1,10309;20,,,
700,1,1,,,,,,812360;1,10309;50,,,
701,1,1,,,,,,812396;1,10308;10,,,
702,1,1,,,,,,812397;1,10308;20,,,
703,1,1,,,,,,812398;1,10308;50,,,
704,1,1,,,,,,812399;1,10309;20,,,
705,1,1,,,,,,812400;1,10309;50,,,
706,1,1,,,,,,812426;1,10308;10,,,
707,1,1,,,,,,812427;1,10308;20,,,
708,1,1,,,,,,812428;1,10308;50,,,
709,1,1,,,,,,812429;1,10309;20,,,
710,1,1,,,,,,812430;1,10309;50,,,
711,1,1,,,,,,812456;1,10308;10,,,
712,1,1,,,,,,812457;1,10308;20,,,
713,1,1,,,,,,812458;1,10308;50,,,
714,1,1,,,,,,812459;1,10309;20,,,
715,1,1,,,,,,812460;1,10309;50,,,
716,1,1,,,,,,812496;1,10308;10,,,
717,1,1,,,,,,812497;1,10308;20,,,
718,1,1,,,,,,812498;1,10308;50,,,
719,1,1,,,,,,812499;1,10309;20,,,
720,1,1,,,,,,812500;1,10309;50,,,
721,1,1,,,,,,813046;1,10308;10,,,
722,1,1,,,,,,813047;1,10308;20,,,
723,1,1,,,,,,813048;1,10308;50,,,
724,1,1,,,,,,813049;1,10309;20,,,
725,1,1,,,,,,813050;1,10309;50,,,
726,1,1,,,,,,813096;1,10308;10,,,
727,1,1,,,,,,813097;1,10308;20,,,
728,1,1,,,,,,813098;1,10308;50,,,
729,1,1,,,,,,813099;1,10309;20,,,
730,1,1,,,,,,813100;1,10309;50,,,
731,1,1,,,,,,813146;1,10308;10,,,
732,1,1,,,,,,813147;1,10308;20,,,
733,1,1,,,,,,813148;1,10308;50,,,
734,1,1,,,,,,813149;1,10309;20,,,
735,1,1,,,,,,813150;1,10309;50,,,
736,1,1,,,,,,813196;1,10308;10,,,
737,1,1,,,,,,813197;1,10308;20,,,
738,1,1,,,,,,813198;1,10308;50,,,
739,1,1,,,,,,813199;1,10309;20,,,
740,1,1,,,,,,813200;1,10309;50,,,
741,1,1,,,,,,813246;1,10308;10,,,
742,1,1,,,,,,813247;1,10308;20,,,
743,1,1,,,,,,813248;1,10308;50,,,
744,1,1,,,,,,813249;1,10309;20,,,
745,1,1,,,,,,813250;1,10309;50,,,
746,1,1,,,,,,813296;1,10308;10,,,
747,1,1,,,,,,813297;1,10308;20,,,
748,1,1,,,,,,813298;1,10308;50,,,
749,1,1,,,,,,813299;1,10309;20,,,
750,1,1,,,,,,813300;1,10309;50,,,
751,1,1,,,,,,813326;1,10308;10,,,
752,1,1,,,,,,813327;1,10308;20,,,
753,1,1,,,,,,813328;1,10308;50,,,
754,1,1,,,,,,813329;1,10309;20,,,
755,1,1,,,,,,813330;1,10309;50,,,
756,1,1,,,,,,813356;1,10308;10,,,
757,1,1,,,,,,813357;1,10308;20,,,
758,1,1,,,,,,813358;1,10308;50,,,
759,1,1,,,,,,813359;1,10309;20,,,
760,1,1,,,,,,813360;1,10309;50,,,
761,1,1,,,,,,813396;1,10308;10,,,
762,1,1,,,,,,813397;1,10308;20,,,
763,1,1,,,,,,813398;1,10308;50,,,
764,1,1,,,,,,813399;1,10309;20,,,
765,1,1,,,,,,813400;1,10309;50,,,
766,1,1,,,,,,813426;1,10308;10,,,
767,1,1,,,,,,813427;1,10308;20,,,
768,1,1,,,,,,813428;1,10308;50,,,
769,1,1,,,,,,813429;1,10309;20,,,
770,1,1,,,,,,813430;1,10309;50,,,
771,1,1,,,,,,813456;1,10308;10,,,
772,1,1,,,,,,813457;1,10308;20,,,
773,1,1,,,,,,813458;1,10308;50,,,
774,1,1,,,,,,813459;1,10309;20,,,
775,1,1,,,,,,813460;1,10309;50,,,
776,1,1,,,,,,813496;1,10308;10,,,
777,1,1,,,,,,813497;1,10308;20,,,
778,1,1,,,,,,813498;1,10308;50,,,
779,1,1,,,,,,813499;1,10309;20,,,
780,1,1,,,,,,813500;1,10309;50,,,
781,1,1,,,,,,814046;1,10308;10,,,
782,1,1,,,,,,814047;1,10308;20,,,
783,1,1,,,,,,814048;1,10308;50,,,
784,1,1,,,,,,814049;1,10309;20,,,
785,1,1,,,,,,814050;1,10309;50,,,
786,1,1,,,,,,814096;1,10308;10,,,
787,1,1,,,,,,814097;1,10308;20,,,
788,1,1,,,,,,814098;1,10308;50,,,
789,1,1,,,,,,814099;1,10309;20,,,
790,1,1,,,,,,814100;1,10309;50,,,
791,1,1,,,,,,814146;1,10308;10,,,
792,1,1,,,,,,814147;1,10308;20,,,
793,1,1,,,,,,814148;1,10308;50,,,
794,1,1,,,,,,814149;1,10309;20,,,
795,1,1,,,,,,814150;1,10309;50,,,
796,1,1,,,,,,814196;1,10308;10,,,
797,1,1,,,,,,814197;1,10308;20,,,
798,1,1,,,,,,814198;1,10308;50,,,
799,1,1,,,,,,814199;1,10309;20,,,
800,1,1,,,,,,814200;1,10309;50,,,
801,1,1,,,,,,814246;1,10308;10,,,
802,1,1,,,,,,814247;1,10308;20,,,
803,1,1,,,,,,814248;1,10308;50,,,
804,1,1,,,,,,814249;1,10309;20,,,
805,1,1,,,,,,814250;1,10309;50,,,
806,1,1,,,,,,814296;1,10308;10,,,
807,1,1,,,,,,814297;1,10308;20,,,
808,1,1,,,,,,814298;1,10308;50,,,
809,1,1,,,,,,814299;1,10309;20,,,
810,1,1,,,,,,814300;1,10309;50,,,
811,1,1,,,,,,814326;1,10308;10,,,
812,1,1,,,,,,814327;1,10308;20,,,
813,1,1,,,,,,814328;1,10308;50,,,
814,1,1,,,,,,814329;1,10309;20,,,
815,1,1,,,,,,814330;1,10309;50,,,
816,1,1,,,,,,814356;1,10308;10,,,
817,1,1,,,,,,814357;1,10308;20,,,
818,1,1,,,,,,814358;1,10308;50,,,
819,1,1,,,,,,814359;1,10309;20,,,
820,1,1,,,,,,814360;1,10309;50,,,
821,1,1,,,,,,814396;1,10308;10,,,
822,1,1,,,,,,814397;1,10308;20,,,
823,1,1,,,,,,814398;1,10308;50,,,
824,1,1,,,,,,814399;1,10309;20,,,
825,1,1,,,,,,814400;1,10309;50,,,
826,1,1,,,,,,814426;1,10308;10,,,
827,1,1,,,,,,814427;1,10308;20,,,
828,1,1,,,,,,814428;1,10308;50,,,
829,1,1,,,,,,814429;1,10309;20,,,
830,1,1,,,,,,814430;1,10309;50,,,
831,1,1,,,,,,814456;1,10308;10,,,
832,1,1,,,,,,814457;1,10308;20,,,
833,1,1,,,,,,814458;1,10308;50,,,
834,1,1,,,,,,814459;1,10309;20,,,
835,1,1,,,,,,814460;1,10309;50,,,
836,1,1,,,,,,814496;1,10308;10,,,
837,1,1,,,,,,814497;1,10308;20,,,
838,1,1,,,,,,814498;1,10308;50,,,
839,1,1,,,,,,814499;1,10309;20,,,
840,1,1,,,,,,814500;1,10309;50,,,
841,1,1,,,,,,815046;1,10308;10,,,
842,1,1,,,,,,815047;1,10308;20,,,
843,1,1,,,,,,815048;1,10308;50,,,
844,1,1,,,,,,815049;1,10309;20,,,
845,1,1,,,,,,815050;1,10309;50,,,
846,1,1,,,,,,815096;1,10308;10,,,
847,1,1,,,,,,815097;1,10308;20,,,
848,1,1,,,,,,815098;1,10308;50,,,
849,1,1,,,,,,815099;1,10309;20,,,
850,1,1,,,,,,815100;1,10309;50,,,
851,1,1,,,,,,815146;1,10308;10,,,
852,1,1,,,,,,815147;1,10308;20,,,
853,1,1,,,,,,815148;1,10308;50,,,
854,1,1,,,,,,815149;1,10309;20,,,
855,1,1,,,,,,815150;1,10309;50,,,
856,1,1,,,,,,815196;1,10308;10,,,
857,1,1,,,,,,815197;1,10308;20,,,
858,1,1,,,,,,815198;1,10308;50,,,
859,1,1,,,,,,815199;1,10309;20,,,
860,1,1,,,,,,815200;1,10309;50,,,
861,1,1,,,,,,815246;1,10308;10,,,
862,1,1,,,,,,815247;1,10308;20,,,
863,1,1,,,,,,815248;1,10308;50,,,
864,1,1,,,,,,815249;1,10309;20,,,
865,1,1,,,,,,815250;1,10309;50,,,
866,1,1,,,,,,815296;1,10308;10,,,
867,1,1,,,,,,815297;1,10308;20,,,
868,1,1,,,,,,815298;1,10308;50,,,
869,1,1,,,,,,815299;1,10309;20,,,
870,1,1,,,,,,815300;1,10309;50,,,
871,1,1,,,,,,815326;1,10308;10,,,
872,1,1,,,,,,815327;1,10308;20,,,
873,1,1,,,,,,815328;1,10308;50,,,
874,1,1,,,,,,815329;1,10309;20,,,
875,1,1,,,,,,815330;1,10309;50,,,
876,1,1,,,,,,815356;1,10308;10,,,
877,1,1,,,,,,815357;1,10308;20,,,
878,1,1,,,,,,815358;1,10308;50,,,
879,1,1,,,,,,815359;1,10309;20,,,
880,1,1,,,,,,815360;1,10309;50,,,
881,1,1,,,,,,815396;1,10308;10,,,
882,1,1,,,,,,815397;1,10308;20,,,
883,1,1,,,,,,815398;1,10308;50,,,
884,1,1,,,,,,815399;1,10309;20,,,
885,1,1,,,,,,815400;1,10309;50,,,
886,1,1,,,,,,815426;1,10308;10,,,
887,1,1,,,,,,815427;1,10308;20,,,
888,1,1,,,,,,815428;1,10308;50,,,
889,1,1,,,,,,815429;1,10309;20,,,
890,1,1,,,,,,815430;1,10309;50,,,
891,1,1,,,,,,815456;1,10308;10,,,
892,1,1,,,,,,815457;1,10308;20,,,
893,1,1,,,,,,815458;1,10308;50,,,
894,1,1,,,,,,815459;1,10309;20,,,
895,1,1,,,,,,815460;1,10309;50,,,
896,1,1,,,,,,815496;1,10308;10,,,
897,1,1,,,,,,815497;1,10308;20,,,
898,1,1,,,,,,815498;1,10308;50,,,
899,1,1,,,,,,815499;1,10309;20,,,
900,1,1,,,,,,815500;1,10309;50,,,
901,1,1,,,,,,816046;1,10308;10,,,
902,1,1,,,,,,816047;1,10308;20,,,
903,1,1,,,,,,816048;1,10308;50,,,
904,1,1,,,,,,816049;1,10309;20,,,
905,1,1,,,,,,816050;1,10309;50,,,
906,1,1,,,,,,816096;1,10308;10,,,
907,1,1,,,,,,816097;1,10308;20,,,
908,1,1,,,,,,816098;1,10308;50,,,
909,1,1,,,,,,816099;1,10309;20,,,
910,1,1,,,,,,816100;1,10309;50,,,
911,1,1,,,,,,816146;1,10308;10,,,
912,1,1,,,,,,816147;1,10308;20,,,
913,1,1,,,,,,816148;1,10308;50,,,
914,1,1,,,,,,816149;1,10309;20,,,
915,1,1,,,,,,816150;1,10309;50,,,
916,1,1,,,,,,816196;1,10308;10,,,
917,1,1,,,,,,816197;1,10308;20,,,
918,1,1,,,,,,816198;1,10308;50,,,
919,1,1,,,,,,816199;1,10309;20,,,
920,1,1,,,,,,816200;1,10309;50,,,
921,1,1,,,,,,816246;1,10308;10,,,
922,1,1,,,,,,816247;1,10308;20,,,
923,1,1,,,,,,816248;1,10308;50,,,
924,1,1,,,,,,816249;1,10309;20,,,
925,1,1,,,,,,816250;1,10309;50,,,
926,1,1,,,,,,816296;1,10308;10,,,
927,1,1,,,,,,816297;1,10308;20,,,
928,1,1,,,,,,816298;1,10308;50,,,
929,1,1,,,,,,816299;1,10309;20,,,
930,1,1,,,,,,816300;1,10309;50,,,
931,1,1,,,,,,816326;1,10308;10,,,
932,1,1,,,,,,816327;1,10308;20,,,
933,1,1,,,,,,816328;1,10308;50,,,
934,1,1,,,,,,816329;1,10309;20,,,
935,1,1,,,,,,816330;1,10309;50,,,
936,1,1,,,,,,816356;1,10308;10,,,
937,1,1,,,,,,816357;1,10308;20,,,
938,1,1,,,,,,816358;1,10308;50,,,
939,1,1,,,,,,816359;1,10309;20,,,
940,1,1,,,,,,816360;1,10309;50,,,
941,1,1,,,,,,816396;1,10308;10,,,
942,1,1,,,,,,816397;1,10308;20,,,
943,1,1,,,,,,816398;1,10308;50,,,
944,1,1,,,,,,816399;1,10309;20,,,
945,1,1,,,,,,816400;1,10309;50,,,
946,1,1,,,,,,816426;1,10308;10,,,
947,1,1,,,,,,816427;1,10308;20,,,
948,1,1,,,,,,816428;1,10308;50,,,
949,1,1,,,,,,816429;1,10309;20,,,
950,1,1,,,,,,816430;1,10309;50,,,
951,1,1,,,,,,816456;1,10308;10,,,
952,1,1,,,,,,816457;1,10308;20,,,
953,1,1,,,,,,816458;1,10308;50,,,
954,1,1,,,,,,816459;1,10309;20,,,
955,1,1,,,,,,816460;1,10309;50,,,
956,1,1,,,,,,816496;1,10308;10,,,
957,1,1,,,,,,816497;1,10308;20,,,
958,1,1,,,,,,816498;1,10308;50,,,
959,1,1,,,,,,816499;1,10309;20,,,
960,1,1,,,,,,816500;1,10309;50,,,
961,1,1,,,,,,817046;1,10308;10,,,
962,1,1,,,,,,817047;1,10308;20,,,
963,1,1,,,,,,817048;1,10308;50,,,
964,1,1,,,,,,817049;1,10309;20,,,
965,1,1,,,,,,817050;1,10309;50,,,
966,1,1,,,,,,817096;1,10308;10,,,
967,1,1,,,,,,817097;1,10308;20,,,
968,1,1,,,,,,817098;1,10308;50,,,
969,1,1,,,,,,817099;1,10309;20,,,
970,1,1,,,,,,817100;1,10309;50,,,
971,1,1,,,,,,817146;1,10308;10,,,
972,1,1,,,,,,817147;1,10308;20,,,
973,1,1,,,,,,817148;1,10308;50,,,
974,1,1,,,,,,817149;1,10309;20,,,
975,1,1,,,,,,817150;1,10309;50,,,
976,1,1,,,,,,817196;1,10308;10,,,
977,1,1,,,,,,817197;1,10308;20,,,
978,1,1,,,,,,817198;1,10308;50,,,
979,1,1,,,,,,817199;1,10309;20,,,
980,1,1,,,,,,817200;1,10309;50,,,
981,1,1,,,,,,817246;1,10308;10,,,
982,1,1,,,,,,817247;1,10308;20,,,
983,1,1,,,,,,817248;1,10308;50,,,
984,1,1,,,,,,817249;1,10309;20,,,
985,1,1,,,,,,817250;1,10309;50,,,
986,1,1,,,,,,817296;1,10308;10,,,
987,1,1,,,,,,817297;1,10308;20,,,
988,1,1,,,,,,817298;1,10308;50,,,
989,1,1,,,,,,817299;1,10309;20,,,
990,1,1,,,,,,817300;1,10309;50,,,
991,1,1,,,,,,817326;1,10308;10,,,
992,1,1,,,,,,817327;1,10308;20,,,
993,1,1,,,,,,817328;1,10308;50,,,
994,1,1,,,,,,817329;1,10309;20,,,
995,1,1,,,,,,817330;1,10309;50,,,
996,1,1,,,,,,817356;1,10308;10,,,
997,1,1,,,,,,817357;1,10308;20,,,
998,1,1,,,,,,817358;1,10308;50,,,
999,1,1,,,,,,817359;1,10309;20,,,
1000,1,1,,,,,,817360;1,10309;50,,,
1001,1,1,,,,,,817396;1,10308;10,,,
1002,1,1,,,,,,817397;1,10308;20,,,
1003,1,1,,,,,,817398;1,10308;50,,,
1004,1,1,,,,,,817399;1,10309;20,,,
1005,1,1,,,,,,817400;1,10309;50,,,
1006,1,1,,,,,,817426;1,10308;10,,,
1007,1,1,,,,,,817427;1,10308;20,,,
1008,1,1,,,,,,817428;1,10308;50,,,
1009,1,1,,,,,,817429;1,10309;20,,,
1010,1,1,,,,,,817430;1,10309;50,,,
1011,1,1,,,,,,817456;1,10308;10,,,
1012,1,1,,,,,,817457;1,10308;20,,,
1013,1,1,,,,,,817458;1,10308;50,,,
1014,1,1,,,,,,817459;1,10309;20,,,
1015,1,1,,,,,,817460;1,10309;50,,,
1016,1,1,,,,,,817496;1,10308;10,,,
1017,1,1,,,,,,817497;1,10308;20,,,
1018,1,1,,,,,,817498;1,10308;50,,,
1019,1,1,,,,,,817499;1,10309;20,,,
1020,1,1,,,,,,817500;1,10309;50,,,
1021,1,1,,,,,,818046;1,10308;10,,,
1022,1,1,,,,,,818047;1,10308;20,,,
1023,1,1,,,,,,818048;1,10308;50,,,
1024,1,1,,,,,,818049;1,10309;20,,,
1025,1,1,,,,,,818050;1,10309;50,,,
1026,1,1,,,,,,818096;1,10308;10,,,
1027,1,1,,,,,,818097;1,10308;20,,,
1028,1,1,,,,,,818098;1,10308;50,,,
1029,1,1,,,,,,818099;1,10309;20,,,
1030,1,1,,,,,,818100;1,10309;50,,,
1031,1,1,,,,,,818146;1,10308;10,,,
1032,1,1,,,,,,818147;1,10308;20,,,
1033,1,1,,,,,,818148;1,10308;50,,,
1034,1,1,,,,,,818149;1,10309;20,,,
1035,1,1,,,,,,818150;1,10309;50,,,
1036,1,1,,,,,,818196;1,10308;10,,,
1037,1,1,,,,,,818197;1,10308;20,,,
1038,1,1,,,,,,818198;1,10308;50,,,
1039,1,1,,,,,,818199;1,10309;20,,,
1040,1,1,,,,,,818200;1,10309;50,,,
1041,1,1,,,,,,818246;1,10308;10,,,
1042,1,1,,,,,,818247;1,10308;20,,,
1043,1,1,,,,,,818248;1,10308;50,,,
1044,1,1,,,,,,818249;1,10309;20,,,
1045,1,1,,,,,,818250;1,10309;50,,,
1046,1,1,,,,,,818296;1,10308;10,,,
1047,1,1,,,,,,818297;1,10308;20,,,
1048,1,1,,,,,,818298;1,10308;50,,,
1049,1,1,,,,,,818299;1,10309;20,,,
1050,1,1,,,,,,818300;1,10309;50,,,
1051,1,1,,,,,,818326;1,10308;10,,,
1052,1,1,,,,,,818327;1,10308;20,,,
1053,1,1,,,,,,818328;1,10308;50,,,
1054,1,1,,,,,,818329;1,10309;20,,,
1055,1,1,,,,,,818330;1,10309;50,,,
1056,1,1,,,,,,818356;1,10308;10,,,
1057,1,1,,,,,,818357;1,10308;20,,,
1058,1,1,,,,,,818358;1,10308;50,,,
1059,1,1,,,,,,818359;1,10309;20,,,
1060,1,1,,,,,,818360;1,10309;50,,,
1061,1,1,,,,,,818396;1,10308;10,,,
1062,1,1,,,,,,818397;1,10308;20,,,
1063,1,1,,,,,,818398;1,10308;50,,,
1064,1,1,,,,,,818399;1,10309;20,,,
1065,1,1,,,,,,818400;1,10309;50,,,
1066,1,1,,,,,,818426;1,10308;10,,,
1067,1,1,,,,,,818427;1,10308;20,,,
1068,1,1,,,,,,818428;1,10308;50,,,
1069,1,1,,,,,,818429;1,10309;20,,,
1070,1,1,,,,,,818430;1,10309;50,,,
1071,1,1,,,,,,818456;1,10308;10,,,
1072,1,1,,,,,,818457;1,10308;20,,,
1073,1,1,,,,,,818458;1,10308;50,,,
1074,1,1,,,,,,818459;1,10309;20,,,
1075,1,1,,,,,,818460;1,10309;50,,,
1076,1,1,,,,,,818496;1,10308;10,,,
1077,1,1,,,,,,818497;1,10308;20,,,
1078,1,1,,,,,,818498;1,10308;50,,,
1079,1,1,,,,,,818499;1,10309;20,,,
1080,1,1,,,,,,818500;1,10309;50,,,
1081,1,1,,,,,,818506;1,10308;10,,,
1082,1,1,,,,,,818507;1,10308;20,,,
1083,1,1,,,,,,818508;1,10308;50,,,
1084,1,1,,,,,,818509;1,10309;20,,,
1085,1,1,,,,,,818510;1,10309;50,,,
1086,1,1,,,,,,818516;1,10308;10,,,
1087,1,1,,,,,,818517;1,10308;20,,,
1088,1,1,,,,,,818518;1,10308;50,,,
1089,1,1,,,,,,818519;1,10309;20,,,
1090,1,1,,,,,,818520;1,10309;50,,,
1091,1,1,,,,,,801046;1,2;6000,,,
1092,1,1,,,,,,801047;1,2;15000,,,
1093,1,1,,,,,,801048;1,2;24000,,,
1094,1,1,,,,,,801049;1,2;45000,,,
1095,1,1,,,,,,801050;1,2;90000,,,
1096,1,1,,,,,,801096;1,2;6000,,,
1097,1,1,,,,,,801097;1,2;15000,,,
1098,1,1,,,,,,801098;1,2;24000,,,
1099,1,1,,,,,,801099;1,2;45000,,,
1100,1,1,,,,,,801100;1,2;90000,,,
1101,1,1,,,,,,801146;1,2;6000,,,
1102,1,1,,,,,,801147;1,2;15000,,,
1103,1,1,,,,,,801148;1,2;24000,,,
1104,1,1,,,,,,801149;1,2;45000,,,
1105,1,1,,,,,,801150;1,2;90000,,,
1106,1,1,,,,,,801196;1,2;6000,,,
1107,1,1,,,,,,801197;1,2;15000,,,
1108,1,1,,,,,,801198;1,2;24000,,,
1109,1,1,,,,,,801199;1,2;45000,,,
1110,1,1,,,,,,801200;1,2;90000,,,
1111,1,1,,,,,,801246;1,2;6000,,,
1112,1,1,,,,,,801247;1,2;15000,,,
1113,1,1,,,,,,801248;1,2;24000,,,
