宝可梦ID,上阵ID,宝可梦名字,宝可梦描述,特性ID,升23456789星消耗道具（道具id；数量分隔）,努力值升阶道具需求（从1升2起，0升1不需要）,技能(技能编号;技能学习等级|技能编号;技能学习等级),血量种族值,物攻种族值,物防种族值,特攻种族值,特防种族值,速度种族值,种族值总和,属性ID（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼 9.普通 10.电 11.虫 12.飞行 13.地面 14.岩石 15.格斗 16.超能 17.钢 18.毒）,副属性（1.火 2.水 3.草 4.妖 5.恶 6.龙 7.冰 8.鬼 9.普通 10.电 11.虫 12.飞行 13.地面 14.岩石 15.格斗 16.超能 17.钢 18.毒）,品级,稀有星数, 稀有度（最低1，最高100）,进化所需等级,进化所需亲密度等级,进化所需道具,进化前的宝可梦ID,不可进化（0否，1是，默认0）,进化后的宝可梦ID,进化所需货币,特殊进化所需等级(|分隔）,特殊进化所需亲密度等级(|分隔）,特殊进化所需道具(道具id;道具数量|第二个道具id;道具数量:另一个宝可梦进化所需…   ';'分隔id和数量'|'分隔不同的道具':'分隔不同的宝可梦需求）,特殊进化后的宝可梦ID(|分隔）,特殊进化所需货币(；分隔道具id和数量 |分隔不同的宝可梦需求）,升星可用宝可梦,可学习的天赋树,可学习的技能机器id(系ID|系ID),可升最高星数(最高到达星数）,可超进阶的用1,宝可萌声音,孵化时间（单位：分钟）,碎片需求数量,合成消耗金币,宝可萌星级加成,图鉴显示(0不显示，1显示，默认0),默认精灵球
1107,107,艾比朗,可以以超人的速度挥动拳头，要小心,37,601107;10|601107;20|601107;30|601107;40|601107;50|601107;60|601107;70|601107;80,601107;10|601107;20|601107;30|601107;30|601107;30|601107;50|601107;50|601107;50|601107;70|601107;70|601107;70|601107;90|601107;90|601107;90,1153503;1|4156504;3|3156506;20,50,105,79,35,110,76,455,15,,3,2,50,,,,,,,,,,,,,,1107,15||9,9,,1107,600,601107;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13006
1108,108,大舌头,被它的舌头舔到后会麻痹,38,601463;10|601463;20|601463;30|601463;40|601463;50|601463;60|601463;70|601463;80,601463;10|601463;20|601463;30|601463;30|601463;30|601463;50|601463;50|601463;50|601463;70|601463;70|601463;70|601463;90|601463;90|601463;90,2093502;1|3096503;3|4096505;20,80,55,65,60,65,30,355,9,,2,4,20,10,5,12151;100|12129;30,,,1463,1;300000,,,,,,,1108,9,9,,1108,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1109,109,瓦斯弹,能吸取各种毒气，经常引发大爆炸,35,601110;10|601110;20|601110;30|601110;40|601110;50|601110;60|601110;70|601110;80,601110;10|601110;20|601110;30|601110;30|601110;30|601110;50|601110;50|601110;50|601110;70|601110;70|601110;70|601110;90|601110;90|601110;90,2184002;1|3186504;3|2186505;20,40,65,95,60,45,35,340,18,,2,3,20,10,5,12151;100|12129;30,,,1110,1;300000,,,,,,,1109,18||9,9,,1109,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1110,110,双弹瓦斯,能长时间放出毒气,35,601110;10|601110;20|601110;30|601110;40|601110;50|601110;60|601110;70|601110;80,601110;10|601110;20|601110;30|601110;30|601110;30|601110;50|601110;50|601110;50|601110;70|601110;70|601110;70|601110;90|601110;90|601110;90,2184003;1|3186505;3|2186506;20,65,90,120,85,70,60,490,18,,3,3,50,40,20,12111;1000|12129;500|601110;100,1109,,301110,1;10000000,,,,,,,1110,18||9,9,,1110,600,601110;60,900000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13006
1111,111,铁甲犀牛,骨头很坚硬，训练员要小心它,32,601464;10|601464;20|601464;30|601464;40|601464;50|601464;60|601464;70|601464;80,601464;10|601464;20|601464;30|601464;30|601464;30|601464;50|601464;50|601464;50|601464;70|601464;70|601464;70|601464;90|601464;90|601464;90,2132002;1|4146503;3|3136505;20,80,85,95,30,30,25,345,13,14,2,4,20,10,5,12151;100|12124;30,,,1112,1;300000,,,,,,,1111,13|14|9,9,,1111,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1112,112,铁甲暴龙,全身具有坚硬的皮肤保护，可以再2000度的岩浆里生活,32,601464;10|601464;20|601464;30|601464;40|601464;50|601464;60|601464;70|601464;80,601464;10|601464;20|601464;30|601464;30|601464;30|601464;50|601464;50|601464;50|601464;70|601464;70|601464;70|601464;90|601464;90|601464;90,2132003;1|4146504;3|3136506;20,105,130,120,45,45,40,485,13,14,3,4,50,26,10,12151;350|12152;80|12124;280|12125;50,1111,,1464,1;1000000,,,,,,,1112,13|14|9,9,,1112,600,601112;80,1200000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13006
1113,113,吉利蛋,出生地非常少，能抓到它的人真的很幸运啊,107,601242;10|601242;20|601242;30|601242;40|601242;50|601242;60|601242;70|601242;80,601242;10|601242;20|601242;30|601242;30|601242;30|601242;50|601242;50|601242;50|601242;70|601242;70|601242;70|601242;90|601242;90|601242;90,2111;1|3096504;3|4096506;20,85,55,75,65,105,50,435,9,,3,4,50,30,10,12151;350|12152;80|12109;280,,,1242,1;1000000,,,,,,,1113,9,9,,1113,600,601113;80,1200000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1114,114,蔓藤怪,全身长着像海草一样的东西移动很轻,17,601465;10|601465;20|601465;30|601465;40|601465;50|601465;60|601465;70|601465;80,601465;10|601465;20|601465;30|601465;30|601465;30|601465;50|601465;50|601465;50|601465;70|601465;70|601465;70|601465;90|601465;90|601465;90,2033503;1|3036504;3|4036506;20,65,55,115,100,40,60,435,3,,3,4,50,26,10,12151;300|12152;70|12103;260,,,1465,1;1500000,,,,,,,1114,3||9,9,,1114,600,601114;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1115,115,袋兽,小时候藏在母亲的育儿袋，几乎不出来,40,601115;10|601115;20|601115;30|601115;40|601115;50|601115;60|601115;70|601115;80,601115;10|601115;20|601115;30|601115;30|601115;30|601115;50|601115;50|601115;50|601115;70|601115;70|601115;70|601115;90|601115;90|601115;90,2112;1|4096505;3|3096507;20,105,95,80,40,80,90,490,9,,4,4,85,40,20,12111;1000|12109;500|601115;100,,,301115,1;10000000,,,,,,,1115,9,9,,1115,4320,601115;115,1725000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1116,116,墨海马,受攻击时可以发射墨汁,7,601230;10|601230;20|601230;30|601230;40|601230;50|601230;60|601230;70|601230;80,601230;10|601230;20|601230;30|601230;30|601230;30|601230;50|601230;50|601230;50|601230;70|601230;70|601230;70|601230;90|601230;90|601230;90,2023502;1|4066503;3|3026505;20,30,40,65,60,25,55,275,2,,1,5,5,15,8,12151;100|12102;40,,,1117,1;350000,,,,,,,1116,2||9,9,,1116,120,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1117,117,海刺龙,移动灵活在海中自由游泳,7,601230;10|601230;20|601230;30|601230;40|601230;50|601230;60|601230;70|601230;80,601230;10|601230;20|601230;30|601230;30|601230;30|601230;50|601230;50|601230;50|601230;70|601230;70|601230;70|601230;90|601230;90|601230;90,2023503;1|4066504;3|3026506;20,55,65,95,95,45,85,440,2,,3,5,50,26,10,12151;300|12152;80|12106;260,1116,,1230,1;1000000,,,,,,,1117,2||9,9,,1117,600,601117;60,900000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1118,118,角金鱼,号称水中的女王,41,601119;10|601119;20|601119;30|601119;40|601119;50|601119;60|601119;70|601119;80,601119;10|601119;20|601119;30|601119;30|601119;30|601119;50|601119;50|601119;50|601119;70|601119;70|601119;70|601119;90|601119;90|601119;90,1023502;1|4026503;3|3026505;20,45,67,60,35,50,63,320,2,,2,2,20,10,5,12151;100|12102;30,,,1119,1;300000,,,,,,,1118,2||9,9,,1118,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1119,119,金鱼王,秋天为了产卵，常出现在河流中,41,601119;10|601119;20|601119;30|601119;40|601119;50|601119;60|601119;70|601119;80,601119;10|601119;20|601119;30|601119;30|601119;30|601119;50|601119;50|601119;50|601119;70|601119;70|601119;70|601119;90|601119;90|601119;90,1023503;1|4026504;3|3026506;20,80,92,65,65,80,68,450,2,,3,3,50,40,20,12111;1000|12102;500|601119;100,1118,,301119,1;10000000,,,,,,,1119,2||9,9,,1119,600,601119;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1120,120,海星星,身体的一部分断掉后，还可以再生出来,42,601121;10|601121;20|601121;30|601121;40|601121;50|601121;60|601121;70|601121;80,601121;10|601121;20|601121;30|601121;30|601121;30|601121;50|601121;50|601121;50|601121;70|601121;70|601121;70|601121;90|601121;90|601121;90,2023503;1|3026504;3|4026506;20,30,45,55,70,55,85,340,2,,3,4,20,10,5,12151;100|12102;30,,,1121,1;300000,,,,,,,1120,2||9,9,,1120,600,601120;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1121,121,宝石海星,身体中有能发出七色光的东西，有人称之为宝石,42,601121;10|601121;20|601121;30|601121;40|601121;50|601121;60|601121;70|601121;80,601121;10|601121;20|601121;30|601121;30|601121;30|601121;50|601121;50|601121;50|601121;70|601121;70|601121;70|601121;90|601121;90|601121;90,2023504;1|3166505;3|4026507;20,60,75,85,100,85,115,520,2,16,4,4,50,,,12151;300|12152;65|12102;230,1120,,,,,,,,,,1121,2|16|9,9,,1121,4320,601121;120,1800000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13006
1122,122,吸盘魔偶,遇到攻击会用大脚反复踢打敌人,43,601122;10|601122;20|601122;30|601122;40|601122;50|601122;60|601122;70|601122;80,601122;10|601122;20|601122;30|601122;30|601122;30|601122;50|601122;50|601122;50|601122;70|601122;70|601122;70|601122;90|601122;90|601122;90,2163503;1|3166504;3|4166506;20,40,45,65,100,120,90,460,16,,3,2,50,,,,,,,,,,,,,,1122,16||9,9,,1122,600,601122;40,600000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13006
1123,123,飞天螳螂,反应灵敏、移动灵活、爪子锋利,19,601212;10|601212;20|601212;30|601212;40|601212;50|601212;60|601212;70|601212;80,601212;10|601212;20|601212;30|601212;30|601212;30|601212;50|601212;50|601212;50|601212;70|601212;70|601212;70|601212;90|601212;90|601212;90,2910;1|4116504;3|3176506;20,70,110,80,55,80,105,500,11,12,3,4,50,28,10,12151;300|12152;80|12122;260|12123;50,,,1212,1;1000000,,,,,,,1123,11|12|9,9,,1123,600,601123;120,1800000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13006
1124,124,迷唇姐,靠晃动身体来移动，具有可怕的天使之吻,38,601124;10|601124;20|601124;30|601124;40|601124;50|601124;60|601124;70|601124;80,601124;10|601124;20|601124;30|601124;30|601124;30|601124;50|601124;50|601124;50|601124;70|601124;70|601124;70|601124;90|601124;90|601124;90,2163503;1|3076504;3|4166506;20,65,50,35,115,95,95,455,16,7,3,2,50,,,,,,,,,,,,,,1124,16|7|9,9,,1124,600,601124;60,900000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13006
1125,125,电击兽,据说在发电厂附近消失时，引发了城市大停电,11,601466;10|601466;20|601466;30|601466;40|601466;50|601466;60|601466;70|601466;80,601466;10|601466;20|601466;30|601466;30|601466;30|601466;50|601466;50|601466;50|601466;70|601466;70|601466;70|601466;90|601466;90|601466;90,2208;1|4106504;3|3106506;20,65,83,57,95,85,105,490,10,,3,4,50,28,10,12151;360|12152;80|12121;280,,,1466,1;1000000,,,,,,,1125,10||9,9,,1125,600,601125;80,1200000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13006
1126,126,鸭嘴火兽,喜欢藏在火焰之中,44,601467;10|601467;20|601467;30|601467;40|601467;50|601467;60|601467;70|601467;80,601467;10|601467;20|601467;30|601467;30|601467;30|601467;50|601467;50|601467;50|601467;70|601467;70|601467;70|601467;90|601467;90|601467;90,42;1|3016504;3|4016506;20,65,95,57,100,85,93,495,1,,3,5,50,30,10,12151;350|12152;80|12101;280,,,1467,1;1000000,,,,,,,1126,1||9,9,,1126,600,601126;60,900000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13006
1127,127,大甲,头上的角很厉害,90,601127;10|601127;20|601127;30|601127;40|601127;50|601127;60|601127;70|601127;80,601127;10|601127;20|601127;30|601127;30|601127;30|601127;50|601127;50|601127;50|601127;70|601127;70|601127;70|601127;90|601127;90|601127;90,2308;1|4126505;3|3116507;20,65,125,100,55,70,85,500,11,,4,4,90,40,20,12111;1000|12122;500|601127;100,,,301127,1;10000000,,,,,,,1127,11||9,9,,1127,4320,601127;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1128,128,肯泰罗,遇到食物，一边用尾巴攻击，一边吞食,21,601128;10|601128;20|601128;30|601128;40|601128;50|601128;60|601128;70|601128;80,601128;10|601128;20|601128;30|601128;30|601128;30|601128;50|601128;50|601128;50|601128;70|601128;70|601128;70|601128;90|601128;90|601128;90,1093503;1|4096504;3|3096506;20,75,100,95,40,70,110,490,9,,3,3,50,,,,,,,,,,,,,,1128,9,9,,1128,600,601128;60,900000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13006
1129,129,鲤鱼王,看上去很弱，但传说过去很厉害,45,601130;10|601130;20|601130;30|601130;40|601130;50|601130;60|601130;70|601130;80,601130;10|601130;20|601130;30|601130;30|601130;30|601130;50|601130;50|601130;50|601130;70|601130;70|601130;70|601130;90|601130;90|601130;90,101;1|4056504;3|3026506;20,20,10,55,15,20,80,200,2,,1,5,1,25,8,12151;400|12152;85|12102;290,,,1130,1;2000000,,,,,,,1129,2||9,9,,1129,120,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1130,130,暴鲤龙,变得强大，据说很少出现,108,601130;10|601130;20|601130;30|601130;40|601130;50|601130;60|601130;70|601130;80,601130;10|601130;20|601130;30|601130;30|601130;30|601130;50|601130;50|601130;50|601130;70|601130;70|601130;70|601130;90|601130;90|601130;90,162;1|4056505;3|3026507;20,95,125,79,60,100,81,540,2,12,4,5,90,40,20,12111;1000|12102;500|601130;100,1129,,301130,1;10000000,,,,,,,1130,2|12|9,9,,1130,4320,601130;130,1950000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1131,131,乘龙,背上可以带人游泳,32,601131;10|601131;20|601131;30|601131;40|601131;50|601131;60|601131;70|601131;80,601131;10|601131;20|601131;30|601131;30|601131;30|601131;50|601131;50|601131;50|601131;70|601131;70|601131;70|601131;90|601131;90|601131;90,3074004;1|3026505;3|4076507;20,130,85,80,85,95,60,535,7,2,4,5,95,40,10,12111;1000|12107;500|601131;100,,,301131,1;10000000,,,,,,,1131,7|2|9,9,,1131,4320,601131;135,2025000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1132,132,百变怪,可以模仿敌人，有变身的能力,47,601132;10|601132;20|601132;30|601132;40|601132;50|601132;60|601132;70|601132;80,601132;10|601132;20|601132;30|601132;30|601132;30|601132;50|601132;50|601132;50|601132;70|601132;70|601132;70|601132;90|601132;90|601132;90,1096004;1|2096005;3|1096006;20,48,48,48,48,48,48,288,9,,1,1,5,40,20,12111;1000|12109;500|601132;100,,,301132,1;10000000,,,,,,,1132,9,9,,1132,120,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1133,133,伊布,有很神奇的遗传因子,48,601133;10|601133;20|601133;30|601133;40|601133;50|601133;60|601133;70|601133;80,601133;10|601133;20|601133;30|601133;30|601133;30|601133;50|601133;50|601133;50|601133;70|601133;70|601133;70|601133;90|601133;90|601133;90,1093503;1|4096504;3|3096506;20,55,55,50,45,65,55,325,9,,3,4,70,,,,,,,,32|32|32|32|32|32|32|32|32,19|19|19|19|19|19|19|19|19,12151;300|12152;80|12102;230:12151;300|12152;80|12121;230:12151;300|12152;80|12101;230:12151;300|12152;80|12127;230:12151;300|12152;80|12105;230:12151;300|12152;80|12103;230:12151;300|12152;80|12107;230:12151;300|12152;80|12108;230:12151;300|12152;80|12104;230,1134|1135|1136|1196|1197|1470|1471|1991|1700,1;1000000|1;1000000|1;1000000|1;1000000|1;1000000|1;1000000|1;1000000|1;1000000|1;1000000,,1133,9,9,,1133,600,601133;80,1200000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1134,134,水伊布,生活在水边，有像鱼一样的尾巴,22,601133;10|601133;20|601133;30|601133;40|601133;50|601133;60|601133;70|601133;80,601133;10|601133;20|601133;30|601133;30|601133;30|601133;50|601133;50|601133;50|601133;70|601133;70|601133;70|601133;90|601133;90|601133;90,2023504;1|3026505;3|4026507;20,130,65,60,110,95,65,525,2,,4,4,95,,,,1133,,,,,,,,,,1134,2||9,9,,1134,4320,601134;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1135,135,雷伊布,身体能聚集雷电,68,601133;10|601133;20|601133;30|601133;40|601133;50|601133;60|601133;70|601133;80,601133;10|601133;20|601133;30|601133;30|601133;30|601133;50|601133;50|601133;50|601133;70|601133;70|601133;70|601133;90|601133;90|601133;90,2103504;1|3106505;3|4106507;20,65,65,60,110,95,130,525,10,,4,4,95,,,,1133,,,,,,,,,,1135,10||9,9,,1135,4320,601135;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1136,136,火伊布,身体能聚集火焰，体温高达900度,134,601133;10|601133;20|601133;30|601133;40|601133;50|601133;60|601133;70|601133;80,601133;10|601133;20|601133;30|601133;30|601133;30|601133;50|601133;50|601133;50|601133;70|601133;70|601133;70|601133;90|601133;90|601133;90,1013504;1|4016505;3|3016507;20,65,130,60,95,110,65,525,1,,4,4,95,,,,1133,,,,,,,,,,1136,1||9,9,,1136,4320,601136;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1137,137,3D龙,身体使用程序创造的,137,601233;10|601233;20|601233;30|601233;40|601233;50|601233;60|601233;70|601233;80,601233;10|601233;20|601233;30|601233;30|601233;30|601233;50|601233;50|601233;50|601233;70|601233;70|601233;70|601233;90|601233;90|601233;90,2093502;1|3096503;3|4096505;20,65,60,70,85,75,40,395,9,,2,5,20,10,5,12151;100|12109;30,,,1233,1;300000,,,,,,,1137,9,9,,1137,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1138,138,菊石兽,原来灭绝的怪兽，后来将发现的化石复活才有了它,32,601139;10|601139;20|601139;30|601139;40|601139;50|601139;60|601139;70|601139;80,601139;10|601139;20|601139;30|601139;30|601139;30|601139;50|601139;50|601139;50|601139;70|601139;70|601139;70|601139;90|601139;90|601139;90,2023502;1|3146503;3|4026505;20,35,40,100,90,55,35,355,2,14,2,3,20,10,5,12151;100|12102;30,,,1139,1;300000,,,,,,,1138,2|14|9,9,,1138,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1139,139,多刺菊石兽,有尖利的牙，喜欢吃贝壳,32,601139;10|601139;20|601139;30|601139;40|601139;50|601139;60|601139;70|601139;80,601139;10|601139;20|601139;30|601139;30|601139;30|601139;50|601139;50|601139;50|601139;70|601139;70|601139;70|601139;90|601139;90|601139;90,2023503;1|3146504;3|4026506;20,70,60,125,115,70,55,495,2,14,3,3,50,,,,1138,,,,,,,,,,1139,2|14|9,9,,1139,600,601139;60,900000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13006
1140,140,化石盔,是由化石复活的怪兽,32,601141;10|601141;20|601141;30|601141;40|601141;50|601141;60|601141;70|601141;80,601141;10|601141;20|601141;30|601141;30|601141;30|601141;50|601141;50|601141;50|601141;70|601141;70|601141;70|601141;90|601141;90|601141;90,1144002;1|4026504;3|3146506;20,30,80,90,55,45,55,355,14,2,2,4,20,10,5,12151;100|12125;30,,,1141,1;300000,,,,,,,1140,14|2|9,9,,1140,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1141,141,镰刀盔,游泳速度很快，爪子像镰刀般锋利,32,601141;10|601141;20|601141;30|601141;40|601141;50|601141;60|601141;70|601141;80,601141;10|601141;20|601141;30|601141;30|601141;30|601141;50|601141;50|601141;50|601141;70|601141;70|601141;70|601141;90|601141;90|601141;90,1144003;1|4026505;3|3146507;20,60,115,105,65,70,80,495,14,2,3,4,50,40,20,12111;1000|12125;500|601141;100,1140,,301141,1;10000000,,,,,,,1141,14|2|9,9,,1141,600,601141;60,900000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13006
1142,142,化石翼龙,是很暴的古代怪兽,100,601142;10|601142;20|601142;30|601142;40|601142;50|601142;60|601142;70|601142;80,601142;10|601142;20|601142;30|601142;30|601142;30|601142;50|601142;50|601142;50|601142;70|601142;70|601142;70|601142;90|601142;90|601142;90,2602;1|4126505;3|3146507;20,80,105,65,60,75,130,515,14,12,4,5,100,40,10,12111;1000|12125;600|601142;100,,,301142,1;10000000,,,,,,,1142,14|12|9,9,,1142,4320,601142;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1143,143,卡比兽,很喜欢吃，吃完就睡，所以长得很胖,105,601143;10|601143;20|601143;30|601143;40|601143;50|601143;60|601143;70|601143;80,601143;10|601143;20|601143;30|601143;30|601143;30|601143;50|601143;50|601143;50|601143;70|601143;70|601143;70|601143;90|601143;90|601143;90,2093504;1|3096505;3|4096507;20,140,50,125,65,110,50,540,9,,4,4,95,,,,1446,,,,,,,,,,1143,9,9,,1143,4320,601143;120,1800000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1144,144,急冻鸟,传说中的鸟，可以把一切冻僵,102,601144;10|601144;20|601144;30|601144;40|601144;50|601144;60|601144;70|601144;80,601144;10|601144;20|601144;30|601144;30|601144;30|601144;50|601144;50|601144;50|601144;70|601144;70|601144;70|601144;90|601144;90|601144;90,1123506;1|2078508;3|7000608;20,90,85,100,95,125,85,580,7,12,6,5,100,40,20,12111;1000|12107;600|12123;120|601144;200,,,301144,1;10000000,,,,,,,1144,7|12|9,9,,1144,4320,601144;150,2250000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1145,145,闪电鸟,传说中的鸟，能发动巨大闪电,93,601145;10|601145;20|601145;30|601145;40|601145;50|601145;60|601145;70|601145;80,601145;10|601145;20|601145;30|601145;30|601145;30|601145;50|601145;50|601145;50|601145;70|601145;70|601145;70|601145;90|601145;90|601145;90,1123506;1|2108508;3|4106508;20|10000607;30,90,90,85,125,90,100,580,10,12,6,5,100,40,20,12111;1000|12121;600|12123;120|601145;200,,,301145,1;10000000,,,,,,,1145,10|12|9,9,,1145,4320,601145;150,2250000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1146,146,火焰鸟,传说中的鸟，可以焚烧一切,94,601146;10|601146;20|601146;30|601146;40|601146;50|601146;60|601146;70|601146;80,601146;10|601146;20|601146;30|601146;30|601146;30|601146;50|601146;50|601146;50|601146;70|601146;70|601146;70|601146;90|601146;90|601146;90,1123506;1|2018508;3|1000108;20,90,100,90,125,85,90,580,1,12,6,5,100,40,20,12111;1000|12101;600|12123;120|601146;200,,,301146,1;10000000,,,,,,,1146,1|12|9,9,,1146,4320,601146;150,2250000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13006
1147,147,迷你龙,,5,601149;10|601149;20|601149;30|601149;40|601149;50|601149;60|601149;70|601149;80,601149;10|601149;20|601149;30|601149;30|601149;30|601149;50|601149;50|601149;50|601149;70|601149;70|601149;70|601149;90|601149;90|601149;90,1063002;1|4126503;3|3066505;20,41,64,45,50,50,50,300,6,,2,5,50,10,5,12151;100|12106;60,,,1148,1;100000,,,,,,,1147,6||9,9,,1147,240,601147;50,750000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
1148,148,哈克龙,,5,601149;10|601149;20|601149;30|601149;40|601149;50|601149;60|601149;70|601149;80,601149;10|601149;20|601149;30|601149;30|601149;30|601149;50|601149;50|601149;50|601149;70|601149;70|601149;70|601149;90|601149;90|601149;90,1063003;1|4126504;3|3066506;20,61,84,65,70,70,70,420,6,,3,5,70,29,10,12151;400|12152;200|12106;500,1147,,1149,1;1000000,,,,,,,1148,6||9,9,,1148,600,601148;80,1200000,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13002
1149,149,快龙,,98,601149;10|601149;20|601149;30|601149;40|601149;50|601149;60|601149;70|601149;80,601149;10|601149;20|601149;30|601149;30|601149;30|601149;50|601149;50|601149;50|601149;70|601149;70|601149;70|601149;90|601149;90|601149;90,1063004;1|4126505;3|3066507;20,91,134,95,100,100,80,600,6,12,4,5,100,40,10,12111;1000|12106;500|601149;200,1148,,301149,1;1000000,,,,,,,1149,6|12|9,9,,1149,4320,601149;150,2250000,0;0.05;0.1;0.25;0.3;0.35;0.5;0.55;0.6;0.75,1,13007
1150,150,超梦,,75,601150;10|601150;20|601150;30|601150;40|601150;50|601150;60|601150;70|601150;80,601150;10|601150;20|601150;30|601150;30|601150;30|601150;50|601150;50|601150;50|601150;70|601150;70|601150;70|601150;90|601150;90|601150;90,1166008;1|36001008;3|16001008;20,106,110,90,154,90,130,680,16,,6,5,100,,,,,,,,50|50,33|33,12111;2000|12126;600|601150;200:12111;2000|12127;600|601150;200,301150|311009,1;10000000|1;10000000,,1150,16||9,9,,1150,20000,601150;200,100000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,1,13007
1151,151,梦幻,,76,601151;10|601151;20|601151;30|601151;40|601151;50|601151;60|601151;70|601151;80,601151;10|601151;20|601151;30|601151;30|601151;30|601151;50|601151;50|601151;50|601151;70|601151;70|601151;70|601151;90|601151;90|601151;90,1166008;1|2166008;3|16001108;20|36001107;30,100,100,100,100,100,100,600,16,,6,5,100,40,20,12111;1000|12127;600|601151;200,,,301151,1;10000000,,,,,,,1151,16||9,9,,1151,20000,601151;200,100000,0;0.075;0.15;0.3;0.375;0.45;0.6;0.675;0.75;0.9,1,13007
1152,152,菊草叶,菊草叶是种主要色调是淡绿色的小型宝可梦,1,601154;10|601154;20|601154;30|601154;40|601154;50|601154;60|601154;70|601154;80,601154;10|601154;20|601154;30|601154;30|601154;30|601154;50|601154;50|601154;50|601154;70|601154;70|601154;70|601154;90|601154;90|601154;90,2033502;1|3036503;3|4036505;20,45,49,65,49,65,45,318,3,,2,5,30,10,5,12151;100|12103;30,,,1153,1;100000,,,,,,,1152,3||9,9,,1152,240,,,0;0.05;0.10;0.2;0.25;0.3;0.4;0.45;0.5;0.6,1,13001
