特性ID,特性名称,特性描述,星级0(几率=数/100，有%1.5的情况),星级1,星级2,星级3,星级4,星级5,星级6,星级7,星级8,星级9,星级10,星级11,星级12,星级13,星级14,星级15,星级16,星级17,星级18,星级19,星级20,触发后是否会显示名字（0：显示，1：不显示）,是否为固定值
114,[#fcff12]濒危本能,  [#18ff00]hp小于{0}%，提高{1}%的双攻和{2}%速度，不可叠加,21;2;2;30201,23;4;4;30203,25;6;6;30305,28;9;9;330308,30;11;11;30310,32;13;13;30312,34;15;15;30314,36;17;17;30316,38;19;19;30318,40;21;21;30320,40;21;21;30320,40;21;21;30320,40;21;21;30320,40;21;21;30320,40;21;21;30320,40;21;21;30320,40;21;21;30320,40;21;21;30320,40;21;21;30320,40;21;21;30320,40;21;21;30320,0,1
115,[#fcff12]天敌,  [#18ff00]连续2回合攻击同一目标时，伤害提高{0}%，不可叠加,16,18,20,22,24,26,28,30,32,35,35,35,35,35,35,35,35,35,35,35,35,0,
116,[#fcff12]狂化,  [#18ff00]HP低于{0}%时，不会受任何异常状态影响，并提高{1}%的伤害不可叠加,30;10,30;13,30;16,35;19,35;22,35;25,40;29,40;32,40;35,40;40,40;40,40;40,40;40,40;40,40;40,40;40,40;40,40;40,40;40,40;40,40;40,0,
117,[#fcff12]木乃伊,  [#18ff00]被击败时，恢复全体友军{0}点sp,10,12,14,16,18,20,22,24,26,28,28,28,28,28,28,28,28,28,28,28,28,0,1
118,[#fcff12]复制,  [#18ff00]被击败时，消减全体敌方{0}点sp,10,12,14,16,18,20,22,24,26,28,28,28,28,28,28,28,28,28,28,28,28,0,1
119,[#fcff12]不眠,  [#18ff00]攻击时，有{0}%的几率将此次伤害的{1}%随机扩散给1名敌方单位,50;12,50;14,50;16,50;18,50;20,50;22,50;24,50;26,50;28,50;30,50;30,50;30,50;30,50;30,50;30,50;30,50;30,50;30,50;30,50;30,50;30,0,
120,[#fcff12]魔力搜捕,  [#18ff00]当敌人使用SP消耗超过{0}点的技能时，随机对一个目标释放魔力弹，减少目标当前{1}%的hp,59;1;30301,57;2;30303,55;3;30305,52;5;30308,50;6;30310,48;7;30312,46;8;30314,44;9;30316,42;10;30318,40;11;30320,40;11;30320,40;11;30320,40;11;30320,40;11;30320,40;11;30320,40;11;30320,40;11;30320,40;11;30320,40;11;30320,40;11;30320,40;11;30320,0,1
121,[#fcff12]心灵感应,  [#18ff00]当自身HP=0时，继续战斗{0}回合，回合结束后退场.,1,1,2,2,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,0,1
122,[#fcff12]正义之心,  [#18ff00]当我方宝可梦数量>=敌方时，全队双攻+{0}%；当小于敌方数量时，全队双防+{1}%.不可叠加,2;4;30403;30453,3;6;30405;30455,4;8;30407;30457,5;10;30409;30459,6;12;30411;30461,7;14;30413;30463,8;16;30415;30465,9;18;30417;30467,10;20;30419;30469,11;22;30421;30471,11;22;30421;30471,11;22;30421;30471,11;22;30421;30471,11;22;30421;30471,11;22;30421;30471,11;22;30421;30471,11;22;30421;30471,11;22;30421;30471,11;22;30421;30471,11;22;30421;30471,11;22;30421;30471,0,1
123,[#fcff12]气场破坏,  [#18ff00]攻击时，有{0}%清除目标方全体的所有状态，并附加{1}%于自身特攻的真实伤害,6;1;30501,8;2;30503,10;3;30505,13;5;30508,15;6;30510,17;7;30512,19;8;30514,21;9;30516,23;10;30518,25;11;30520,25;11;30520,25;11;30520,25;11;30520,25;11;30520,25;11;30520,25;11;30520,25;11;30520,25;11;30520,25;11;30520,25;11;30520,25;11;30520,0,1
124,[#fcff12]活力,  [#18ff00]物理攻击伤害+{0}%，命中+{1}%,8;8,9;9,10;10,12;12,13;13,14;14,16;16,17;17,18;18,20;20,20;20,20;20,20;20,20;20,20;20,20;20,20;20,20;20,20;20,20;20,20;20,1,
125,[#fcff12]硬抓,  [#18ff00]使用物理单体技能的时候，威力提升{0}%,8,12,16,22,26,30,36,40,44,50,50,50,50,50,50,50,50,50,50,50,50,0,
126,[#fcff12]亲子攻击,  [#18ff00]亲子特性的精灵使用攻击招式时，变为二次攻击，第二次的攻击的伤害为第一次的{0}%,8,12,16,22,26,30,36,40,44,50,50,50,50,50,50,50,50,50,50,50,50,0,
127,[#fcff12]不眠,  [#18ff00]被睡眠效果击中时，不会陷入睡眠状态，并且所有属性提升{0}%,10,12,14,16,18,20,22,24,26,28,28,28,28,28,28,28,28,28,28,28,28,0,
128,[#fcff12]太阳之力,  [#18ff00]特殊攻击提升{0}%，但是每回合自身-{1}%的最大生命值,8;5,11;5,14;5,17;6,20;6,23;6,26;7,29;7,32;7,35;8,35;8,35;8,35;8,35;8,35;8,35;8,35;8,35;8,35;8,35;8,35;8,0,
129,[#fcff12]加速,  [#18ff00]每回合结束，速度+{0}%，物防+{1}%，可叠加属性，最高可叠加{2}次,3;3;5,4;4;5,5;5;5,6;6;5,7;7;5,8;8;5,9;9;5,10;10;5,11;11;5,12;12;5,12;12;5,12;12;5,12;12;5,12;12;5,12;12;5,12;12;5,12;12;5,12;12;5,12;12;5,12;12;5,12;12;5,0,
130,[#fcff12]妖精皮肤,  [#18ff00]使用恶，鬼，妖技能，效果都变为妖属性攻击，同时伤害+{0}%,3,5,7,10,12,14,17,19,21,24,24,24,24,24,24,24,24,24,24,24,24,0,
131,[#fcff12]魔法反射,  [#18ff00]有{0}%几率反射对方特殊攻击的{1}%伤害,30;10,30;13,30;16,35;19,35;21,35;24,40;27,40;30,40;33,45;36,45;36,45;36,45;36,45;36,45;36,45;36,45;36,45;36,45;36,45;36,45;36,0,
132,[#fcff12]冰冻皮肤,  [#18ff00]使用冰技能，技能威力+{0}%，且自己受到冰伤害-{1}%,10;10,11;11,12;12,14;14,15;15,16;16,17;17,19;19,20;20,22;22,22;22,22;22,22;22,22;22,22;22,22;22,22;22,22;22,22;22,22;22,22;22,1,
133,[#fcff12]治愈之心,  [#18ff00]回合结束，有{0}%几率回复{1}个队友百分{2}%的最大生命值,20;1;10,20;1;15,20;1;20,25;2;10,25;2;15,25;2;20,30;3;10,30;3;15,30;3;20,30;3;25,30;3;25,30;3;25,30;3;25,30;3;25,30;3;25,30;3;25,30;3;25,30;3;25,30;3;25,30;3;25,30;3;25,0,
134,[#fcff12]毛皮大衣,  [#18ff00]受到的物攻伤害-{0}%,3,5,7,10,12,14,17,19,21,24,24,24,24,24,24,24,24,24,24,24,24,0,
135,[#fcff12]芳香幕,  [#18ff00]只要芳香幕特性的精灵在场，己方所有精灵受到妖系技能伤害-{0}%,12,18,24,33,39,45,54,60,66,75,75,75,75,75,75,75,75,75,75,75,75,0,
136,[#fcff12]邪恶之心,  [#18ff00]只要邪恶之心特性的精灵在场，敌我双方所有的治疗效果降低{0}%,8,12,16,22,26,30,36,40,44,50,50,50,50,50,50,50,50,50,50,50,50,0,
137,[#fcff12]下载,  [#18ff00]下载特性的宝可梦出场时，随机选择对方场上一只精灵，若对方的物防＜特防，自己的物攻提升{0}%；若对方的物防≥特防，自己的特攻提升{1}%。,10;10,11;11,12;12,14;14,15;15,16;16,17;17,19;19,20;20,22;22,22;22,22;22,22;22,22;22,22;22,22;22,22;22,22;22,22;22,22;22,22;22,1,
138,[#fcff12]负面能量,  [#18ff00]负面能量特性的精灵处于中毒，冰冻，烧伤状态时，使用物理招式的威力提升{0}%,12,18,24,33,39,45,54,60,66,75,75,75,75,75,75,75,75,75,75,75,75,0,
139,[#fcff12]黑暗气场,  [#18ff00]只要黑暗气场特性的精灵在场，双方场上所有宝可梦使用恶系招式的伤害提高{0}%,8,12,16,22,26,30,36,40,44,50,50,50,50,50,50,50,50,50,50,50,50,0,
140,[#fcff12]再生力,  [#18ff00]特性的宝可梦死亡下场时，随机恢复友军{0}只精灵{1}%的生命值,1;10,1;14,1;18,2;15,2;18,2;21,3;18,3;20,3;22,3;25,3;25,3;25,3;25,3;25,3;25,3;25,3;25,3;25,3;25,3;25,3;25,0,
141,[#fcff12]纯朴,  [#18ff00]每回合开头计算，有{0}%几率判定本回合内敌我双方的治疗降低{1}%,8;30,12;30,16;30,22;35,26;35,30;40,34;40,38;40,42;45,46;55,46;55,46;55,46;55,46;55,46;55,46;55,46;55,46;55,46;55,46;55,46;55,0,
142,[#fcff12]心情不定,"  [#18ff00]回合结束时，心情不定特性的宝可梦的攻击、防御、速度、特攻、特防能力之中随机一项能力提升{0}%，另一项降低{1}%,最多可叠加{2}次",1.5;0.75;5,2.5;1.25;5,3.5;1.75;5,5;2.5;5,6;3;5,7;3.5;5,8;4;5,9;4.5;5,10;5;5,11;5.5;5,11;5.5;5,11;5.5;5,11;5.5;5,11;5.5;5,11;5.5;5,11;5.5;5,11;5.5;5,11;5.5;5,11;5.5;5,11;5.5;5,11;5.5;5,0,
143,[#fcff12]邪恶身躯,"  [#18ff00]有此特性的精灵,每多1只,我方所有精灵全属性+{0}%",1,2,3,4,5,6,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,0,
144,[#fcff12]激活,"  [#18ff00]在场时,每回合我方全体SP多回复{0}点",1,2,3,4,5,6,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,0,1
145,[#fcff12]火山,  [#18ff00]对全敌造成{0}%的特攻的真实伤害，每回合伤害增加{1}%,1;0.1,1.4;0.1,1.6;0.1,2.0;0.2,2.4;0.2,2.8;0.2,3.2;0.3,3.6;0.3,4.0;0.3,4.5;0.4,4.5;0.4,4.5;0.4,4.5;0.4,4.5;0.4,4.5;0.4,4.5;0.4,4.5;0.4,4.5;0.4,4.5;0.4,4.5;0.4,4.5;0.4,0,
146,[#fcff12]电流气场,  [#18ff00]攻击时候有{0}%几率随机让{1}名敌军麻痹，持续2回合,7;1;30600,9;1;30600,11;1;30600,14;1;30600,16;1;30600,18;1;30600,20;1;30600,21;2;30600,23;2;30600,25;2;30600,25;2;30600,25;2;30600,25;2;30600,25;2;30600,25;2;30600,25;2;30600,25;2;30600,25;2;30600,25;2;30600,25;2;30600,25;2;30600,0,1
147,[#fcff12]嫉妒之心,  [#18ff00]每次攻击有{0}%几率减少对方{1}点SP，有{2}%几率清空对方所有的SP。,15;10;3,15;12;3,15;14;3,20;14;4,20;16;4,20;18;4,25;18;5,25;20;5,25;22;5,25;25;5,25;25;5,25;25;5,25;25;5,25;25;5,25;25;5,25;25;5,25;25;5,25;25;5,25;25;5,25;25;5,25;25;5,0,1
148,[#fcff12]鲁莽,  [#18ff00]攻击时有{0}%几率，造成本次伤害额外的{1}%的伤害，并提升自身全属性{2}%,1;1;1;30610,3;3;1.8;30611,5;5;2.6;30614,8;8;3.8;30617,10;10;4.6;30619,12;12;5.4;30621,14;14;6.2;30623,16;16;7;30625,18;18;7.8;30627,20;20;8.5;30629,20;20;8.5;30629,20;20;8.5;30629,20;20;8.5;30629,20;20;8.5;30629,20;20;8.5;30629,20;20;8.5;30629,20;20;8.5;30629,20;20;8.5;30629,20;20;8.5;30629,20;20;8.5;30629,20;20;8.5;30629,0,
149,[#fcff12]噬速,  [#18ff00]每次攻击有{0}%几率，降低敌方全体速度{1}%提高我方全体速度{2}%,1;1;1;30630;30650,3;3;3;30632;30652,5;5;5;30634;30654,8;8;8;30637;30657,10;10;10;30639;30659,12;12;12;30641;30661,14;14;14;30643;30663,16;16;16;30645;30665,18;18;18;30647;30667,20;20;21;30649;30669,20;20;21;30649;30669,20;20;21;30649;30669,20;20;21;30649;30669,20;20;21;30649;30669,20;20;21;30649;30669,20;20;21;30649;30669,20;20;21;30649;30669,20;20;21;30649;30669,20;20;21;30649;30669,20;20;21;30649;30669,20;20;21;30649;30669,0,
150,[#fcff12]自由落体,"  [#18ff00]当使用单体伤害技能时候,有{0}%几率,自身全属性+{1}%,但双方都进入麻痹状态(持续2回合)",1;1;30610;30600,3;1.8;30612;30600,5;2.6;30614;30600,8;3.8;30617;30600,10;4.6;30619;30600,12;5.4;30621;30600,14;6.2;30623;30600,16;7;30625;30600,18;7.8;30627;30600,20;8.5;30629;30600,20;8.5;30629;30600,20;8.5;30629;30600,20;8.5;30629;30600,20;8.5;30629;30600,20;8.5;30629;30600,20;8.5;30629;30600,20;8.5;30629;30600,20;8.5;30629;30600,20;8.5;30629;30600,20;8.5;30629;30600,20;8.5;30629;30600,0,
151,[#fcff12]冷冻,"  [#18ff00]被攻击时，有{0}%几率，对方进入冻伤状态,同时自身物防,特防+{1}%",1;1;30670;30770,3;3;30672;30772,5;5;30674;30774,8;8;30677;30777,10;10;30679;30779,12;12;30681;30781,14;14;30683;30783,16;16;30685;30785,18;18;30687;30787,20;20;30689;30789,20;20;30689;30789,20;20;30689;30789,20;20;30689;30789,20;20;30689;30789,20;20;30689;30789,20;20;30689;30789,20;20;30689;30789,20;20;30689;30789,20;20;30689;30789,20;20;30689;30789,20;20;30689;30789,0,
152,[#fcff12]慢启动,  [#18ff00]战斗开始时速度-{0}%，回合结束时使己方随机1个宝可梦物防和特防+{1}%，速度+{2}%,29;10;10,27;11;11,25;12;12,22;13;13,20;14;14,18;15;15,16;16;16,14;17;17,12;18;18,10;20;20,10;20;20,10;20;20,10;20;20,10;20;20,10;20;20,10;20;20,10;20;20,10;20;20,10;20;20,10;20;20,10;20;20,0,
153,[#fcff12]美梦,  [#18ff00]克雷色利亚的技能有{0}%概率使敌方精灵陷入睡眠状态,10,12,14,16,18,20,22,24,26,28,28,28,28,28,28,28,28,28,28,28,28,0,
154,[#fcff12]梦魇,  [#18ff00]回合结束时所有处于睡眠状态的敌方精灵生命减少其生命上限的{0}%,10,12,14,16,18,20,22,24,26,28,28,28,28,28,28,28,28,28,28,28,28,0,
155,[#fcff12]大地之花,  [#18ff00]击败敌人时，绽放花朵，恢复全军{0}点生命值，恢复自身{1}%的最大生命值,1000;10,1500;12,2000;14,3000;16,4000;18,5000;20,6000;22,7000;24,8000;26,10000;28,10000;28,10000;28,10000;28,10000;28,10000;28,10000;28,10000;28,10000;28,10000;28,10000;28,10000;28,1,
156,[#fcff12]创世,  [#18ff00]阿尔宙斯在场时，己方精灵所有属性提高{0}%，阿尔宙斯不会陷入不可行动状态,3,5,7,10,12,14,17,19,21,24,24,24,24,24,24,24,24,24,24,24,24,0,
157,[#fcff12]分析下载,  [#18ff00]出场时，随机选择对方场上一只精灵，若对方的物防＜特防，自己的物攻提升{0}%，敌方精灵物防降低{1}%；若对方的物防≥特防，自己的特攻提升{2}%，敌方精灵特防降低{3}%,10;10;10;10,11;11;11;11,12;12;12;12,13;13;13;13,14;14;14;14,15;15;15;15,16;16;16;16,17;17;17;17,18;18;18;18,20;20;20;20,20;20;20;20,20;20;20;20,20;20;20;20,20;20;20;20,20;20;20;20,20;20;20;20,20;20;20;20,20;20;20;20,20;20;20;20,20;20;20;20,20;20;20;20,0,
158,[#fcff12]妖精气场,  [#18ff00]双方场上所有宝可梦使用妖精系招式的伤害提高{0}%，每次己方精灵行动时回复最大生命{1}%，己方场上有伊裴尔塔尔时妖精气场无效,3;1,6;2,9;3,12;4,15;5,18;6,21;7,24;8,27;9,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,0,
159,[#fcff12]暗黑气场,  [#18ff00]双方场上所有宝可梦使用恶系招式的伤害提高{0}%，每次敌方精灵行动时损失最大生命{1}%，己方场上有哲尔尼亚斯时暗黑气场无效,3;1,6;2,9;3,12;4,15;5,18;6,21;7,24;8,27;9,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,0,
160,[#fcff12]魂心,  [#18ff00]我方每战败一名宝可梦，自身双攻，双防提高{0}%，全体己方精灵回复{1}%,3;1,6;2,9;3,12;4,15;5,18;6,21;7,24;8,27;9,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,0,
161,[#fcff12]暗影偷盗,  [#18ff00]攻击时回复自己造成伤害的{0}%，同时偷取对手{1}点sp,10;2,12;3,14;4,16;5,18;6,20;7,22;8,24;9,26;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,30;10,0,
