图片ID,注释,图片资源名,是否左右镜像（1为是）,图片坐标X,图片坐标Y,图片宽度,图片高度,音频内容(文件名字表示）,辅助功能分类,从上方计算坐标（1为从上方计算，2为从中间计算，不填或者填0从下方计算）
51097,进入手,teach/shou2,,440,1000,65,65,,狩猎区,2
51098,进入高亮,,,250,985,204,78,,狩猎区,2
51099,进入强制,,,250,985,204,78,,狩猎区,2
51101,点击升星入口的框,teach/suofangkuang,,185,915,166,66,,升星,
51102,点击升星入口的手指,teach/shou2,,235,955,55,55,,升星,
51103,点击升星入口的高亮,,,185,915,166,66,,升星,
51104,点击升星入口的强制区域,,,189,919,158,58,,升星,
51105,点击升星按钮的框,teach/suofangkuang,,440,930,175,80,,升星,2
51106,点击升星按钮的手指,teach/shou2,,500,970,55,55,,升星,2
51107,点击升星按钮的高亮,,,440,930,175,80,,升星,2
51108,点击升星按钮的强制区域,,,450,940,156,50,,升星,2
51171,介绍升星的效果,,,57,231,603,130,,升星,2
51172,介绍升星的属性加成,,,40,375,630,430,,升星,2
51201,点击快速战斗入口的框,teach/suofangkuang,,630,594,88,75,,快速战斗,
51202,点击快速战斗入口的手指,teach/shou2,,680,634,55,55,,快速战斗,
51203,点击快速战斗入口的高亮,,,630,594,88,75,,快速战斗,
51204,点击快速战斗入口的强制区域,,,634,598,80,67,,快速战斗,
51205,点击快速战斗免费的框,teach/suofangkuang,,271,504,177,64,,快速战斗,
51206,点击快速战斗免费的手指,teach/shou2,,321,544,55,55,,快速战斗,
51207,点击快速战斗免费的高亮,,,271,504,177,64,,快速战斗,
51208,点击快速战斗免费的强制区域,,,275,508,169,56,,快速战斗,
51301,点击装备按钮的框,teach/suofangkuang,,155,278,125,55,,装备精炼,
51302,点击装备按钮的手指,teach/shou2,,215,328,55,55,,装备精炼,
51303,点击装备按钮的高亮,,,155,278,125,55,,装备精炼,
51304,点击装备按钮的强制区域,,,165,288,104,35,,装备精炼,
51305,点击精炼也签的框,teach/suofangkuang,,18,620,70,88,,装备精炼,
51306,点击精炼也签的手指,teach/shou2,,73,665,55,55,,装备精炼,
51307,点击精炼也签的高亮,,,18,620,70,88,,装备精炼,
51308,点击精炼也签的强制区域,,,23,625,60,78,,装备精炼,
51309,点击第一个装备的框,teach/suofangkuang,,30,157,108,105,,装备精炼,
51310,点击第一个装备的手指,teach/shou2,,80,197,55,55,,装备精炼,
51311,点击第一个装备的高亮,,,30,157,108,105,,装备精炼,
51312,点击第一个装备的强制区域,,,34,161,100,97,,装备精炼,
51313,点击精炼的框,teach/suofangkuang,,510,820,170,70,,装备精炼,
51314,点击精炼的手指,teach/shou2,,569,872,55,55,,装备精炼,
51315,点击精炼的高亮,,,510,820,170,70,,装备精炼,
51316,点击精炼的强制区域,,,519,832,151,48,,装备精炼,
51401,点击装备按钮的框,teach/suofangkuang,,155,278,125,55,,装备强化,2
51402,点击装备按钮的手指,teach/shou2,,215,328,55,55,,装备强化,2
51403,点击装备按钮的高亮,,,155,278,125,55,,装备强化,2
51404,点击装备按钮的强制区域,,,165,288,104,35,,装备强化,2
51405,点击强化也签的框,teach/suofangkuang,,18,741,70,88,,装备强化,2
51406,点击强化也签的手指,teach/shou2,,73,786,55,55,,装备强化,2
51407,点击强化也签的高亮,,,18,741,70,88,,装备强化,2
51408,点击强化也签的强制区域,,,23,746,60,78,,装备强化,2
51409,点击第一个装备的框,teach/suofangkuang,,30,157,108,105,,装备强化,2
51410,点击第一个装备的手指,teach/shou2,,80,197,55,55,,装备强化,2
51411,点击第一个装备的高亮,,,30,157,108,105,,装备强化,2
51412,点击第一个装备的强制区域,,,34,161,100,97,,装备强化,2
51413,点击强化的框,teach/suofangkuang,,510,820,170,70,,装备强化,2
51414,点击强化的手指,teach/shou2,,569,872,55,55,,装备强化,2
51415,点击强化的高亮,,,510,820,170,70,,装备强化,2
51416,点击强化的强制区域,,,519,832,151,48,,装备强化,2
51501,点击装备按钮的框,teach/suofangkuang,,155,278,125,55,,装备附魔,2
51502,点击装备按钮的手指,teach/shou2,,215,328,55,55,,装备附魔,2
51503,点击装备按钮的高亮,,,155,278,125,55,,装备附魔,2
51504,点击装备按钮的强制区域,,,165,288,104,35,,装备附魔,2
51505,点击附魔也签的框,teach/suofangkuang,,18,860,70,88,,装备附魔,2
51506,点击附魔也签的手指,teach/shou2,,73,905,55,55,,装备附魔,2
51507,点击附魔也签的高亮,,,18,860,70,88,,装备附魔,2
51508,点击附魔也签的强制区域,,,23,865,60,78,,装备附魔,2
51509,点击第一个装备的框,teach/suofangkuang,,30,157,108,105,,装备附魔,2
51510,点击第一个装备的手指,teach/shou2,,80,197,55,55,,装备附魔,2
51511,点击第一个装备的高亮,,,30,157,108,105,,装备附魔,2
51512,点击第一个装备的强制区域,,,34,161,100,97,,装备附魔,2
51513,点击附魔的框,teach/suofangkuang,,490,847,170,70,,装备附魔,2
51514,点击附魔的手指,teach/shou2,,550,897,55,55,,装备附魔,2
51515,点击附魔的高亮,,,490,847,170,70,,装备附魔,2
51516,点击附魔的强制区域,,,500,857,149,50,,装备附魔,2
51601,点击饰品按钮的框,teach/suofangkuang,,15,340,125,55,,人物头饰,2
51602,点击饰品按钮的手指,teach/shou2,,75,391,55,55,,人物头饰,2
51603,点击饰品按钮的高亮,,,15,340,125,55,,人物头饰,2
51604,点击饰品按钮的强制区域,,,25,351,102,36,,人物头饰,2
51605,点击头饰也签的框,teach/suofangkuang,,520,138,185,80,,人物头饰,2
51606,点击头饰也签的手指,teach/shou2,,580,187,55,55,,人物头饰,2
51607,点击头饰也签的高亮,,,520,138,185,80,,人物头饰,2
51608,点击头饰也签的强制区域,,,530,148,165,60,,人物头饰,2
51609,点击升级的框,teach/suofangkuang,,195,828,180,74,,人物头饰,2
51610,点击升级的手指,teach/shou2,,255,876,55,55,,人物头饰,2
51611,点击升级的高亮,,,195,828,180,74,,人物头饰,2
51612,点击升级的强制区域,,,205,838,159,54,,人物头饰,2
51613,点击佩戴的框,teach/suofangkuang,,485,828,180,74,,人物头饰,2
51614,点击佩戴的手指,teach/shou2,,546,876,55,55,,人物头饰,2
51615,点击佩戴的高亮,,,485,828,180,74,,人物头饰,2
51616,点击佩戴的强制区域,,,496,836,159,54,,人物头饰,2
51701,点击饰品按钮的框,teach/suofangkuang,,15,340,125,55,,人物翅膀,2
51702,点击饰品按钮的手指,teach/shou2,,75,390,55,55,,人物翅膀,2
51703,点击饰品按钮的高亮,,,15,340,125,55,,人物翅膀,2
51704,点击饰品按钮的强制区域,,,18,346,120,44,,人物翅膀,2
51705,点击翅膀也签的框,teach/suofangkuang,,25,138,185,80,,人物翅膀,2
51706,点击翅膀也签的手指,teach/shou2,,90,188,55,55,,人物翅膀,2
51707,点击翅膀也签的高亮,,,25,138,185,80,,人物翅膀,2
51708,点击翅膀也签的强制区域,,,30,147,166,60,,人物翅膀,2
51709,点击升级的框,teach/suofangkuang,,195,828,180,74,,人物翅膀,2
51710,点击升级的手指,teach/shou2,,255,876,55,55,,人物翅膀,2
51711,点击升级的高亮,,,195,828,180,74,,人物翅膀,2
51712,点击升级的强制区域,,,205,836,159,54,,人物翅膀,2
51713,点击佩戴的框,teach/suofangkuang,,485,828,180,74,,人物翅膀,2
51714,点击佩戴的手指,teach/shou2,,546,876,55,55,,人物翅膀,2
51715,点击佩戴的高亮,,,485,828,180,74,,人物翅膀,2
51716,点击佩戴的强制区域,,,496,836,159,54,,人物翅膀,2
51801,点击徽章按钮的框,teach/suofangkuang,,463,460,61,60,,人物徽章,
51802,点击徽章按钮的手指,teach/shou2,,513,500,55,55,,人物徽章,
51803,点击徽章按钮的高亮,,,463,460,61,60,,人物徽章,
51804,点击徽章按钮的强制区域,,,467,464,53,52,,人物徽章,
51805,点击升级的框,teach/suofangkuang,,295,915,125,50,,人物徽章,
51806,点击升级的手指,teach/shou2,,354,963,55,55,,人物徽章,
51807,点击升级的高亮,,,295,915,125,50,,人物徽章,
51808,点击升级的强制区域,,,304,923,105,28,,人物徽章,
51901,点击自动闯关的框,teach/suofangkuang,,635,790,80,80,,自动闯关,
51902,点击自动闯关的手指,teach/shou2,,690,833,55,55,,自动闯关,
51903,点击自动闯关的高亮,,,635,790,80,80,,自动闯关,
51904,点击自动闯关的强制区域,,,640,793,67,69,,自动闯关,
52001,引导点击特殊副本的框,teach/suofangkuang,,820,570,210,300,,特殊副本,
52002,引导点击特殊副本的手指,teach/shou2,,920,860,55,55,,特殊副本,
52003,引导点击特殊副本的高亮,,,820,570,210,300,,特殊副本,
52004,引导点击特殊副本的强制区域,,,840,580,200,280,,特殊副本,
52005,点击亲密副本的框,teach/suofangkuang,,175,790,84,120,,,2
52006,点击亲密副本的手指,teach/shou2,,227,836,55,55,,,2
52007,点击亲密副本的高亮,,,175,790,84,120,,,2
52008,点击亲密副本的强制区域,,,179,794,76,112,,,2
52009,点击第一区域挑战按钮的框,teach/suofangkuang,,1010,153,140,60,,特殊副本,2
52010,点击第一区域挑战按钮的手指,teach/shou2,,1080,202,55,55,,特殊副本,2
52011,点击第一区域挑战按钮的高亮,,,1010,153,140,60,,特殊副本,2
52012,点击第一区域挑战按钮的强制区域,,,1010,153,140,60,,特殊副本,2
52101,点击地底挑战按钮的框,teach/suofangkuang,,745,135,60,65,,地底挑战,
52102,点击地底挑战按钮的手指,teach/shou2,,775,176,55,55,,地底挑战,
52103,点击地底挑战按钮的高亮,,,745,135,60,65,,地底挑战,
52104,点击地底挑战按钮的强制区域,,,750,139,52,57,,地底挑战,
52201,点击布阵的框,teach/suofangkuang,,645,515,66,93,,布阵,1
52202,点击布阵的手指,teach/shou2,,680,555,40,40,,布阵,1
52203,点击布阵的高亮,,,645,515,66,93,,布阵,1
52204,点击布阵的强制区域,,,650,520,55,80,,布阵,1
52205,点击强攻的框,teach/suofangkuang,,45,130,82,70,,布阵,1
52206,点击强攻的手指,teach/shou2,,101,175,55,55,,布阵,1
52207,点击强攻的高亮,,,45,130,82,70,,布阵,1
52208,点击强攻的强制区域,,,51,135,72,58,,布阵,1
52209,点击升级的框,teach/suofangkuang,,265,945,185,70,,布阵,
52210,点击升级的手指,teach/shou2,,326,993,55,55,,布阵,
52211,点击升级的高亮,,,265,945,185,70,,布阵,
52212,点击升级的强制区域,,,276,953,164,54,,布阵,
52271,介绍阵型的作用,,,12,264,697,550,,布阵,1
52301,点击性格的框,teach/suofangkuang,,535,165,180,65,,性格,
52302,点击性格的手指,teach/shou2,,598,217,55,55,,性格,
52303,点击性格的高亮,,,535,165,180,65,,性格,
52304,点击性格的强制区域,,,546,177,153,41,,性格,
52305,点击洗性格按钮的框,teach/suofangkuang,,270,855,180,75,,性格,
52306,点击洗性格按钮的手指,teach/shou2,,329,903,55,55,,性格,
52307,点击洗性格按钮的高亮,,,270,855,180,75,,性格,
52308,点击洗性格按钮的强制区域,,,280,865,158,45,,性格,
52371,介绍性格的作用,,,117,421,482,370,,性格,
52401,点击个体的框,teach/suofangkuang,,536,92,173,65,,个体,
52402,点击个体的手指,teach/shou2,,598,142,55,55,,个体,
52403,点击个体的高亮,,,536,92,173,65,,个体,
52404,点击个体的强制区域,,,546,102,153,41,,个体,
52405,点击洗练1次按钮的框,teach/suofangkuang,,171,848,165,72,,个体,
52406,点击洗练1次按钮的手指,teach/shou2,,238,865,55,55,,个体,
52407,点击洗练1次按钮的高亮,,,171,848,165,72,,个体,
52408,点击洗练1次按钮的强制区域,,,181,824,126,37,,个体,
52471,个体值介绍的区域,,,36,370,650,370,,个体,
52472,锁的介绍,,,623,436,45,294,,个体,
52501,点击公会的框,teach/suofangkuang,,620,1000,95,90,,公会,
52502,点击公会的手指,teach/shou2,,653,1029,55,55,,公会,
52503,点击公会的高亮,,,620,1000,95,90,,公会,
52504,点击公会的强制区域,,,635,1019,65,57,,公会,
52601,点击助阵的框,teach/suofangkuang,,20,295,137,72,,助阵,1
52602,点击助阵的手指,teach/shou2,,125,360,55,55,,助阵,1
52603,点击助阵的高亮,,,20,295,137,72,,助阵,1
52604,点击助阵的强制区域,,,30,305,120,40,,助阵,1
52671,精灵区域介绍,,,27,348,663,205,,助阵,2
52672,精灵属性区域介绍,,,51,132,611,186,,助阵,2
52701,点击秘境普通骰子的框,teach/suofangkuang,,200,805,105,110,,秘境,2
52702,点击秘境普通骰子的手指,teach/shou2,,270,866,55,55,,秘境,2
52703,点击秘境普通骰子的高亮,,,200,805,105,110,,秘境,2
52704,点击秘境普通骰子的强制区域,,,220,826,66,69,,秘境,2
52771,介绍秘境随即事件,,,2,549,713,237,,秘境,2
52801,点击第一个矿的框,teach/suofangkuang,,3,82,72,64,,挖矿,2
52802,点击第一个矿的手指,teach/shou2,,58,127,55,55,,挖矿,2
52803,点击第一个矿的高亮,,,3,82,72,64,,挖矿,2
52804,点击第一个矿的强制区域,,,8,87,62,54,,挖矿,2
52871,挖矿的介绍,,,6,81,710,881,,挖矿,2
52872,挖矿消耗的介绍,,,5,8,315,52,,挖矿,2
52901,点击精灵大赛的框,teach/suofangkuang,,125,725,120,110,,精灵大赛,
52902,点击精灵大赛的手指,teach/shou2,,180,780,55,55,,精灵大赛,
52903,点击精灵大赛的高亮,,,125,725,120,110,,精灵大赛,
52904,点击精灵大赛的强制区域,,,130,730,100,90,,精灵大赛,
52905,点击精灵大赛新手赛区的框,teach/suofangkuang,,170,822,380,65,,精灵大赛,2
52906,点击精灵大赛新手赛区的手指,teach/shou2,,229,872,55,55,,精灵大赛,2
52907,点击精灵大赛新手赛区的高亮,,,170,822,380,65,,精灵大赛,2
52908,点击精灵大赛新手赛区的强制区域,,,179,832,359,45,,精灵大赛,2
53001,点击家园的框,teach/suofangkuang,,30,180,110,60,,家园,
53002,点击家园的手指,teach/shou2,,101,203,55,55,,家园,
53003,点击家园的高亮,,,30,180,110,60,,家园,
53004,点击家园的强制区域,,,40,190,100,50,,家园,
53005,点击探索页签的框,teach/suofangkuang,,455,995,105,85,,家园,2
53006,点击探索页签的手指,teach/shou2,,515,1043,55,55,,家园,2
53007,点击探索页签的高亮,,,455,995,105,85,,家园,2
53008,点击探索页签的强制区域,,,465,1003,84,66,,家园,2
53009,点击寻宝页签的框,teach/suofangkuang,,268,134,185,75,,家园,2
53010,点击寻宝页签的手指,teach/shou2,,326,184,55,55,,家园,2
53011,点击寻宝页签的高亮,,,268,134,185,75,,家园,2
53012,点击寻宝页签的强制区域,,,278,144,165,55,,家园,2
53013,点击寻宝免费抽取的框,teach/suofangkuang,,90,830,175,65,,家园,2
53014,点击寻宝免费抽取的手指,teach/shou2,,148,879,55,55,,家园,2
53015,点击寻宝免费抽取的高亮,,,90,830,175,65,,家园,2
53016,点击寻宝免费抽取的强制区域,,,98,839,154,44,,家园,2
53017,点击寻宝关闭按钮的框,teach/suofangkuang,,600,55,105,65,,家园,2
53018,点击寻宝关闭按钮的手指,teach/shou2,,659,104,55,55,,家园,2
53019,点击寻宝关闭按钮的高亮,,,600,55,105,65,,家园,2
53020,点击寻宝关闭按钮的强制区域,,,609,64,85,46,,家园,2
53021,点击打造页签的框,teach/suofangkuang,,310,993,105,85,,家园,2
53022,点击打造页签的手指,teach/shou2,,371,1043,55,55,,家园,2
53023,点击打造页签的高亮,,,310,993,105,85,,家园,2
53024,点击打造页签的强制区域,,,320,1003,84,66,,家园,2
53025,点击第一个家具的框,teach/suofangkuang,,65,315,105,102,,家园,2
53026,点击第一个家具的手指,teach/shou2,,125,365,55,55,,家园,2
53027,点击第一个家具的高亮,,,65,315,105,102,,家园,2
53028,点击第一个家具的强制区域,,,75,325,85,82,,家园,2
53029,点击打造按钮的框,teach/suofangkuang,,410,875,172,70,,家园,2
53030,点击打造按钮的手指,teach/shou2,,471,922,55,55,,家园,2
53031,点击打造按钮的高亮,,,410,875,172,70,,家园,2
53032,点击打造按钮的强制区域,,,421,882,152,50,,家园,2
53101,点击超进化也签缩放框,teach/suofangkuang,,293,997,128,53,,超进化,
53102,点击超进化也签手指,teach/shou2,,343,1037,55,55,,超进化,
53103,点击超进化也签高亮,,,293,997,128,53,,超进化,
53104,点击超进化也签点击区域,,,297,1001,120,45,,超进化,
53201,点击战斗地铁缩放框,teach/suofangkuang,,120,920,210,70,,战斗地铁,
53202,点击战斗地铁手指,teach/shou2,,190,975,55,55,,战斗地铁,
53203,点击战斗地铁高亮,,,120,920,210,70,,战斗地铁,
53204,点击战斗地铁点击区域,,,140,940,178,50,,战斗地铁,
53205,点击挑战缩放框,teach/suofangkuang,,26,807,176,70,,战斗地铁,1
53206,点击挑战手指,teach/shou2,,70,867,55,55,,战斗地铁,1
53207,点击挑战高亮,,,26,807,176,70,,战斗地铁,1
53208,点击挑战点击区域,,,26,807,176,70,,战斗地铁,1
53209,前往缩放,teach/suofangkuang,,266,762,176,70,,战斗地铁,2
53210,前往手,teach/shou2,,310,822,55,55,,战斗地铁,2
53211,高亮,,,266,762,176,70,,战斗地铁,2
53212,点击,,,266,762,176,70,,战斗地铁,2
53301,介绍孵蛋区域的高亮,,,27,32,661,295,,生蛋,
53302,介绍蛋背包的高亮,,,25,593,671,355,,生蛋,
53303,点击孵蛋的小女孩的缩放框,teach/suofangkuang,,333,346,83,83,,生蛋,
53304,点击孵蛋的小女孩的手指,teach/shou2,,400,400,55,55,,生蛋,
53305,点击孵蛋的小女孩的高亮,,,333,346,83,83,,生蛋,
53306,点击孵蛋的小女孩的点击区域,,,339,358,71,70,,生蛋,
53307,介绍生蛋的区域高亮,,,58,107,617,361,,生蛋,
53401,点击道馆的框,teach/suofangkuang,,0,170,160,110,,道馆,
53402,点击道馆的手指,teach/shou2,,95,220,55,55,,道馆,
53403,点击道馆的高亮,,,0,170,160,110,,道馆,
53404,点击道馆的点击区域,,,10,180,150,100,,道馆,
53405,点击第一个道馆的框,teach/suofangkuang,,116,768,164,140,,道馆,2
53406,点击第一个道馆的手指,teach/shou2,,260,900,55,55,,道馆,2
53407,点击第一个道馆的高亮,,,116,768,164,140,,道馆,2
53408,点击第一个道馆的点击区域,,,141,790,116,88,,道馆,2
53409,告知队伍调整区域高亮,,,24,415,675,491,,道馆,2
53410,点击挑战道馆的框,teach/suofangkuang,,380,342,148,71,,道馆,2
53411,点击挑战道馆的手指,teach/shou2,,520,400,55,55,,道馆,2
53412,点击挑战道馆的高亮,,,380,342,148,71,,道馆,2
53413,点击挑战道馆的点击区域,,,404,359,102,37,,道馆,2
54000,精灵球缩放框,teach/suofangkuang,,8,654,80,67,,捕获小精灵,
54001,精灵球手,teach/shou2,,80,677,55,55,,捕获小精灵,
54002,精灵球高亮,,,8,654,80,67,,捕获小精灵,
54003,精灵球点击,,,8,654,80,67,,捕获小精灵,
54004,捕获缩放框,teach/suofangkuang,,120,555,130,55,,捕获小精灵,2
54005,捕获手,teach/shou2,,216,578,55,55,,捕获小精灵,2
54006,捕获高亮,,,120,555,130,55,,捕获小精灵,2
54007,捕获点击,,,120,555,130,55,,捕获小精灵,2
54008,撞击缩放,teach/suofangkuang,,35,1003,195,72,,捕获小精灵,
54009,撞击手,teach/shou2,,174,1052,55,55,,捕获小精灵,
54010,撞击高亮,,,35,1003,195,72,,捕获小精灵,
54011,撞击点击,,,35,1003,195,72,,捕获小精灵,
54012,丢石头缩放,teach/suofangkuang,,260,1003,192,72,,捕获小精灵,
54013,丢石头手,teach/shou2,,397,1052,55,55,,捕获小精灵,
54014,丢石头高亮,,,260,1003,192,72,,捕获小精灵,
54015,丢石头点击,,,260,1003,192,72,,捕获小精灵,
54016,精灵球缩放框,teach/suofangkuang,,275,845,75,66,,捕获小精灵,
54017,精灵球手,teach/shou2,,330,897,55,55,,捕获小精灵,
54018,精灵球高亮,,,275,845,75,66,,捕获小精灵,
54019,精灵球点击,,,275,845,75,66,,捕获小精灵,
55000,点击古木镇的框,teach/suofangkuang,,320,590,110,110,,飞行,2
55001,点击古木镇的手指,teach/shou2,,375,628,55,55,,飞行,2
55002,点击古木镇的高亮,,,320,590,110,110,,飞行,2
55003,点击古木镇的强制区域,,,320,590,110,110,,飞行,2
