神器特性id,神器特性类型,附加说明,注释,特性值(几率=数/100),"触发条件(1.每次攻击时,2.每次被攻击时,5.登场时,6.自身死亡时）",触发条件2（1.生命值大于X，2.生命值小于X）,触发条件2数值,"作用目标（1.自身,2.友方随机1个人,3.友方全体,4对方随机1个人,5.对方全体）","效果几率（百分比,1是必定触发）","效果1类型（1.物攻增加百分比,2.特攻增加百分比,3.物防增加百分比,4特防增加百分比,5.伤害增加百分比,6.回复sp固定值,7.回复生命值上限的百分比生命值 8.回复伤害的百分比生命值 9.回复物攻,特攻中较高上限的生命值 10.回复物防,特防中较高上限的生命值 11.回复生命,速度中较高的上限生命值 12.驱除减益效果 13.复活 14.增加的buff ID 15.回复当前生命值百分比的血量 16.受到的伤害减免百分比)(；分隔是共同起作用）",效果1数值,"效果2类型（1.物攻增加百分比,2.特攻增加百分比,3.物防增加百分比,4特防增加百分比,5.伤害增加百分比,6.回复sp固定值,7.回复生命值上限的百分比生命值 8.回复伤害的百分比生命值 9.回复物攻,特攻中较高上限的生命值 10.回复物防,特防中较高上限的生命值 11.回复生命,速度中较高的上限生命值 12.驱除减益效果 13.复活 14.增加的buff ID 15.回复当前生命值百分比的血量 16.受到的伤害减免百分比)(；分隔是共同起作用）",效果2数值,随机权重,神器框颜色（1.绿 2.蓝 3.紫 4.橙 5.红）
715,30,"(9星激活)攻击时,{0}%几率随机回复己方1个宝可梦自身物攻,特攻中较高值的{1}%(绿:5%,红:25%)血量",,30;25,1,,,2,0.3,9,0.25,,,20,5
721,31,"(9星激活)血量大于{0}%时,{1}%几率攻击随机降低敌方1个宝可梦sp{2}点(绿:5点,红:25点)",,70;50;5,1,1,70,4,0.5,6,-5,,,300,1
722,31,"(9星激活)血量大于{0}%时,{1}%几率攻击随机降低敌方1个宝可梦sp{2}点(绿:5点,红:25点)",,70;50;10,1,1,70,4,0.5,6,-10,,,400,2
723,31,"(9星激活)血量大于{0}%时,{1}%几率攻击随机降低敌方1个宝可梦sp{2}点(绿:5点,红:25点)",,70;50;15,1,1,70,4,0.5,6,-15,,,200,3
724,31,"(9星激活)血量大于{0}%时,{1}%几率攻击随机降低敌方1个宝可梦sp{2}点(绿:5点,红:25点)",,70;50;20,1,1,70,4,0.5,6,-20,,,80,4
725,31,"(9星激活)血量大于{0}%时,{1}%几率攻击随机降低敌方1个宝可梦sp{2}点(绿:5点,红:25点)",,70;50;25,1,1,70,4,0.5,6,-25,,,20,5
731,32,"(9星激活)血量小于{0}%时,{1}%几率攻击随机降低敌方1个宝可梦sp{2}点(绿:5点,红:25点)",,35;50;5,1,2,35,4,0.5,6,-5,,,300,1
732,32,"(9星激活)血量小于{0}%时,{1}%几率攻击随机降低敌方1个宝可梦sp{2}点(绿:5点,红:25点)",,35;50;10,1,2,35,4,0.5,6,-10,,,400,2
733,32,"(9星激活)血量小于{0}%时,{1}%几率攻击随机降低敌方1个宝可梦sp{2}点(绿:5点,红:25点)",,35;50;15,1,2,35,4,0.5,6,-15,,,200,3
734,32,"(9星激活)血量小于{0}%时,{1}%几率攻击随机降低敌方1个宝可梦sp{2}点(绿:5点,红:25点)",,35;50;20,1,2,35,4,0.5,6,-20,,,80,4
735,32,"(9星激活)血量小于{0}%时,{1}%几率攻击随机降低敌方1个宝可梦sp{2}点(绿:5点,红:25点)",,35;50;25,1,2,35,4,0.5,6,-25,,,20,5
5001,501,"(9星激活)登场时,自身物攻,特攻增加{0}%(绿:3%,红:15%)",,3,5,,,1,1,1,0.03,2,0.03,300,1
5002,501,"(9星激活)登场时,自身物攻,特攻增加{0}%(绿:3%,红:15%)",,6,5,,,1,1,1,0.06,2,0.06,400,2
5003,501,"(9星激活)登场时,自身物攻,特攻增加{0}%(绿:3%,红:15%)",,9,5,,,1,1,1,0.09,2,0.09,200,3
5004,501,"(9星激活)登场时,自身物攻,特攻增加{0}%(绿:3%,红:15%)",,12,5,,,1,1,1,0.12,2,0.12,80,4
5005,501,"(9星激活)登场时,自身物攻,特攻增加{0}%(绿:3%,红:15%)",,15,5,,,1,1,1,0.15,2,0.15,20,5
5011,502,"(9星激活)攻击时,{0}%(绿:5%,红:25%)几率随机让1个敌方精灵混乱,持续2回合",,5,1,,,4,0.05,14,1000021,,,300,1
5012,502,"(9星激活)攻击时,{0}%(绿:5%,红:25%)几率随机让1个敌方精灵混乱,持续2回合",,10,1,,,4,0.1,14,1000021,,,400,2
5013,502,"(9星激活)攻击时,{0}%(绿:5%,红:25%)几率随机让1个敌方精灵混乱,持续2回合",,15,1,,,4,0.15,14,1000021,,,200,3
5014,502,"(9星激活)攻击时,{0}%(绿:5%,红:25%)几率随机让1个敌方精灵混乱,持续2回合",,20,1,,,4,0.2,14,1000021,,,80,4
5015,502,"(9星激活)攻击时,{0}%(绿:5%,红:25%)几率随机让1个敌方精灵混乱,持续2回合",,25,1,,,4,0.25,14,1000021,,,20,5
5021,503,"(9星激活)攻击时,{0}%几率这次伤害增加{1}%(绿:6%,红:30%)",,30;6,1,,,1,0.3,5,0.06,,,300,1
5022,503,"(9星激活)攻击时,{0}%几率这次伤害增加{1}%(绿:6%,红:30%)",,30;12,1,,,1,0.3,5,0.12,,,400,2
5023,503,"(9星激活)攻击时,{0}%几率这次伤害增加{1}%(绿:6%,红:30%)",,30;18,1,,,1,0.3,5,0.18,,,200,3
5024,503,"(9星激活)攻击时,{0}%几率这次伤害增加{1}%(绿:6%,红:30%)",,30;24,1,,,1,0.3,5,0.24,,,80,4
5025,503,"(9星激活)攻击时,{0}%几率这次伤害增加{1}%(绿:6%,红:30%)",,30;30,1,,,1,0.3,5,0.3,,,20,5
5031,504,"(9星激活)攻击时,{0}%(绿:5%,红:25%)几率随机让1个敌方精灵睡眠,持续2回合",,5,1,,,4,0.05,14,1000011,,,300,1
5032,504,"(9星激活)攻击时,{0}%(绿:5%,红:25%)几率随机让1个敌方精灵睡眠,持续2回合",,10,1,,,4,0.1,14,1000011,,,400,2
5033,504,"(9星激活)攻击时,{0}%(绿:5%,红:25%)几率随机让1个敌方精灵睡眠,持续2回合",,15,1,,,4,0.15,14,1000011,,,200,3
5034,504,"(9星激活)攻击时,{0}%(绿:5%,红:25%)几率随机让1个敌方精灵睡眠,持续2回合",,20,1,,,4,0.2,14,1000011,,,80,4
5035,504,"(9星激活)攻击时,{0}%(绿:5%,红:25%)几率随机让1个敌方精灵睡眠,持续2回合",,25,1,,,4,0.25,14,1000011,,,20,5
5041,505,"(9星激活)攻击时,{0}%几率自身伤害增加{1}%(绿:4%,红:20%),持续4回合",,25;4,1,,,1,0.25,14,1000556,,,300,1
5042,505,"(9星激活)攻击时,{0}%几率自身伤害增加{1}%(绿:4%,红:20%),持续4回合",,25;8,1,,,1,0.25,14,1000557,,,400,2
5043,505,"(9星激活)攻击时,{0}%几率自身伤害增加{1}%(绿:4%,红:20%),持续4回合",,25;12,1,,,1,0.25,14,1000558,,,200,3
5044,505,"(9星激活)攻击时,{0}%几率自身伤害增加{1}%(绿:4%,红:20%),持续4回合",,25;16,1,,,1,0.25,14,1000559,,,80,4
5045,505,"(9星激活)攻击时,{0}%几率自身伤害增加{1}%(绿:4%,红:20%),持续4回合",,25;20,1,,,1,0.25,14,1000560,,,20,5
5051,506,"(9星激活)攻击时,{0}%(绿:5%,红:25%)几率随机让1个敌方精灵麻痹,持续2回合",,5,1,,,4,0.05,14,1000001,,,300,1
5052,506,"(9星激活)攻击时,{0}%(绿:5%,红:25%)几率随机让1个敌方精灵麻痹,持续2回合",,10,1,,,4,0.1,14,1000001,,,400,2
5053,506,"(9星激活)攻击时,{0}%(绿:5%,红:25%)几率随机让1个敌方精灵麻痹,持续2回合",,15,1,,,4,0.15,14,1000001,,,200,3
5054,506,"(9星激活)攻击时,{0}%(绿:5%,红:25%)几率随机让1个敌方精灵麻痹,持续2回合",,20,1,,,4,0.2,14,1000001,,,80,4
5055,506,"(9星激活)攻击时,{0}%(绿:5%,红:25%)几率随机让1个敌方精灵麻痹,持续2回合",,25,1,,,4,0.25,14,1000001,,,20,5
5061,507,"(9星激活)登场时,自身物防,特防增加{0}%(绿:4%,红:20%)",,4,5,,,1,1,3,0.03,4,0.04,300,1
5062,507,"(9星激活)登场时,自身物防,特防增加{0}%(绿:4%,红:20%)",,8,5,,,1,1,3,0.06,4,0.08,400,2
5063,507,"(9星激活)登场时,自身物防,特防增加{0}%(绿:4%,红:20%)",,12,5,,,1,1,3,0.09,4,0.12,200,3
5064,507,"(9星激活)登场时,自身物防,特防增加{0}%(绿:4%,红:20%)",,16,5,,,1,1,3,0.12,4,0.16,80,4
5065,507,"(9星激活)登场时,自身物防,特防增加{0}%(绿:4%,红:20%)",,20,5,,,1,1,3,0.15,4,0.2,20,5
5071,508,"(9星激活)攻击时,有{0}%几率自身回复生命值上限的{1}%(绿:3%,红:15%)的血量",,30;3,1,,,1,0.3,7,0.03,,,300,1
5072,508,"(9星激活)攻击时,有{0}%几率自身回复生命值上限的{1}%(绿:3%,红:15%)的血量",,30;6,1,,,1,0.3,7,0.06,,,400,2
5073,508,"(9星激活)攻击时,有{0}%几率自身回复生命值上限的{1}%(绿:3%,红:15%)的血量",,30;9,1,,,1,0.3,7,0.09,,,200,3
5074,508,"(9星激活)攻击时,有{0}%几率自身回复生命值上限的{1}%(绿:3%,红:15%)的血量",,30;12,1,,,1,0.3,7,0.12,,,80,4
5075,508,"(9星激活)攻击时,有{0}%几率自身回复生命值上限的{1}%(绿:3%,红:15%)的血量",,30;15,1,,,1,0.3,7,0.15,,,20,5
5081,509,"(9星激活)攻击时,{0}%几率随机对敌方1个精灵造成自身最大生命值的{1}%(绿:3%,红:15%)的伤害",,30;3,1,,,4,0.3,7,-0.03,,,300,1
5082,509,"(9星激活)攻击时,{0}%几率随机对敌方1个精灵造成自身最大生命值的{1}%(绿:3%,红:15%)的伤害",,30;6,1,,,4,0.3,7,-0.06,,,400,2
5083,509,"(9星激活)攻击时,{0}%几率随机对敌方1个精灵造成自身最大生命值的{1}%(绿:3%,红:15%)的伤害",,30;9,1,,,4,0.3,7,-0.09,,,200,3
5084,509,"(9星激活)攻击时,{0}%几率随机对敌方1个精灵造成自身最大生命值的{1}%(绿:3%,红:15%)的伤害",,30;12,1,,,4,0.3,7,-0.12,,,80,4
5085,509,"(9星激活)攻击时,{0}%几率随机对敌方1个精灵造成自身最大生命值的{1}%(绿:3%,红:15%)的伤害",,30;15,1,,,4,0.3,7,-0.15,,,20,5
5091,510,"(9星激活)自己死亡时,有{0}%(绿:5%,红:25%)几率复活并回复{1}%的血量",,5;5,6,,,1,0.07,13,,7,0.05,300,1
5092,510,"(9星激活)自己死亡时,有{0}%(绿:5%,红:25%)几率复活并回复{1}%的血量",,10;5,6,,,1,0.14,13,,7,0.05,400,2
5093,510,"(9星激活)自己死亡时,有{0}%(绿:5%,红:25%)几率复活并回复{1}%的血量",,15;5,6,,,1,0.21,13,,7,0.05,200,3
5094,510,"(9星激活)自己死亡时,有{0}%(绿:5%,红:25%)几率复活并回复{1}%的血量",,20;5,6,,,1,0.28,13,,7,0.05,80,4
5095,510,"(9星激活)自己死亡时,有{0}%(绿:5%,红:25%)几率复活并回复{1}%的血量",,25;5,6,,,1,0.35,13,,7,0.05,20,5
5101,511,"(9星激活)登场时,增加友方全队宝可梦的双防{0}%(绿:2%,红:10%)",,2,5,,,3,1,3,0.02,4,0.02,300,1
5102,511,"(9星激活)登场时,增加友方全队宝可梦的双防{0}%(绿:2%,红:10%)",,4,5,,,3,1,3,0.04,4,0.04,400,2
5103,511,"(9星激活)登场时,增加友方全队宝可梦的双防{0}%(绿:2%,红:10%)",,6,5,,,3,1,3,0.06,4,0.06,200,3
5104,511,"(9星激活)登场时,增加友方全队宝可梦的双防{0}%(绿:2%,红:10%)",,8,5,,,3,1,3,0.08,4,0.08,80,4
5105,511,"(9星激活)登场时,增加友方全队宝可梦的双防{0}%(绿:2%,红:10%)",,10,5,,,3,1,3,0.1,4,0.1,20,5
5111,512,"(9星激活)攻击时,{0}%几率随机降低敌方1个精灵双攻{1}%(绿:3%,红:15%),持续4回合",,35;3,1,,,4,0.35,14,1000261,,,300,1
5112,512,"(9星激活)攻击时,{0}%几率随机降低敌方1个精灵双攻{1}%(绿:3%,红:15%),持续4回合",,35;6,1,,,4,0.35,14,1000262,,,400,2
5113,512,"(9星激活)攻击时,{0}%几率随机降低敌方1个精灵双攻{1}%(绿:3%,红:15%),持续4回合",,35;9,1,,,4,0.35,14,1000263,,,200,3
5114,512,"(9星激活)攻击时,{0}%几率随机降低敌方1个精灵双攻{1}%(绿:3%,红:15%),持续4回合",,35;12,1,,,4,0.35,14,1000264,,,80,4
5115,512,"(9星激活)攻击时,{0}%几率随机降低敌方1个精灵双攻{1}%(绿:3%,红:15%),持续4回合",,35;15,1,,,4,0.35,14,1000265,,,20,5
5121,513,"(9星激活)登场时,增加友方全队宝可梦的双攻{0}%(绿:2%,红:10%)",,2,5,,,3,1,1,0.01,2,0.02,300,1
5122,513,"(9星激活)登场时,增加友方全队宝可梦的双攻{0}%(绿:2%,红:10%)",,4,5,,,3,1,1,0.02,2,0.04,400,2
5123,513,"(9星激活)登场时,增加友方全队宝可梦的双攻{0}%(绿:2%,红:10%)",,6,5,,,3,1,1,0.03,2,0.06,200,3
5124,513,"(9星激活)登场时,增加友方全队宝可梦的双攻{0}%(绿:2%,红:10%)",,8,5,,,3,1,1,0.04,2,0.08,80,4
5125,513,"(9星激活)登场时,增加友方全队宝可梦的双攻{0}%(绿:2%,红:10%)",,10,5,,,3,1,1,0.05,2,0.1,20,5
5131,514,"(9星激活)攻击时,{0}%几率随机增加己方1个精灵双攻{1}%(绿:3%,红:15%),持续4回合",,35;3,1,,,2,0.35,14,1000161,,,300,1
5132,514,"(9星激活)攻击时,{0}%几率随机增加己方1个精灵双攻{1}%(绿:3%,红:15%),持续4回合",,35;6,1,,,2,0.35,14,1000162,,,400,2
5133,514,"(9星激活)攻击时,{0}%几率随机增加己方1个精灵双攻{1}%(绿:3%,红:15%),持续4回合",,35;9,1,,,2,0.35,14,1000163,,,200,3
5134,514,"(9星激活)攻击时,{0}%几率随机增加己方1个精灵双攻{1}%(绿:3%,红:15%),持续4回合",,35;12,1,,,2,0.35,14,1000164,,,80,4
5135,514,"(9星激活)攻击时,{0}%几率随机增加己方1个精灵双攻{1}%(绿:3%,红:15%),持续4回合",,35;15,1,,,2,0.35,14,1000165,,,20,5
5141,515,"(9星激活)攻击时,{0}%几率随机增加己方1个精灵伤害{1}%(绿:5%,红:25%),持续4回合",,25;5,1,,,2,0.25,14,1000561,,,300,1
5142,515,"(9星激活)攻击时,{0}%几率随机增加己方1个精灵伤害{1}%(绿:5%,红:25%),持续4回合",,25;10,1,,,2,0.25,14,1000562,,,400,2
5143,515,"(9星激活)攻击时,{0}%几率随机增加己方1个精灵伤害{1}%(绿:5%,红:25%),持续4回合",,25;15,1,,,2,0.25,14,1000563,,,200,3
5144,515,"(9星激活)攻击时,{0}%几率随机增加己方1个精灵伤害{1}%(绿:5%,红:25%),持续4回合",,25;20,1,,,2,0.25,14,1000564,,,80,4
5145,515,"(9星激活)攻击时,{0}%几率随机增加己方1个精灵伤害{1}%(绿:5%,红:25%),持续4回合",,25;25,1,,,2,0.25,14,1000565,,,20,5
5151,516,"(9星激活)登场时,友方全队伤害增加{0}%(绿:3%,红:15%)",,3,5,,,3,1,5,0.03,,,300,1
5152,516,"(9星激活)登场时,友方全队伤害增加{0}%(绿:3%,红:15%)",,6,5,,,3,1,5,0.06,,,400,2
5153,516,"(9星激活)登场时,友方全队伤害增加{0}%(绿:3%,红:15%)",,9,5,,,3,1,5,0.09,,,200,3
5154,516,"(9星激活)登场时,友方全队伤害增加{0}%(绿:3%,红:15%)",,12,5,,,3,1,5,0.12,,,80,4
5155,516,"(9星激活)登场时,友方全队伤害增加{0}%(绿:3%,红:15%)",,15,5,,,3,1,5,0.15,,,20,5
5161,517,"(9星激活)攻击时,{0}%几率全队回复每个精灵自身生命值上限的{1}%(绿:2%,红:10%)血量",,25;2,1,,,3,0.25,7,0.02,,,300,1
5162,517,"(9星激活)攻击时,{0}%几率全队回复每个精灵自身生命值上限的{1}%(绿:2%,红:10%)血量",,25;4,1,,,3,0.25,7,0.04,,,400,2
5163,517,"(9星激活)攻击时,{0}%几率全队回复每个精灵自身生命值上限的{1}%(绿:2%,红:10%)血量",,25;6,1,,,3,0.25,7,0.06,,,200,3
5164,517,"(9星激活)攻击时,{0}%几率全队回复每个精灵自身生命值上限的{1}%(绿:2%,红:10%)血量",,25;8,1,,,3,0.25,7,0.08,,,80,4
5165,517,"(9星激活)攻击时,{0}%几率全队回复每个精灵自身生命值上限的{1}%(绿:2%,红:10%)血量",,25;10,1,,,3,0.25,7,0.1,,,20,5
5171,518,"(9星激活)攻击时,{0}%几率随机友方1个精灵回复自身生命值上限的{1}%(绿:5%,红:25%)血量",,35;5,1,,,2,0.35,7,0.05,,,300,1
5172,518,"(9星激活)攻击时,{0}%几率随机友方1个精灵回复自身生命值上限的{1}%(绿:5%,红:25%)血量",,35;10,1,,,2,0.35,7,0.1,,,400,2
5173,518,"(9星激活)攻击时,{0}%几率随机友方1个精灵回复自身生命值上限的{1}%(绿:5%,红:25%)血量",,35;15,1,,,2,0.35,7,0.15,,,200,3
5174,518,"(9星激活)攻击时,{0}%几率随机友方1个精灵回复自身生命值上限的{1}%(绿:5%,红:25%)血量",,35;20,1,,,2,0.35,7,0.2,,,80,4
5175,518,"(9星激活)攻击时,{0}%几率随机友方1个精灵回复自身生命值上限的{1}%(绿:5%,红:25%)血量",,35;25,1,,,2,0.35,7,0.25,,,20,5
5181,519,"(9星激活)攻击时,{0}%几率回复友军全队{1}点(绿:2点,红:10点)sp",,25;2,1,,,3,0.25,6,2,,,300,1
5182,519,"(9星激活)攻击时,{0}%几率回复友军全队{1}点(绿:2点,红:10点)sp",,25;4,1,,,3,0.25,6,4,,,400,2
5183,519,"(9星激活)攻击时,{0}%几率回复友军全队{1}点(绿:2点,红:10点)sp",,25;6,1,,,3,0.25,6,6,,,200,3
5184,519,"(9星激活)攻击时,{0}%几率回复友军全队{1}点(绿:2点,红:10点)sp",,25;8,1,,,3,0.25,6,8,,,80,4
5185,519,"(9星激活)攻击时,{0}%几率回复友军全队{1}点(绿:2点,红:10点)sp",,25;10,1,,,3,0.25,6,10,,,20,5
5191,520,"(9星激活)攻击时,{0}%几率随机回复友军1个精灵{1}点(绿:5点,红:25点)sp",,35;5,1,,,2,0.35,6,5,,,300,1
5192,520,"(9星激活)攻击时,{0}%几率随机回复友军1个精灵{1}点(绿:5点,红:25点)sp",,35;10,1,,,2,0.35,6,10,,,400,2
5193,520,"(9星激活)攻击时,{0}%几率随机回复友军1个精灵{1}点(绿:5点,红:25点)sp",,35;15,1,,,2,0.35,6,15,,,200,3
5194,520,"(9星激活)攻击时,{0}%几率随机回复友军1个精灵{1}点(绿:5点,红:25点)sp",,35;20,1,,,2,0.35,6,20,,,80,4
5195,520,"(9星激活)攻击时,{0}%几率随机回复友军1个精灵{1}点(绿:5点,红:25点)sp",,35;25,1,,,2,0.35,6,25,,,20,5
5201,521,"(9星激活)攻击时,{0}%几率让敌方全队降低{1}点(绿:2点,红:10点)sp",,25;2,1,,,5,0.25,6,-2,,,300,1
5202,521,"(9星激活)攻击时,{0}%几率让敌方全队降低{1}点(绿:2点,红:10点)sp",,25;4,1,,,5,0.25,6,-4,,,400,2
5203,521,"(9星激活)攻击时,{0}%几率让敌方全队降低{1}点(绿:2点,红:10点)sp",,25;6,1,,,5,0.25,6,-6,,,200,3
5204,521,"(9星激活)攻击时,{0}%几率让敌方全队降低{1}点(绿:2点,红:10点)sp",,25;8,1,,,5,0.25,6,-8,,,80,4
5205,521,"(9星激活)攻击时,{0}%几率让敌方全队降低{1}点(绿:2点,红:10点)sp",,25;10,1,,,5,0.25,6,-10,,,20,5
5211,522,"(9星激活)攻击时,{0}%几率随机让敌方1个精灵降低{1}点(绿:5点,红:25点)sp",,35;5,1,,,4,0.35,6,-5,,,300,1
5212,522,"(9星激活)攻击时,{0}%几率随机让敌方1个精灵降低{1}点(绿:5点,红:25点)sp",,35;10,1,,,4,0.35,6,-10,,,400,2
5213,522,"(9星激活)攻击时,{0}%几率随机让敌方1个精灵降低{1}点(绿:5点,红:25点)sp",,35;15,1,,,4,0.35,6,-15,,,200,3
5214,522,"(9星激活)攻击时,{0}%几率随机让敌方1个精灵降低{1}点(绿:5点,红:25点)sp",,35;20,1,,,4,0.35,6,-20,,,80,4
5215,522,"(9星激活)攻击时,{0}%几率随机让敌方1个精灵降低{1}点(绿:5点,红:25点)sp",,35;25,1,,,4,0.35,6,-25,,,20,5
