自增长id,任务类型(1是每日任务，每日刷新;2是成就任务，只能完成一次 3.引导任务 4.关卡奖励),是否为初始任务(1为初始任务),后置任务(;分割),任务名#加颜色｛0｝读取任务数量列（LimitedNum）,任务描述(文字描述，包含了任务要求文本)#加颜色，｛0｝读取任务数量列（LimitedNum）,"任务要求类别（1.精灵升级次数（1,3) 2. 挑战BOSS次数(1, 3.扭蛋次数(1,2,3) 4.特殊副本通过次数(1,2,3) 5.竞技场胜利次数(1,2,3) 6.战斗力累计(2) 7.获得不同的精灵(2) 8.抓宠中心参加次数(1,3) 9. 爬塔层数(2) 10.通过关卡(2,3) 11.任意精灵到达的星数 12.任意携带品到达的等级数(2) 13.任意1个徽章到达等级数(2) 14.公会捐献次数(1,2) 15.个体值洗练次数(1,3) 16.个体值平均值数(2) 17.地底挑战胜利次数(1,3) 18.获得的角色数(2) 101.进化累计次数(3) 102.1个精灵努力值总数(2) 103.任意1个亲密度等级数(2) 104.任意1个精灵穿戴技能数(3) 105.性格洗练次数(3) 106.阵型升级次数(3) 107.任意精灵穿戴携带品数(3) 108.精灵上阵数(3) 109.使用快速战斗累计次数(3) 110.商店刷新累计次数(1,3) 111.放生精灵个数(1,3) 112.累计签到次数（1,3) 113.加入公会次数（创建或加别人公会都算）(3) 114.使用道具升级亲密度等级（3） 115.使用道具增加努力值点数（3） 116.携带品升级次数（3） 117.技能学习次数(3) 118.切磋或掠夺次数（3） 119.申请添加好友次数（3）120.玩家等级数到达X  130.参加战斗地铁次数大X次 131.战斗地铁等级达到X级 132.捕获小精灵 133.孵蛋 134.称号 135.天赋 136.跟随 137.碎片兑换 138.通过关卡（关卡奖励）",任务要求数量或通过关卡ID(任务要求完成的数量或通过关卡ID),获得活跃度,是否重新记录（填1时，之前做任务的数最多到填1的数据，之后重新记录）,任务奖励1,任务奖励2,任务奖励3,"跳转界面编号(1:挂机界面,2:精灵界面,3:扭蛋,4:竞技场,5:特殊副本,6:通天塔,7:商店,8:狩猎区,9:主城,10:背包,11:公会,12,角色购买界面,13:活动,14:神兽商店,15:充值,16:任务,17:玩家信息,18:vip，22:地图选择，71：战斗地铁)",引导起始id,可见等级（小于此等级，当前任务不可见）,,,,,,,,,,,
288,3,,289,玩家等级达到{0}级,玩家等级达到{0}级,120,42,,,3;6800,,,2,91,,,,,,,,,,,,
289,3,,290,阵型累计达到{0}级,阵型累计达到{0}级,106,5,,,6;20,,,2,101,,,,,,,,,,,,
290,3,,291,签到{0}次,签到{0}次,112,1,,1,1;9400,,,37,171,,,,,,,,,,,,
291,3,,292,精灵学习{0}个技能,精灵学习{0}个技能,117,10,,,1;9600,,,2,61,,,,,,,,,,,,
292,3,,293,到达第{0}关,到达第{0}关,10,410,,,3;6900,,,1,1,,,,,,,,,,,,
293,3,,294,精灵累计达到{0}级,精灵累计升{0}级,1,330,,,3;7000,,,2,11,,,,,,,,,,,,
294,3,,295,进入{0}次狩猎场,进入{0}次狩猎场,8,1,,1,1;9800,,,22,221,,,,,,,,,,,,
295,3,,296,放生{0}个宠物,放生{0}个宠物,111,10,,1,6;40,,,2,241,,,,,,,,,,,,
296,3,,297,刷新{0}次商店,刷新{0}次商店,110,1,,1,6;40,,,1,161,,,,,,,,,,,,
297,3,,298,到达第{0}关,到达第{0}关,10,430,,,3;7100,,,1,1,,,,,,,,,,,,
298,3,,299,精灵累计达到{0}级,精灵累计升{0}级,1,340,,,6;20,,,2,11,,,,,,,,,,,,
299,3,,300,参加{0}次特殊副本,参加{0}次特殊副本,4,6,,1,1;10000,,,5,,,,,,,,,,,,,
300,3,,301,亲密度升级{0}次,喂养亲密度升级{0}次,114,5,,1,1;10200,,,2,21,,,,,,,,,,,,
301,3,,302,到达第{0}关,到达第{0}关,10,450,,,1;10400,,,1,1,,,,,,,,,,,,
302,3,,303,精灵累计达到{0}级,精灵累计升{0}级,1,350,,,3;7200,,,2,11,,,,,,,,,,,,
303,3,,304,竞技场胜利{0}次,竞技场胜利{0}次,5,8,,1,5;20,,,9,191,,,,,,,,,,,,
304,3,,305,刷新{0}次商店,刷新{0}次商店,110,1,,1,6;40,,,1,161,,,,,,,,,,,,
305,3,,306,提升努力值{0}点,使用道具提升努力值{0}点,115,5,,1,3;7300,,,2,41,,,,,,,,,,,,
306,3,,307,到达第{0}关,到达第{0}关,10,470,,,1;10600,,,1,1,,,,,,,,,,,,
307,3,,308,精灵累计达到{0}级,精灵累计升{0}级,1,360,,,6;20,,,2,11,,,,,,,,,,,,
308,3,,309,地底挑战达到{0}次,地底挑战达到{0}层,9,32,,,19001;30,,,9,,,,,,,,,,,,,
309,3,,310,升级{0}次携带品,升级{0}次携带品,116,4,,1,1;10800,,,2,71,,,,,,,,,,,,
310,3,,311,阵型累计达到{0}级,阵型累计达到{0}级,106,6,,,3;7400,,,2,101,,,,,,,,,,,,
311,3,,312,精灵学习{0}个技能,精灵学习{0}个技能,117,12,,,1;11000,,,2,61,,,,,,,,,,,,
312,3,,313,到达第{0}关,到达第{0}关,10,490,,,3;7500,,,1,1,,,,,,,,,,,,
313,3,,314,精灵累计达到{0}级,精灵累计升{0}级,1,370,,,6;20,,,2,11,,,,,,,,,,,,
314,3,,315,进入{0}次狩猎场,进入{0}次狩猎场,8,1,,1,3;7600,,,22,221,,,,,,,,,,,,
315,3,,316,放生{0}个宠物,放生{0}个宠物,111,10,,1,6;40,,,2,241,,,,,,,,,,,,
316,3,,317,刷新{0}次商店,刷新{0}次商店,110,1,,1,6;40,,,1,161,,,,,,,,,,,,
317,3,,318,到达第{0}关,到达第{0}关,10,510,,,3;7700,,,1,1,,,,,,,,,,,,
318,3,,319,精灵累计达到{0}级,精灵累计升{0}级,1,380,,,1;11200,,,2,11,,,,,,,,,,,,
319,3,,320,参加{0}次特殊副本,参加{0}次特殊副本,4,6,,1,1;11400,,,5,,,,,,,,,,,,,
320,3,,321,亲密度升级{0}次,喂养亲密度升级{0}次,114,5,,1,3;7800,,,2,21,,,,,,,,,,,,
321,3,,322,精灵达到{0}星,精灵达到{0}星,11,4,,,6;20,,,2,91,,,,,,,,,,,,
322,3,,323,玩家等级达到{0}级,玩家等级达到{0}级,120,45,,,3;7900,,,1,1,,,,,,,,,,,,
323,3,,324,到达第{0}关,到达第{0}关,10,530,,,3;8000,,,1,1,,,,,,,,,,,,
324,3,,325,精灵累计达到{0}级,精灵累计升{0}级,1,390,,,1;11600,,,2,11,,,,,,,,,,,,
325,3,,326,竞技场胜利{0}次,竞技场胜利{0}次,5,8,,1,5;20,,,9,191,,,,,,,,,,,,
326,3,,327,刷新{0}次商店,刷新{0}次商店,110,1,,1,6;45,,,1,161,,,,,,,,,,,,
327,3,,328,提升努力值{0}点,使用道具提升努力值{0}点,115,5,,1,3;8100,,,2,41,,,,,,,,,,,,
328,3,,329,到达第{0}关,到达第{0}关,10,550,,,1;11800,,,1,1,,,,,,,,,,,,
329,3,,330,精灵累计达到{0}级,精灵累计升{0}级,1,400,,,3;8200,,,2,11,,,,,,,,,,,,
330,3,,331,地底挑战达到{0}次,地底挑战达到{0}层,9,34,,,19001;30,,,9,,,,,,,,,,,,,
331,3,,332,升级{0}次携带品,升级{0}次携带品,116,5,,1,6;20,,,2,71,,,,,,,,,,,,
332,3,,333,到达第{0}关,到达第{0}关,10,570,,,3;8300,,,1,1,,,,,,,,,,,,
333,3,,334,精灵累计达到{0}级,精灵累计升{0}级,1,410,,,1;12000,,,2,11,,,,,,,,,,,,
334,3,,335,进入{0}次狩猎场,进入{0}次狩猎场,8,1,,1,1;12200,,,22,221,,,,,,,,,,,,
335,3,,336,放生{0}个宠物,放生{0}个宠物,111,10,,1,6;45,,,2,241,,,,,,,,,,,,
336,3,,337,刷新{0}次商店,刷新{0}次商店,110,1,,1,6;45,,,1,161,,,,,,,,,,,,
337,3,,338,到达第{0}关,到达第{0}关,10,590,,,3;8400,,,1,1,,,,,,,,,,,,
338,3,,339,精灵累计达到{0}级,精灵累计升{0}级,1,420,,,3;8500,,,2,11,,,,,,,,,,,,
339,3,,340,参加{0}次特殊副本,参加{0}次特殊副本,4,6,,1,12301;2,,,5,,,,,,,,,,,,,
340,3,,341,亲密度升级{0}次,喂养亲密度升级{0}次,114,6,,1,6;20,,,2,21,,,,,,,,,,,,
341,3,,342,任意徽章达到{0}级,任意徽章达到{0}级,13,5,,,1;12400,,,9,151,,,,,,,,,,,,
342,3,,343,精灵学习{0}个技能,精灵学习{0}个技能,117,15,,,1;12600,,,2,61,,,,,,,,,,,,
343,3,,344,到达第{0}关,到达第{0}关,10,610,,,3;8600,,,1,1,,,,,,,,,,,,
344,3,,345,精灵累计达到{0}级,精灵累计升{0}级,1,430,,,3;8700,,,2,11,,,,,,,,,,,,
345,3,,346,竞技场胜利{0}次,竞技场胜利{0}次,5,8,,1,5;50,,,9,191,,,,,,,,,,,,
346,3,,347,刷新{0}次商店,刷新{0}次商店,110,1,,1,6;45,,,1,161,,,,,,,,,,,,
347,3,,348,提升努力值{0}点,使用道具提升努力值{0}点,115,6,,1,3;8800,,,2,41,,,,,,,,,,,,
348,3,,349,洗练{0}次个体值,洗练{0}次个体值,15,5,,1,6;20,,,2,54,,,,,,,,,,,,
349,3,,350,签到{0}次,签到{0}次,112,1,,1,1;12800,,,37,171,,,,,,,,,,,,
350,3,,351,到达第{0}关,到达第{0}关,10,630,,,1;13000,,,1,1,,,,,,,,,,,,
351,3,,352,精灵累计达到{0}级,精灵累计升{0}级,1,440,,,3;8900,,,2,11,,,,,,,,,,,,
352,3,,353,地底挑战达到{0}次,地底挑战达到{0}层,9,37,,,19001;30,,,9,,,,,,,,,,,,,
353,3,,354,升级{0}次携带品,升级{0}次携带品,116,6,,1,6;20,,,2,71,,,,,,,,,,,,
354,3,,355,到达第{0}关,到达第{0}关,10,650,,,1;13200,,,1,1,,,,,,,,,,,,
355,3,,356,精灵累计达到{0}级,精灵累计升{0}级,1,450,,,1;13400,,,2,11,,,,,,,,,,,,
356,3,,357,进入{0}次狩猎场,进入{0}次狩猎场,8,1,,1,3;9000,,,22,221,,,,,,,,,,,,
357,3,,358,放生{0}个宠物,放生{0}个宠物,111,10,,1,6;45,,,2,241,,,,,,,,,,,,
358,3,,359,刷新{0}次商店,刷新{0}次商店,110,1,,1,6;50,,,1,161,,,,,,,,,,,,
359,3,,360,到达第{0}关,到达第{0}关,10,670,,,1;13600,,,1,1,,,,,,,,,,,,
360,3,,361,精灵累计达到{0}级,精灵累计升{0}级,1,460,,,3;9100,,,2,11,,,,,,,,,,,,
361,3,,362,参加{0}次特殊副本,参加{0}次特殊副本,4,6,,1,12301;2,,,5,,,,,,,,,,,,,
362,3,,363,亲密度升级{0}次,喂养亲密度升级{0}次,114,6,,1,6;20,,,2,21,,,,,,,,,,,,
363,3,,364,到达第{0}关,到达第{0}关,10,680,,,3;9200,,,1,1,,,,,,,,,,,,
364,3,,365,精灵累计达到{0}级,精灵累计升{0}级,1,470,,,1;13800,,,2,11,,,,,,,,,,,,
365,3,,366,竞技场胜利{0}次,竞技场胜利{0}次,5,9,,1,5;20,,,9,191,,,,,,,,,,,,
366,3,,367,刷新{0}次商店,刷新{0}次商店,110,1,,1,6;50,,,1,161,,,,,,,,,,,,
367,3,,368,提升努力值{0}点,使用道具提升努力值{0}点,115,6,,1,3;9300,,,2,41,,,,,,,,,,,,
368,3,,369,到达第{0}关,到达第{0}关,10,690,,,1;14000,,,1,1,,,,,,,,,,,,
369,3,,370,精灵累计达到{0}级,精灵累计升{0}级,1,480,,,3;9400,,,2,11,,,,,,,,,,,,
370,3,,371,地底挑战达到{0}次,地底挑战达到{0}层,9,40,,,19001;40,,,9,,,,,,,,,,,,,
371,3,,372,升级{0}次携带品,升级{0}次携带品,116,6,,1,6;20,,,2,71,,,,,,,,,,,,
372,3,,373,洗练{0}次个体值,洗练{0}次个体值,15,5,,1,1;14200,,,2,54,,,,,,,,,,,,
373,3,,374,到达第{0}关,到达第{0}关,10,700,,,3;9500,,,1,1,,,,,,,,,,,,
374,3,,375,精灵累计达到{0}级,精灵累计升{0}级,1,490,,,3;9600,,,2,11,,,,,,,,,,,,
375,3,,376,进入{0}次狩猎场,进入{0}次狩猎场,8,2,,1,1;14400,,,22,221,,,,,,,,,,,,
376,3,,377,放生{0}个宠物,放生{0}个宠物,111,15,,1,6;50,,,2,241,,,,,,,,,,,,
377,3,,378,刷新{0}次商店,刷新{0}次商店,110,3,,1,6;50,,,1,161,,,,,,,,,,,,
378,3,,379,到达第{0}关,到达第{0}关,10,730,,,3;9700,,,1,1,,,,,,,,,,,,
379,3,,380,精灵累计达到{0}级,精灵累计升{0}级,1,520,,,6;20,,,2,11,,,,,,,,,,,,
380,3,,381,参加{0}次特殊副本,参加{0}次特殊副本,4,7,,1,12301;2,,,5,,,,,,,,,,,,,
381,3,,382,亲密度升级{0}次,喂养亲密度升级{0}次,114,7,,1,1;14700,,,2,21,,,,,,,,,,,,
382,3,,383,任意徽章达到{0}级,任意徽章达到{0}级,13,6,,,3;9800,,,9,151,,,,,,,,,,,,
383,3,,384,到达第{0}关,到达第{0}关,10,760,,,3;9900,,,1,1,,,,,,,,,,,,
384,3,,385,精灵累计达到{0}级,精灵累计升{0}级,1,550,,,6;20,,,2,11,,,,,,,,,,,,
385,3,,386,竞技场胜利{0}次,竞技场胜利{0}次,5,9,,1,5;50,,,9,191,,,,,,,,,,,,
386,3,,387,刷新{0}次商店,刷新{0}次商店,110,3,,1,6;50,,,1,161,,,,,,,,,,,,
387,3,,388,提升努力值{0}点,使用道具提升努力值{0}点,115,7,,1,3;10000,,,2,41,,,,,,,,,,,,
388,3,,389,到达第{0}关,到达第{0}关,10,790,,,1;15000,,,1,1,,,,,,,,,,,,
389,3,,390,精灵累计达到{0}级,精灵累计升{0}级,1,580,,,1;15300,,,2,11,,,,,,,,,,,,
390,3,,391,地底挑战达到{0}次,地底挑战达到{0}层,9,42,,,19001;40,,,9,,,,,,,,,,,,,
391,3,,392,升级{0}次携带品,升级{0}次携带品,116,8,,1,3;10100,,,2,71,,,,,,,,,,,,
392,3,,393,到达第{0}关,到达第{0}关,10,820,,,3;10300,,,1,1,,,,,,,,,,,,
393,3,,394,精灵累计达到{0}级,精灵累计升{0}级,1,610,,,6;20,,,2,11,,,,,,,,,,,,
394,3,,395,进入{0}次狩猎场,进入{0}次狩猎场,8,2,,1,1;15600,,,22,221,,,,,,,,,,,,
395,3,,396,放生{0}个宠物,放生{0}个宠物,111,15,,1,6;55,,,2,241,,,,,,,,,,,,
396,3,,397,刷新{0}次商店,刷新{0}次商店,110,3,,1,6;55,,,1,161,,,,,,,,,,,,
397,3,,398,洗练{0}次个体值,洗练{0}次个体值,15,5,,1,1;15900,,,2,54,,,,,,,,,,,,
398,3,,399,到达第{0}关,到达第{0}关,10,850,,,3;10500,,,1,1,,,,,,,,,,,,
399,3,,400,精灵累计达到{0}级,精灵累计升{0}级,1,640,,,3;10700,,,2,11,,,,,,,,,,,,
400,3,,401,参加{0}次特殊副本,参加{0}次特殊副本,4,7,,1,12301;2,,,5,,,,,,,,,,,,,
401,3,,402,亲密度升级{0}次,喂养亲密度升级{0}次,114,7,,1,6;20,,,2,21,,,,,,,,,,,,
402,3,,403,任意徽章达到{0}级,任意徽章达到{0}级,13,7,,,1;16200,,,9,151,,,,,,,,,,,,
403,3,,404,到达第{0}关,到达第{0}关,10,880,,,3;10900,,,1,1,,,,,,,,,,,,
404,3,,405,精灵累计达到{0}级,精灵累计升{0}级,1,670,,,3;11100,,,2,11,,,,,,,,,,,,
405,3,,406,竞技场胜利{0}次,竞技场胜利{0}次,5,10,,1,5;50,,,9,191,,,,,,,,,,,,
406,3,,407,刷新{0}次商店,刷新{0}次商店,110,3,,1,6;55,,,1,161,,,,,,,,,,,,
407,3,,408,提升努力值{0}点,使用道具提升努力值{0}点,115,7,,1,3;11300,,,2,41,,,,,,,,,,,,
408,3,,409,到达第{0}关,到达第{0}关,10,910,,,1;16500,,,1,1,,,,,,,,,,,,
409,3,,410,精灵累计达到{0}级,精灵累计升{0}级,1,700,,,6;20,,,2,11,,,,,,,,,,,,
410,3,,411,地底挑战达到{0}次,地底挑战达到{0}层,9,44,,,19001;40,,,9,,,,,,,,,,,,,
411,3,,412,升级{0}次携带品,升级{0}次携带品,116,8,,1,1;16800,,,2,71,,,,,,,,,,,,
412,3,,413,到达第{0}关,到达第{0}关,10,940,,,3;11500,,,1,1,,,,,,,,,,,,
413,3,,414,精灵累计达到{0}级,精灵累计升{0}级,1,730,,,3;11700,,,2,11,,,,,,,,,,,,
414,3,,415,进入{0}次狩猎场,进入{0}次狩猎场,8,2,,1,1;17100,,,22,221,,,,,,,,,,,,
415,3,,416,放生{0}个宠物,放生{0}个宠物,111,15,,1,6;55,,,2,241,,,,,,,,,,,,
416,3,,417,刷新{0}次商店,刷新{0}次商店,110,4,,1,6;55,,,1,161,,,,,,,,,,,,
417,3,,418,到达第{0}关,到达第{0}关,10,970,,,3;11900,,,1,1,,,,,,,,,,,,
418,3,,419,精灵累计达到{0}级,精灵累计升{0}级,1,760,,,6;20,,,2,11,,,,,,,,,,,,
419,3,,420,参加{0}次特殊副本,参加{0}次特殊副本,4,8,,1,12301;2,,,5,,,,,,,,,,,,,
420,3,,421,亲密度升级{0}次,喂养亲密度升级{0}次,114,8,,1,1;17400,,,2,21,,,,,,,,,,,,
421,3,,422,任意徽章达到{0}级,任意徽章达到{0}级,13,8,,,3;12100,,,9,151,,,,,,,,,,,,
422,3,,423,洗练{0}次个体值,洗练{0}次个体值,15,5,,1,6;20,,,2,54,,,,,,,,,,,,
423,3,,424,到达第{0}关,到达第{0}关,10,1000,,,3;12300,,,1,1,,,,,,,,,,,,
424,3,,425,精灵累计达到{0}级,精灵累计升{0}级,1,790,,,1;17700,,,2,11,,,,,,,,,,,,
425,3,,426,竞技场胜利{0}次,竞技场胜利{0}次,5,10,,1,5;50,,,9,191,,,,,,,,,,,,
426,3,,427,刷新{0}次商店,刷新{0}次商店,110,4,,1,6;60,,,1,161,,,,,,,,,,,,
427,3,,428,提升努力值{0}点,使用道具提升努力值{0}点,115,8,,1,3;12500,,,2,41,,,,,,,,,,,,
428,3,,429,到达第{0}关,到达第{0}关,10,1030,,,1;18000,,,1,1,,,,,,,,,,,,
429,3,,430,精灵累计达到{0}级,精灵累计升{0}级,1,820,,,3;12700,,,2,11,,,,,,,,,,,,
430,3,,431,地底挑战达到{0}次,地底挑战达到{0}层,9,45,,,19001;50,,,9,,,,,,,,,,,,,
431,3,,432,升级{0}次携带品,升级{0}次携带品,116,10,,1,6;20,,,2,71,,,,,,,,,,,,
432,3,,433,到达第{0}关,到达第{0}关,10,1060,,,3;12900,,,1,1,,,,,,,,,,,,
433,3,,434,精灵累计达到{0}级,精灵累计升{0}级,1,850,,,1;18300,,,2,11,,,,,,,,,,,,
434,3,,435,进入{0}次狩猎场,进入{0}次狩猎场,8,2,,1,1;18600,,,22,221,,,,,,,,,,,,
435,3,,436,放生{0}个宠物,放生{0}个宠物,111,15,,1,6;60,,,2,241,,,,,,,,,,,,
436,3,,437,刷新{0}次商店,刷新{0}次商店,110,4,,1,6;60,,,1,161,,,,,,,,,,,,
437,3,,438,到达第{0}关,到达第{0}关,10,1090,,,3;13100,,,1,1,,,,,,,,,,,,
438,3,,439,精灵累计达到{0}级,精灵累计升{0}级,1,880,,,3;13300,,,2,11,,,,,,,,,,,,
439,3,,440,参加{0}次特殊副本,参加{0}次特殊副本,4,8,,1,12301;2,,,5,,,,,,,,,,,,,
440,3,,441,亲密度升级{0}次,喂养亲密度升级{0}次,114,8,,1,6;20,,,2,21,,,,,,,,,,,,
441,3,,442,任意徽章达到{0}级,任意徽章达到{0}级,13,9,,,1;18900,,,9,151,,,,,,,,,,,,
442,3,,443,洗练{0}次个体值,洗练{0}次个体值,15,5,,1,3;13500,,,2,54,,,,,,,,,,,,
443,3,,444,到达第{0}关,到达第{0}关,10,1120,,,3;13700,,,1,1,,,,,,,,,,,,
444,3,,445,精灵累计达到{0}级,精灵累计升{0}级,1,910,,,6;20,,,2,11,,,,,,,,,,,,
445,3,,446,竞技场胜利{0}次,竞技场胜利{0}次,5,11,,1,5;50,,,9,191,,,,,,,,,,,,
446,3,,447,刷新{0}次商店,刷新{0}次商店,110,4,,1,6;60,,,1,161,,,,,,,,,,,,
447,3,,448,提升努力值{0}点,使用道具提升努力值{0}点,115,8,,1,3;13900,,,2,41,,,,,,,,,,,,
448,3,,449,到达第{0}关,到达第{0}关,10,1150,,,1;19200,,,1,1,,,,,,,,,,,,
449,3,,450,精灵累计达到{0}级,精灵累计升{0}级,1,940,,,1;19500,,,2,11,,,,,,,,,,,,
450,3,,451,地底挑战达到{0}次,地底挑战达到{0}层,9,46,,,19001;50,,,9,,,,,,,,,,,,,
451,3,,452,升级{0}次携带品,升级{0}次携带品,116,10,,1,3;14100,,,2,71,,,,,,,,,,,,
452,3,,453,到达第{0}关,到达第{0}关,10,1180,,,3;14300,,,1,1,,,,,,,,,,,,
453,3,,454,精灵累计达到{0}级,精灵累计升{0}级,1,970,,,6;20,,,2,11,,,,,,,,,,,,
454,3,,455,进入{0}次狩猎场,进入{0}次狩猎场,8,2,,1,1;19800,,,22,221,,,,,,,,,,,,
455,3,,456,放生{0}个宠物,放生{0}个宠物,111,20,,1,6;60,,,2,241,,,,,,,,,,,,
456,3,,457,刷新{0}次商店,刷新{0}次商店,110,5,,1,6;65,,,1,161,,,,,,,,,,,,
457,3,,458,到达第{0}关,到达第{0}关,10,1210,,,3;14500,,,1,1,,,,,,,,,,,,
458,3,,459,精灵累计达到{0}级,精灵累计升{0}级,1,1000,,,1;20100,,,2,11,,,,,,,,,,,,
459,3,,460,参加{0}次特殊副本,参加{0}次特殊副本,4,9,,1,12301;2,,,5,,,,,,,,,,,,,
460,3,,461,亲密度升级{0}次,喂养亲密度升级{0}次,114,9,,1,3;14700,,,2,21,,,,,,,,,,,,
461,3,,462,任意徽章达到{0}级,任意徽章达到{0}级,13,10,,,6;20,,,9,151,,,,,,,,,,,,
462,3,,463,到达第{0}关,到达第{0}关,10,1240,,,3;14900,,,1,1,,,,,,,,,,,,
463,3,,464,精灵累计达到{0}级,精灵累计升{0}级,1,1030,,,1;20400,,,2,11,,,,,,,,,,,,
464,3,,465,竞技场胜利{0}次,竞技场胜利{0}次,5,11,,1,5;50,,,9,191,,,,,,,,,,,,
465,3,,466,刷新{0}次商店,刷新{0}次商店,110,5,,1,6;65,,,1,161,,,,,,,,,,,,
466,3,,467,提升努力值{0}点,使用道具提升努力值{0}点,115,9,,1,3;15100,,,2,41,,,,,,,,,,,,
467,3,,468,洗练{0}次个体值,洗练{0}次个体值,15,5,,1,3;15300,,,2,54,,,,,,,,,,,,
468,3,,469,到达第{0}关,到达第{0}关,10,1270,,,1;20700,,,1,1,,,,,,,,,,,,
469,3,,470,精灵累计达到{0}级,精灵累计升{0}级,1,1060,,,6;20,,,2,11,,,,,,,,,,,,
470,3,,471,地底挑战达到{0}次,地底挑战达到{0}层,9,47,,,19001;50,,,9,,,,,,,,,,,,,
471,3,,472,升级{0}次携带品,升级{0}次携带品,116,12,,1,1;21000,,,2,71,,,,,,,,,,,,
472,3,,473,到达第{0}关,到达第{0}关,10,1300,,,3;15500,,,1,1,,,,,,,,,,,,
473,3,,474,精灵累计达到{0}级,精灵累计升{0}级,1,1090,,,3;15700,,,2,11,,,,,,,,,,,,
474,3,,475,进入{0}次狩猎场,进入{0}次狩猎场,8,2,,1,1;21300,,,22,221,,,,,,,,,,,,
475,3,,476,放生{0}个宠物,放生{0}个宠物,111,20,,1,6;65,,,2,241,,,,,,,,,,,,
476,3,,477,刷新{0}次商店,刷新{0}次商店,110,5,,1,6;65,,,1,161,,,,,,,,,,,,
477,3,,478,到达第{0}关,到达第{0}关,10,1330,,,3;15900,,,1,1,,,,,,,,,,,,
478,3,,479,精灵累计达到{0}级,精灵累计升{0}级,1,1120,,,6;20,,,2,11,,,,,,,,,,,,
479,3,,480,参加{0}次特殊副本,参加{0}次特殊副本,4,9,,1,12301;2,,,5,,,,,,,,,,,,,
480,3,,481,亲密度升级{0}次,喂养亲密度升级{0}次,114,9,,1,1;21600,,,2,21,,,,,,,,,,,,
481,3,,482,任意徽章达到{0}级,任意徽章达到{0}级,13,11,,,3;16100,,,9,151,,,,,,,,,,,,
482,3,,483,到达第{0}关,到达第{0}关,10,1360,,,3;16300,,,1,1,,,,,,,,,,,,
483,3,,484,精灵累计达到{0}级,精灵累计升{0}级,1,1150,,,6;20,,,2,11,,,,,,,,,,,,
484,3,,485,竞技场胜利{0}次,竞技场胜利{0}次,5,12,,1,5;50,,,9,191,,,,,,,,,,,,
485,3,,486,刷新{0}次商店,刷新{0}次商店,110,5,,1,6;65,,,1,161,,,,,,,,,,,,
486,3,,487,提升努力值{0}点,使用道具提升努力值{0}点,115,9,,1,3;16500,,,2,41,,,,,,,,,,,,
487,3,,488,到达第{0}关,到达第{0}关,10,1390,,,1;22000,,,1,1,,,,,,,,,,,,
488,3,,489,精灵累计达到{0}级,精灵累计升{0}级,1,1180,,,1;22400,,,2,11,,,,,,,,,,,,
489,3,,490,地底挑战达到{0}次,地底挑战达到{0}层,9,48,,,19001;60,,,9,,,,,,,,,,,,,
490,3,,491,升级{0}次携带品,升级{0}次携带品,116,12,,1,3;16700,,,2,71,,,,,,,,,,,,
491,3,,492,到达第{0}关,到达第{0}关,10,1420,,,3;16900,,,1,1,,,,,,,,,,,,
492,3,,493,精灵累计达到{0}级,精灵累计升{0}级,1,1210,,,6;20,,,2,11,,,,,,,,,,,,
493,3,,494,进入{0}次狩猎场,进入{0}次狩猎场,8,2,,1,1;22800,,,22,221,,,,,,,,,,,,
494,3,,495,放生{0}个宠物,放生{0}个宠物,111,20,,1,6;70,,,2,241,,,,,,,,,,,,
495,3,,496,刷新{0}次商店,刷新{0}次商店,110,6,,1,6;70,,,1,161,,,,,,,,,,,,
496,3,,497,到达第{0}关,到达第{0}关,10,1450,,,3;17100,,,1,1,,,,,,,,,,,,
497,3,,498,精灵累计达到{0}级,精灵累计升{0}级,1,1240,,,1;23200,,,2,11,,,,,,,,,,,,
498,3,,499,参加{0}次特殊副本,参加{0}次特殊副本,4,10,,1,12301;2,,,5,,,,,,,,,,,,,
499,3,,500,亲密度升级{0}次,喂养亲密度升级{0}次,114,10,,1,3;17300,,,2,21,,,,,,,,,,,,
500,3,,501,任意徽章达到{0}级,任意徽章达到{0}级,13,12,,,6;20,,,9,151,,,,,,,,,,,,
501,3,,502,到达第{0}关,到达第{0}关,10,1480,,,3;17500,,,1,1,,,,,,,,,,,,
502,3,,503,精灵累计达到{0}级,精灵累计升{0}级,1,1270,,,1;23600,,,2,11,,,,,,,,,,,,
503,3,,504,竞技场胜利{0}次,竞技场胜利{0}次,5,12,,1,5;50,,,9,191,,,,,,,,,,,,
504,3,,505,刷新{0}次商店,刷新{0}次商店,110,6,,1,6;70,,,1,161,,,,,,,,,,,,
505,3,,506,提升努力值{0}点,使用道具提升努力值{0}点,115,10,,1,3;17700,,,2,41,,,,,,,,,,,,
506,3,,507,到达第{0}关,到达第{0}关,10,1510,,,1;24000,,,1,1,,,,,,,,,,,,
507,3,,508,精灵累计达到{0}级,精灵累计升{0}级,1,1300,,,3;17900,,,2,11,,,,,,,,,,,,
508,3,,509,地底挑战达到{0}次,地底挑战达到{0}层,9,49,,,19001;60,,,9,,,,,,,,,,,,,
509,3,,510,升级{0}次携带品,升级{0}次携带品,116,14,,1,6;20,,,2,71,,,,,,,,,,,,
510,3,,511,到达第{0}关,到达第{0}关,10,1540,,,3;18100,,,1,1,,,,,,,,,,,,
511,3,,512,精灵累计达到{0}级,精灵累计升{0}级,1,1330,,,1;24400,,,2,11,,,,,,,,,,,,
