天赋库ID（关联宝可梦的天赋库ID字段）,等级要求（到达了对应等级能解锁3个天赋，玩家可以3选1）,"可学习内容（主动技能ID对应宝可梦技能表，被动技能ID对应特性表，主动技能的格式为1；skillID，被动技能的格式为2；skillID; 等级(可不填,默认0)，每层都有3个，总体格式为：skilltypeID;skillID|skilltypeID;skillID|skilltypeID;skillID）",解锁消耗(道具ID;数量),克制伤害加成（此克制系数，与常量表中克制系数相加）,种族值加成,消耗宠物数量（0为不消耗）
number,number,string,string,double,number,number
talentGroupId,askLv,talentIdArray,costItem,counterDamageAddStar,alladd,count
1233,30,2;1032|2;1019|2;1027,1;1000000|12109;90|6;1000,0.03,2,0
1233,35,3;900203|3;900302|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1233,40,1;2078009|1;4107009|1;1164009,1;5000000|12109;220|6;5000,0.08,3,1
1235,20,3;900101|3;900401|3;900001,1;200000|12109;20|6;200,0.01,1,0
1235,25,1;1015006|1;1051506|1;3094006,1;500000|12109;50|6;500,0.02,1,0
1241,20,3;900101|3;900301|3;900001,1;200000|12109;20|6;200,0.01,1,0
1241,25,1;1175006|1;1044506|1;1091506,1;500000|12109;50|6;500,0.02,1,0
1241,30,2;1030;1|2;1018;1|2;1027;1,1;1000000|12109;90|6;1000,0.03,2,0
1241,35,3;900102|3;900302|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1242,20,3;900201|3;900401|3;900001,1;200000|12109;20|6;200,0.01,1,0
1242,25,1;2045506|1;2165006|1;2094006,1;500000|12109;50|6;500,0.02,1,0
1242,30,2;1010;2|2;1020;2|2;1042;2,1;1000000|12109;90|6;1000,0.03,2,0
1242,35,3;900203|3;900403|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1242,40,1;4098008|1;2164008|1;2093008,1;5000000|12109;220|6;5000,0.08,3,1
1243,20,3;900205|3;900405|3;900005,1;200000|12121;20|6;200,0.01,1,0
1243,25,1;2054506|1;2143506|1;4105006,1;500000|12121;50|6;500,0.02,1,0
1243,30,2;1010;4|2;1019;4|2;1027;4,1;1000000|12121;90|6;1000,0.03,2,0
1243,35,3;900207|3;900407|3;900508,1;2000000|12121;150|6;2000,0.04,2,0
1243,40,1;2057009|1;4145509|1;2102509,1;5000000|12121;220|6;5000,0.08,3,1
1243,45,2;1014;4|2;1021;4|2;1043;4,1;12000000|12121;320|6;12000,0.12,4,2
1243,50,3;900208|3;900408|3;900008,1;25000000|12121;500|6;25000,0.2,5,3
1244,20,3;900105|3;900305|3;900005,1;200000|12101;20|6;200,0.01,1,0
1244,25,1;3155006|1;1135506|1;3015006,1;500000|12101;50|6;500,0.02,1,0
1244,30,2;1003;4|2;1018;4|2;1042;4,1;1000000|12101;90|6;1000,0.03,2,0
1244,35,3;900106|3;900306|3;900508,1;2000000|12101;150|6;2000,0.04,2,0
1244,40,1;1157509|1;1134509|1;1017009,1;5000000|12101;220|6;5000,0.08,3,1
1244,45,2;1014;4|2;1021;4|2;1043;4,1;12000000|12101;320|6;12000,0.12,4,2
1244,50,3;900108|3;900308|3;900008,1;25000000|12101;500|6;25000,0.2,5,3
1245,20,3;900205|3;900305|3;900005,1;200000|12102;20|6;200,0.01,1,0
1245,25,1;2073506|1;2161506|1;2025506,1;500000|12102;50|6;500,0.02,1,0
1245,30,2;1033;4|2;1018;4|2;1027;4,1;1000000|12102;90|6;1000,0.03,2,0
1245,35,3;900206|3;900406|3;900508,1;2000000|12102;150|6;2000,0.04,2,0
1245,40,1;2073009|1;4164009|1;4028509,1;5000000|12102;220|6;5000,0.08,3,1
1245,45,2;1014;4|2;1021;4|2;1043;4,1;12000000|12102;320|6;12000,0.12,4,2
1245,50,3;900208|3;900308|3;900008,1;25000000|12102;500|6;25000,0.2,5,3
1246,20,3;900101|3;900301|3;900001,1;200000|12125;20|6;200,0.01,1,0
1246,25,1;1125506|1;3084006|1;1134506,1;500000|12125;50|6;500,0.02,1,0
1246,30,2;1010|2;1020|2;1036,1;1000000|12125;90|6;1000,0.03,2,0
1247,20,3;900101|3;900301|3;900001,1;200000|12125;20|6;200,0.01,1,0
1247,25,1;1125506|1;3084006|1;1134506,1;500000|12125;50|6;500,0.02,1,0
1247,30,2;1010;1|2;1020;1|2;1036;1,1;1000000|12125;90|6;1000,0.03,2,0
1247,35,3;900102|3;900302|3;900504,1;2000000|12125;150|6;2000,0.04,2,0
1248,20,3;900101|3;900301|3;900001,1;200000|12125;20|6;200,0.01,1,0
1248,25,1;1125506|1;3084006|1;1134506,1;500000|12125;50|6;500,0.02,1,0
1248,30,2;1010;2|2;1020;2|2;1036;2,1;1000000|12125;90|6;1000,0.03,2,0
1248,35,3;900102|3;900302|3;900504,1;2000000|12125;150|6;2000,0.04,2,0
1248,40,1;3127508|1;3088508|1;1058008,1;5000000|12125;220|6;5000,0.08,3,1
1249,20,3;900109|3;900409|3;900009,1;200000|12127;20|6;200,0.01,1,0
1249,25,1;2021506|1;2063506|1;2162006,1;500000|12127;50|6;500,0.02,1,0
1249,30,2;1047;4|2;1019;4|2;1044;4,1;1000000|12127;90|6;1000,0.03,2,0
1249,35,3;900111|3;900311|3;900512,1;2000000|12127;150|6;2000,0.04,2,0
1249,40,1;2004309|1;4068009|1;4168509,1;5000000|12127;220|6;5000,0.08,3,1
1249,45,2;1011;4|2;1027;4|2;1045;4,1;12000000|12127;320|6;12000,0.12,4,2
1249,50,3;900112|3;900412|3;900012,1;25000000|12127;500|6;25000,0.2,5,3
1250,20,3;900109|3;900409|3;900009,1;200000|12101;20|6;200,0.01,1,0
1250,25,1;1141506|1;1051506|1;1124506,1;500000|12101;50|6;500,0.02,1,0
1250,30,2;1023;4|2;1017;4|2;1042;4,1;1000000|12101;90|6;1000,0.03,2,0
1250,35,3;900111|3;900311|3;900512,1;2000000|12101;150|6;2000,0.04,2,0
1250,40,1;3145009|1;1057009|1;3128509,1;5000000|12101;220|6;5000,0.08,3,1
1250,45,2;1014;4|2;1026;4|2;1045;4,1;12000000|12101;320|6;12000,0.12,4,2
1250,50,3;900112|3;900412|3;900012,1;25000000|12101;500|6;25000,0.2,5,3
1251,20,3;900109|3;900209|3;900009,1;200000|12127;20|6;200,0.01,1,0
1251,25,1;1166506|1;4094506|1;1142506,1;500000|12127;50|6;500,0.02,1,0
1251,30,2;1025;4|2;1019;4|2;1042;4,1;1000000|12127;90|6;1000,0.03,2,0
1251,35,3;900110|3;900211|3;900512,1;2000000|12127;150|6;2000,0.04,2,0
1251,40,1;4164509|1;4097509|1;1147509,1;5000000|12127;220|6;5000,0.08,3,1
1251,45,2;1013;4|2;1026;4|2;1045;4,1;12000000|12127;320|6;12000,0.12,4,2
1251,50,3;900112|3;900212|3;900012,1;25000000|12127;500|6;25000,0.2,5,3
1252,20,3;900201|3;900401|3;900001,1;200000|12103;20|6;200,0.01,1,0
1252,25,1;4065506|1;2154006|1;2031506,1;500000|12103;50|6;500,0.02,1,0
1252,30,2;1010|2;1019|2;1036,1;1000000|12103;90|6;1000,0.03,2,0
1253,20,3;900201|3;900401|3;900001,1;200000|12103;20|6;200,0.01,1,0
1253,25,1;4065506|1;2154006|1;2031506,1;500000|12103;50|6;500,0.02,1,0
1253,30,2;1010;1|2;1019;1|2;1036;1,1;1000000|12103;90|6;1000,0.03,2,0
1253,35,3;900203|3;900403|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1254,20,3;900201|3;900401|3;900001,1;200000|12103;20|6;200,0.01,1,0
1254,25,1;4065506|1;2154006|1;2031506,1;500000|12103;50|6;500,0.02,1,0
1254,30,2;1010;2|2;1019;2|2;1036;2,1;1000000|12103;90|6;1000,0.03,2,0
1254,35,3;900203|3;900403|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1254,40,1;4068008|1;2156008|1;2034008,1;5000000|12103;220|6;5000,0.08,3,1
1255,20,3;900201|3;900401|3;900001,1;200000|12101;20|6;200,0.01,1,0
1255,25,1;1125006|1;1095506|1;2154506,1;500000|12101;50|6;500,0.02,1,0
1255,30,2;1003|2;1019|2;1042,1;1000000|12101;90|6;1000,0.03,2,0
1256,20,3;900101|3;900301|3;900001,1;200000|12101;20|6;200,0.01,1,0
1256,25,1;1125006|1;1095506|1;2154506,1;500000|12101;50|6;500,0.02,1,0
1256,30,2;1003;1|2;1019;1|2;1042;1,1;1000000|12101;90|6;1000,0.03,2,0
1256,35,3;900102|3;900302|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
1257,20,3;900101|3;900301|3;900001,1;200000|12101;20|6;200,0.01,1,0
1257,25,1;1125006|1;1095506|1;2154506,1;500000|12101;50|6;500,0.02,1,0
1257,30,2;1003;2|2;1019;2|2;1042;2,1;1000000|12101;90|6;1000,0.03,2,0
1257,35,3;900102|3;900302|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
1257,40,1;3124008|1;1093008|1;1012508,1;5000000|12101;220|6;5000,0.08,3,1
1258,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1258,25,1;1054506|1;1152006|1;1135506,1;500000|12102;50|6;500,0.02,1,0
1258,30,2;1033|2;1017|2;1042,1;1000000|12102;90|6;1000,0.03,2,0
1259,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1259,25,1;1054506|1;1152006|1;1135506,1;500000|12102;50|6;500,0.02,1,0
1259,30,2;1033;1|2;1017;1|2;1042;1,1;1000000|12102;90|6;1000,0.03,2,0
1259,35,3;900102|3;900302|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1260,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1260,25,1;1054506|1;1152006|1;1135506,1;500000|12102;50|6;500,0.02,1,0
1260,30,2;1033;2|2;1017;2|2;1042;2,1;1000000|12102;90|6;1000,0.03,2,0
1260,35,3;900102|3;900302|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1260,40,1;1053508|1;1153508|1;3134008,1;5000000|12102;220|6;5000,0.08,3,1
1261,20,3;900101|3;900301|3;900001,1;200000|12105;20|6;200,0.01,1,0
1261,25,1;3185006|1;1082506|1;1051506,1;500000|12105;50|6;500,0.02,1,0
1261,30,2;1010|2;1017|2;1026,1;1000000|12105;90|6;1000,0.03,2,0
1262,20,3;900101|3;900301|3;900001,1;200000|12105;20|6;200,0.01,1,0
1262,25,1;3185006|1;1082506|1;1051506,1;500000|12105;50|6;500,0.02,1,0
1262,30,2;1010;1|2;1017;1|2;1026;1,1;1000000|12105;90|6;1000,0.03,2,0
1262,35,3;900102|3;900302|3;900504,1;2000000|12105;150|6;2000,0.04,2,0
1270,20,3;900201|3;900401|3;900001,1;200000|12102;20|6;200,0.01,1,0
1270,25,1;4184006|1;2165506|1;1034506,1;500000|12102;50|6;500,0.02,1,0
1270,30,2;1025;2|2;1020;2|2;1026;2,1;1000000|12102;90|6;1000,0.03,2,0
1271,20,3;900201|3;900401|3;900001,1;200000|12102;20|6;200,0.01,1,0
1271,25,1;4184006|1;2165506|1;1034506,1;500000|12102;50|6;500,0.02,1,0
1271,30,2;1025;2|2;1020;2|2;1026;2,1;1000000|12102;90|6;1000,0.03,2,0
1271,35,3;900203|3;900302|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1272,20,3;900201|3;900401|3;900001,1;200000|12102;20|6;200,0.01,1,0
1272,25,1;4184006|1;2165506|1;1034506,1;500000|12102;50|6;500,0.02,1,0
1272,30,2;1025;2|2;1020;2|2;1026;2,1;1000000|12102;90|6;1000,0.03,2,0
1272,35,3;900203|3;900302|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1272,40,1;2028508|1;2185008|1;4036008,1;5000000|12102;220|6;5000,0.08,3,1
1273,20,3;900101|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1273,25,1;1123506|1;1143506|1;1053006,1;500000|12103;50|6;500,0.02,1,0
1273,30,2;1010|2;1018|2;1026,1;1000000|12103;90|6;1000,0.03,2,0
1274,20,3;900101|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1274,25,1;1123506|1;1143506|1;1053006,1;500000|12103;50|6;500,0.02,1,0
1274,30,2;1010;1|2;1018;1|2;1026;1,1;1000000|12103;90|6;1000,0.03,2,0
1274,35,3;900102|3;900302|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1275,20,3;900101|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1275,25,1;1123506|1;1143506|1;1053006,1;500000|12103;50|6;500,0.02,1,0
1275,30,2;1010;2|2;1018;2|2;1026;2,1;1000000|12103;90|6;1000,0.03,2,0
1275,35,3;900102|3;900302|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1275,40,1;1123508|1;1142508|1;1057008,1;5000000|12103;220|6;5000,0.08,3,1
1278,20,3;900201|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1278,25,1;2084006|1;4025506|1;2122506,1;500000|12102;50|6;500,0.02,1,0
1278,30,2;1010|2;1020|2;1042,1;1000000|12102;90|6;1000,0.03,2,0
1279,20,3;900201|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1279,25,1;2084006|1;4025506|1;2122506,1;500000|12102;50|6;500,0.02,1,0
1279,30,2;1010;1|2;1020;1|2;1042;1,1;1000000|12102;90|6;1000,0.03,2,0
1279,35,3;900202|3;900402|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1280,20,3;900201|3;900401|3;900001,1;200000|12127;20|6;200,0.01,1,0
1280,25,1;2091506|1;2165506|1;2043006,1;500000|12127;50|6;500,0.02,1,0
1280,30,2;1010|2;1021|2;1036,1;1000000|12127;90|6;1000,0.03,2,0
1281,20,3;900201|3;900401|3;900001,1;200000|12127;20|6;200,0.01,1,0
1281,25,1;2091506|1;2165506|1;2043006,1;500000|12127;50|6;500,0.02,1,0
1281,30,2;1010;1|2;1021;1|2;1036;1,1;1000000|12127;90|6;1000,0.03,2,0
1281,35,3;900203|3;900403|3;900504,1;2000000|12127;150|6;2000,0.04,2,0
1282,20,3;900201|3;900401|3;900001,1;200000|12127;20|6;200,0.01,1,0
1282,25,1;2091506|1;2165506|1;2043006,1;500000|12127;50|6;500,0.02,1,0
1282,30,2;1010;2|2;1021;2|2;1036;2,1;1000000|12127;90|6;1000,0.03,2,0
1282,35,3;900203|3;900403|3;900504,1;2000000|12127;150|6;2000,0.04,2,0
1282,40,1;2182008|1;4094508|1;4047508,1;5000000|12127;220|6;5000,0.08,3,1
1285,20,3;900101|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1285,25,1;1113506|1;3035006|1;1152506,1;500000|12103;50|6;500,0.02,1,0
1285,30,2;1031|2;1019|2;1042,1;1000000|12103;90|6;1000,0.03,2,0
1286,20,3;900101|3;900301|3;900001,1;200000|12103;20|6;200,0.01,1,0
1286,25,1;1113506|1;3035006|1;1152506,1;500000|12103;50|6;500,0.02,1,0
1286,30,2;1031;1|2;1019;1|2;1042;1,1;1000000|12103;90|6;1000,0.03,2,0
1286,35,3;900102|3;900302|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1287,20,3;900102|3;900301|3;900001,1;200000|12109;20|6;200,0.01,1,0
1287,25,1;3015506|1;1054006|1;3175506,1;500000|12109;50|6;500,0.02,1,0
1287,30,2;1010;1|2;1019;1|2;1036;1,1;1000000|12109;90|6;1000,0.03,2,0
1288,20,3;900102|3;900301|3;900001,1;200000|12109;20|6;200,0.01,1,0
1288,25,1;3015506|1;1054006|1;3175506,1;500000|12109;50|6;500,0.02,1,0
1288,30,2;1010;1|2;1019;1|2;1036;1,1;1000000|12109;90|6;1000,0.03,2,0
1288,35,3;900102|3;900403|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1289,20,3;900102|3;900301|3;900001,1;200000|12109;20|6;200,0.01,1,0
1289,25,1;3015506|1;1054006|1;3175506,1;500000|12109;50|6;500,0.02,1,0
1289,30,2;1010;1|2;1019;1|2;1036;1,1;1000000|12109;90|6;1000,0.03,2,0
1289,35,3;900102|3;900403|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1289,40,1;1151508|1;3016008|1;1098508,1;5000000|12109;220|6;5000,0.08,3,1
1291,20,3;900101|3;900401|3;900001,1;200000|12122;20|6;200,0.01,1,0
1291,25,1;1124506|1;3095006|1;1115506,1;500000|12122;50|6;500,0.02,1,0
1291,30,2;1037;1|2;1021;1|2;1042;1,1;1000000|12122;90|6;1000,0.03,2,0
1291,35,3;900103|3;900303|3;900504,1;2000000|12122;150|6;2000,0.04,2,0
1292,20,3;900101|3;900301|3;900001,1;200000|12108;20|6;200,0.01,1,0
1292,25,1;1124506|1;3095006|1;1115506,1;500000|12108;50|6;500,0.02,1,0
1292,30,2;1037;2|2;1021;2|2;1042;2,1;1000000|12108;90|6;1000,0.03,2,0
1292,35,3;900102|3;900302|3;900504,1;2000000|12108;150|6;2000,0.04,2,0
1292,40,1;1125008|1;1091508|1;3086008,1;5000000|12108;220|6;5000,0.08,3,1
1294,20,3;900201|3;900401|3;900001,1;200000|12109;20|6;200,0.01,1,0
1294,25,1;1055506|1;1141506|1;1135006,1;500000|12109;50|6;500,0.02,1,0
1294,30,2;1001;2|2;1017;2|2;1027;2,1;1000000|12109;90|6;1000,0.03,2,0
1294,35,3;900102|3;900302|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1295,20,3;900201|3;900401|3;900001,1;200000|12109;20|6;200,0.01,1,0
1295,25,1;1055506|1;1141506|1;1135006,1;500000|12109;50|6;500,0.02,1,0
1295,30,2;1001;2|2;1017;2|2;1027;2,1;1000000|12109;90|6;1000,0.03,2,0
1295,35,3;900103|3;900302|3;900504,1;2000000|12109;150|6;2000,0.04,2,0
1295,40,1;4098008|1;2164008|1;2093008,1;5000000|12109;220|6;5000,0.08,3,1
1296,20,3;900102|3;900401|3;900001,1;200000|12126;20|6;200,0.01,1,0
1296,25,1;3154506|1;1013506|1;3094006,1;500000|12126;50|6;500,0.02,1,0
1296,30,2;1049;2|2;1017;2|2;1036;2,1;1000000|12126;90|6;1000,0.03,2,0
1297,20,3;900102|3;900401|3;900001,1;200000|12126;20|6;200,0.01,1,0
1297,25,1;3154506|1;1013506|1;3094006,1;500000|12126;50|6;500,0.02,1,0
1297,30,2;1049;2|2;1017;2|2;1036;2,1;1000000|12126;90|6;1000,0.03,2,0
1297,35,3;900102|3;900303|3;900504,1;2000000|12126;150|6;2000,0.04,2,0
1297,40,1;1151508|1;3016008|1;1098508,1;5000000|12126;220|6;5000,0.08,3,1
1299,20,3;900201|3;900301|3;900001,1;200000|12125;20|6;200,0.01,1,0
1299,25,1;3145506|1;1055006|1;3164006,1;500000|12125;50|6;500,0.02,1,0
1299,30,2;1046;2|2;1021;2|2;1036;2,1;1000000|12125;90|6;1000,0.03,2,0
1299,35,3;900102|3;900402|3;900504,1;2000000|12125;150|6;2000,0.04,2,0
1302,20,3;900101|3;900301|3;900001,1;200000|12108;20|6;200,0.01,1,0
1302,25,1;1185506|1;1173006|1;3055506,1;500000|12108;50|6;500,0.02,1,0
1302,30,2;1054;2|2;1020;2|2;1044;2,1;1000000|12108;90|6;1000,0.03,2,0
1302,35,3;900102|3;900302|3;900504,1;2000000|12108;150|6;2000,0.04,2,0
1302,40,1;1185008|1;1175008|1;1056508,1;5000000|12108;220|6;5000,0.08,3,1
1303,20,3;900101|3;900301|3;900001,1;200000|12128;20|6;200,0.01,1,0
1303,25,1;1155006|1;1013006|1;3044006,1;500000|12128;50|6;500,0.02,1,0
1303,30,2;1007;2|2;1019;2|2;1043;2,1;1000000|12128;90|6;1000,0.03,2,0
1303,35,3;900102|3;900302|3;900504,1;2000000|12128;150|6;2000,0.04,2,0
1303,40,1;1155008|1;1013508|1;1047008,1;5000000|12128;220|6;5000,0.08,3,1
1304,20,3;900101|3;900301|3;900001,1;200000|12128;20|6;200,0.01,1,0
1304,25,1;1014506|1;3135506|1;1144006,1;500000|12128;50|6;500,0.02,1,0
1304,30,2;1010|2;1021|2;1043,1;1000000|12128;90|6;1000,0.03,2,0
1305,20,3;900101|3;900301|3;900001,1;200000|12128;20|6;200,0.01,1,0
1305,25,1;1014506|1;3135506|1;1144006,1;500000|12128;50|6;500,0.02,1,0
1305,30,2;1010;1|2;1021;1|2;1043;1,1;1000000|12128;90|6;1000,0.03,2,0
1305,35,3;900102|3;900302|3;900504,1;2000000|12128;150|6;2000,0.04,2,0
1306,20,3;900101|3;900301|3;900001,1;200000|12128;20|6;200,0.01,1,0
1306,25,1;1014506|1;3135506|1;1144006,1;500000|12128;50|6;500,0.02,1,0
1306,30,2;1010;2|2;1021;2|2;1043;2,1;1000000|12128;90|6;1000,0.03,2,0
1306,35,3;900102|3;900302|3;900504,1;2000000|12128;150|6;2000,0.04,2,0
1306,40,1;3015008|1;3136008|1;3146008,1;5000000|12128;220|6;5000,0.08,3,1
1307,20,3;900101|3;900301|3;900001,1;200000|12127;20|6;200,0.01,1,0
1307,25,1;1125506|1;1053506|1;1153506,1;500000|12127;50|6;500,0.02,1,0
1307,30,2;1010;1|2;1019;1|2;1043;1,1;1000000|12127;90|6;1000,0.03,2,0
1307,35,3;900102|3;900302|3;900504,1;2000000|12127;150|6;2000,0.04,2,0
1308,20,3;900101|3;900301|3;900001,1;200000|12127;20|6;200,0.01,1,0
1308,25,1;1125506|1;1053506|1;1153506,1;500000|12127;50|6;500,0.02,1,0
1308,30,2;1010;2|2;1019;2|2;1043;2,1;1000000|12127;90|6;1000,0.03,2,0
1308,35,3;900102|3;900302|3;900504,1;2000000|12127;150|6;2000,0.04,2,0
1308,40,1;1122008|1;1053008|1;1157008,1;5000000|12127;220|6;5000,0.08,3,1
1309,20,3;900201|3;900301|3;900001,1;200000|12121;20|6;200,0.01,1,0
1309,25,1;2135006|1;2012506|1;2105006,1;500000|12121;50|6;500,0.02,1,0
1309,30,2;1053;1|2;1018;1|2;1042;1,1;1000000|12121;90|6;1000,0.03,2,0
1309,35,3;900202|3;900402|3;900504,1;2000000|12121;150|6;2000,0.04,2,0
1310,20,3;900201|3;900301|3;900001,1;200000|12121;20|6;200,0.01,1,0
1310,25,1;2135006|1;2012506|1;2105006,1;500000|12121;50|6;500,0.02,1,0
1310,30,2;1053;2|2;1018;2|2;1042;2,1;1000000|12121;90|6;1000,0.03,2,0
1310,35,3;900202|3;900402|3;900504,1;2000000|12121;150|6;2000,0.04,2,0
1310,40,1;4138508|1;4015008|1;2106508,1;5000000|12121;220|6;5000,0.08,3,1
1311,20,3;900201|3;900401|3;900001,1;200000|12121;20|6;200,0.01,1,0
1311,25,1;2044006|1;2092506|1;2104006,1;500000|12121;50|6;500,0.02,1,0
1312,20,3;900201|3;900401|3;900001,1;200000|12121;20|6;200,0.01,1,0
1312,25,1;2042506|1;4094006|1;2104506,1;500000|12121;50|6;500,0.02,1,0
1318,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1318,25,1;1183006|1;1052506|1;3054506,1;500000|12102;50|6;500,0.02,1,0
1318,30,2;1033;1|2;1020;1|2;1043;1,1;1000000|12102;90|6;1000,0.03,2,0
1318,35,3;900102|3;900302|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1319,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1319,25,1;1183006|1;1052506|1;3054506,1;500000|12102;50|6;500,0.02,1,0
1319,30,2;1033;2|2;1020;2|2;1043;2,1;1000000|12102;90|6;1000,0.03,2,0
1319,35,3;900102|3;900302|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1319,40,1;3187008|1;3055508|1;3056008,1;5000000|12102;220|6;5000,0.08,3,1
1320,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1320,25,1;1132506|1;1095506|1;3024506,1;500000|12102;50|6;500,0.02,1,0
1320,30,2;1033;1|2;1015;1|2;1027;1,1;1000000|12102;90|6;1000,0.03,2,0
1320,35,3;900102|3;900302|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1321,20,3;900101|3;900301|3;900001,1;200000|12102;20|6;200,0.01,1,0
1321,25,1;1132506|1;1095506|1;3024506,1;500000|12102;50|6;500,0.02,1,0
1321,30,2;1033;2|2;1015;2|2;1027;2,1;1000000|12102;90|6;1000,0.03,2,0
1321,35,3;900102|3;900302|3;900504,1;2000000|12102;150|6;2000,0.04,2,0
1321,40,1;1137508|1;1096508|1;1026508,1;5000000|12102;220|6;5000,0.08,3,1
1322,20,3;900201|3;900401|3;900001,1;200000|12101;20|6;200,0.01,1,0
1322,25,1;2171506|1;4144506|1;2131506,1;500000|12101;50|6;500,0.02,1,0
1322,30,2;1023|2;1020|2;1043,1;1000000|12101;90|6;1000,0.03,2,0
1323,20,3;900201|3;900401|3;900001,1;200000|12101;20|6;200,0.01,1,0
1323,25,1;2171506|1;4144506|1;2131506,1;500000|12101;50|6;500,0.02,1,0
1323,30,2;1023;2|2;1020;2|2;1043;2,1;1000000|12101;90|6;1000,0.03,2,0
1323,35,3;900203|3;900403|3;900504,1;2000000|12101;150|6;2000,0.04,2,0
1323,40,1;4177008|1;4148508|1;4018008,1;5000000|12101;220|6;5000,0.08,3,1
1328,20,3;900101|3;900301|3;900001,1;200000|12124;20|6;200,0.01,1,0
1328,25,1;1125006|1;3015506|1;1065506,1;500000|12124;50|6;500,0.02,1,0
1328,30,2;1050|2;1017|2;1026,1;1000000|12124;90|6;1000,0.03,2,0
1329,20,3;900101|3;900301|3;900001,1;200000|12124;20|6;200,0.01,1,0
1329,25,1;1125006|1;3015506|1;1065506,1;500000|12124;50|6;500,0.02,1,0
1329,30,2;1050;1|2;1017;1|2;1026;1,1;1000000|12124;90|6;1000,0.03,2,0
1329,35,3;900102|3;900302|3;900504,1;2000000|12124;150|6;2000,0.04,2,0
1330,20,3;900101|3;900301|3;900001,1;200000|12124;20|6;200,0.01,1,0
1330,25,1;1125006|1;3015506|1;1065506,1;500000|12124;50|6;500,0.02,1,0
1330,30,2;1050;2|2;1017;2|2;1026;2,1;1000000|12124;90|6;1000,0.03,2,0
1330,35,3;900102|3;900302|3;900504,1;2000000|12124;150|6;2000,0.04,2,0
1330,40,1;1125508|1;1012508|1;1065008,1;5000000|12124;220|6;5000,0.08,3,1
1331,20,3;900201|3;900401|3;900001,1;200000|12103;20|6;200,0.01,1,0
1331,25,1;3055506|1;1133006|1;1093506,1;500000|12103;50|6;500,0.02,1,0
1331,30,2;1025;1|2;1017;1|2;1036;1,1;1000000|12103;90|6;1000,0.03,2,0
1331,35,3;900102|3;900302|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1332,20,3;900201|3;900401|3;900001,1;200000|12103;20|6;200,0.01,1,0
1332,25,1;3055506|1;1133006|1;1093506,1;500000|12103;50|6;500,0.02,1,0
1332,30,2;1025;1|2;1017;1|2;1036;1,1;1000000|12103;90|6;1000,0.03,2,0
1332,35,3;900102|3;900302|3;900504,1;2000000|12103;150|6;2000,0.04,2,0
1332,40,1;1183508|1;1142508|1;1057008,1;5000000|12103;220|6;5000,0.08,3,1
1333,20,3;900101|3;900201|3;900001,1;200000|12109;20|6;200,0.01,1,0
1333,25,1;3094506|1;1103506|1;1123006,1;500000|12109;50|6;500,0.02,1,0
1333,30,2;1032|2;1020|2;1043,1;1000000|12109;90|6;1000,0.03,2,0
1334,20,3;900101|3;900201|3;900001,1;200000|12106;20|6;200,0.01,1,0
1334,25,1;3094506|1;1103506|1;1123006,1;500000|12106;50|6;500,0.02,1,0
1334,30,2;1032;2|2;1020;2|2;1043;2,1;1000000|12106;90|6;1000,0.03,2,0
1334,35,3;900102|3;900202|3;900504,1;2000000|12106;150|6;2000,0.04,2,0
1334,40,1;3097508|1;3106508|1;1048508,1;5000000|12106;220|6;5000,0.08,3,1
