副本ID,关卡名,关卡背景资源,战斗波数,过关金币（每一关胜利的获得）,过关宝可梦经验（每一关胜利的获得）,过关主角经验（每一关胜利的获得）,"关卡可能掉落的道具，格式为 掉率,道具ID,数量|其它…",挂机获得金币，单位每分钟,挂机获得宠物经验，单位每分钟,挂机人物经验（单位：分钟）不用收取，自动获得，经验到达等级后自动升级，在线离线都增加,挂机金币上限,挂机经验上限,阵型,BOSS（1为boss，不填或0为普通）,自动战力
1744,,5,4,45000,220260,3000,"100,700108,1|100,12001,3|100,12002,3|100,10702,1",11008,6102,838,15851520,8786880,329,0,12888000
1745,,5,4,45000,220270,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",11014,6103,838,15860160,8788320,429,1,12905625
1746,,5,4,45000,220280,3000,"100,700205,1|100,12001,3|100,12002,3|100,10702,1",11020,6103,838,15868800,8788320,29,0,12923250
1747,,5,4,45000,220290,3000,"100,700206,1|100,12001,3|100,12002,3|100,10702,1",11026,6103,838,15877440,8788320,129,0,12940875
1748,,5,4,45000,220300,3000,"100,700207,1|100,12001,3|100,12002,3|100,10702,1",11032,6104,838,15886080,8789760,229,0,12958500
1749,,5,4,45000,220310,3000,"100,700208,1|100,12001,3|100,12002,3|100,10702,1",11038,6104,838,15894720,8789760,329,0,12976125
1750,,5,4,45000,220320,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",11044,6104,838,15903360,8789760,429,1,12993750
1751,,5,4,45000,220330,3000,"100,700305,1|100,12001,3|100,12002,3|100,10702,1",11050,6104,838,15912000,8789760,29,0,13011375
1752,,5,4,45000,220340,3000,"100,700306,1|100,12001,3|100,12002,3|100,10702,1",11056,6105,838,15920640,8791200,129,0,13029000
1753,,5,4,45000,220350,3000,"100,700307,1|100,12001,3|100,12002,3|100,10702,1",11062,6105,838,15929280,8791200,229,0,13046625
1754,,5,4,45000,220360,3000,"100,700308,1|100,12001,3|100,12002,3|100,10702,1",11068,6105,838,15937920,8791200,329,0,13064250
1755,,5,4,45000,220370,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",11074,6105,838,15946560,8791200,429,1,13081875
1756,,6,4,45000,220380,3000,"100,700405,1|100,12001,3|100,12002,3|100,10702,1",11080,6106,838,15955200,8792640,29,0,13099500
1757,,6,4,45000,220390,3000,"100,700406,1|100,12001,3|100,12002,3|100,10702,1",11086,6106,838,15963840,8792640,129,0,13117125
1758,,6,4,45000,220400,3000,"100,700407,1|100,12001,3|100,12002,3|100,10702,1",11092,6106,838,15972480,8792640,229,0,13134750
1759,,6,4,45000,220410,3000,"100,700408,1|100,12001,3|100,12002,3|100,10702,1",11098,6107,838,15981120,8794080,329,0,13152375
1760,,6,4,45000,220420,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",11104,6107,838,15989760,8794080,429,1,13170000
1761,,6,4,45000,220430,3000,"100,700105,1|100,12001,3|100,12002,3|100,10702,1",11110,6107,839,15998400,8794080,29,0,13187625
1762,,6,4,45000,220440,3000,"100,700106,1|100,12001,3|100,12002,3|100,10702,1",11116,6107,839,16007040,8794080,129,0,13205250
1763,,6,4,45000,220450,3000,"100,700107,1|100,12001,3|100,12002,3|100,10702,1",11122,6108,839,16015680,8795520,229,0,13222875
1764,,6,4,45000,220460,3000,"100,700108,1|100,12001,3|100,12002,3|100,10702,1",11128,6108,839,16024320,8795520,329,0,13240500
1765,,6,4,45000,220470,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",11134,6108,839,16032960,8795520,429,1,13258125
1766,,6,4,45000,220480,3000,"100,700205,1|100,12001,3|100,12002,3|100,10702,1",11140,6108,839,16041600,8795520,25,0,13275750
1767,,6,4,45000,220490,3000,"100,700206,1|100,12001,3|100,12002,3|100,10702,1",11146,6109,839,16050240,8796960,125,0,13293375
1768,,6,4,45000,220500,3000,"100,700207,1|100,12001,3|100,12002,3|100,10702,1",11152,6109,839,16058880,8796960,225,0,13311000
1769,,6,4,45000,220510,3000,"100,700208,1|100,12001,3|100,12002,3|100,10702,1",11158,6109,839,16067520,8796960,325,0,13328625
1770,,6,4,45000,220520,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",11164,6110,839,16076160,8798400,425,1,13346250
1771,,6,4,45000,220530,3000,"100,700305,1|100,12001,3|100,12002,3|100,10702,1",11170,6110,839,16084800,8798400,25,0,13363875
1772,,6,4,45000,220540,3000,"100,700306,1|100,12001,3|100,12002,3|100,10702,1",11176,6110,839,16093440,8798400,125,0,13381500
1773,,6,4,45000,220550,3000,"100,700307,1|100,12001,3|100,12002,3|100,10702,1",11182,6110,839,16102080,8798400,225,0,13399125
1774,,6,4,45000,220560,3000,"100,700308,1|100,12001,3|100,12002,3|100,10702,1",11188,6111,839,16110720,8799840,325,0,13416750
1775,,6,4,45000,220570,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",11194,6111,839,16119360,8799840,425,1,13434375
1776,,7,4,45000,220580,3000,"100,700405,1|100,12001,3|100,12002,3|100,10702,1",11200,6111,839,16128000,8799840,25,0,13452000
1777,,7,4,45000,220590,3000,"100,700406,1|100,12001,3|100,12002,3|100,10702,1",11206,6111,839,16136640,8799840,125,0,13469625
1778,,7,4,45000,220600,3000,"100,700407,1|100,12001,3|100,12002,3|100,10702,1",11212,6112,839,16145280,8801280,225,0,13487250
1779,,7,4,45000,220610,3000,"100,700408,1|100,12001,3|100,12002,3|100,10702,1",11218,6112,839,16153920,8801280,325,0,13504875
1780,,7,4,45000,220620,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",11224,6112,839,16162560,8801280,425,1,13522500
1781,,7,4,45000,220630,3000,"100,700105,1|100,12001,3|100,12002,3|100,10702,1",11230,6112,840,16171200,8801280,25,0,13540125
1782,,7,4,45000,220640,3000,"100,700106,1|100,12001,3|100,12002,3|100,10702,1",11236,6113,840,16179840,8802720,125,0,13557750
1783,,7,4,45000,220650,3000,"100,700107,1|100,12001,3|100,12002,3|100,10702,1",11242,6113,840,16188480,8802720,225,0,13575375
1784,,7,4,45000,220660,3000,"100,700108,1|100,12001,3|100,12002,3|100,10702,1",11248,6113,840,16197120,8802720,325,0,13593000
1785,,7,4,45000,220670,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",11254,6114,840,16205760,8804160,425,1,13610625
1786,,7,4,45000,220680,3000,"100,700205,1|100,12001,3|100,12002,3|100,10702,1",11260,6114,840,16214400,8804160,25,0,13628250
1787,,7,4,45000,220690,3000,"100,700206,1|100,12001,3|100,12002,3|100,10702,1",11266,6114,840,16223040,8804160,125,0,13645875
1788,,7,4,45000,220700,3000,"100,700207,1|100,12001,3|100,12002,3|100,10702,1",11272,6114,840,16231680,8804160,225,0,13663500
1789,,7,4,45000,220710,3000,"100,700208,1|100,12001,3|100,12002,3|100,10702,1",11278,6115,840,16240320,8805600,325,0,13681125
1790,,7,4,45000,220720,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",11284,6115,840,16248960,8805600,425,1,13698750
1791,,7,4,45000,220730,3000,"100,700305,1|100,12001,3|100,12002,3|100,10702,1",11290,6115,840,16257600,8805600,25,0,13716375
1792,,7,4,45000,220740,3000,"100,700306,1|100,12001,3|100,12002,3|100,10702,1",11296,6115,840,16266240,8805600,125,0,13734000
1793,,7,4,45000,220750,3000,"100,700307,1|100,12001,3|100,12002,3|100,10702,1",11302,6116,840,16274880,8807040,225,0,13751625
1794,,7,4,45000,220760,3000,"100,700308,1|100,12001,3|100,12002,3|100,10702,1",11308,6116,840,16283520,8807040,325,0,13769250
1795,,7,4,45000,220770,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",11314,6116,840,16292160,8807040,425,1,13786875
1796,,8,4,45000,220780,3000,"100,700405,1|100,12001,3|100,12002,3|100,10702,1",11320,6117,840,16300800,8808480,25,0,13804500
1797,,8,4,45000,220790,3000,"100,700406,1|100,12001,3|100,12002,3|100,10702,1",11326,6117,840,16309440,8808480,125,0,13822125
1798,,8,4,45000,220800,3000,"100,700407,1|100,12001,3|100,12002,3|100,10702,1",11332,6117,840,16318080,8808480,225,0,13839750
1799,,8,4,45000,220810,3000,"100,700408,1|100,12001,3|100,12002,3|100,10702,1",11338,6117,840,16326720,8808480,325,0,13857375
1800,,8,4,45000,220820,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",11344,6118,840,16335360,8809920,425,1,13875000
1801,,8,4,46800,220830,3000,"100,700105,1|100,12001,3|100,12002,3|100,10702,1",11350,6118,841,16344000,8809920,25,0,13894125
1802,,8,4,46800,220840,3000,"100,700106,1|100,12001,3|100,12002,3|100,10702,1",11356,6118,841,16352640,8809920,125,0,13913250
1803,,8,4,46800,220850,3000,"100,700107,1|100,12001,3|100,12002,3|100,10702,1",11362,6118,841,16361280,8809920,225,0,13932375
1804,,8,4,46800,220860,3000,"100,700108,1|100,12001,3|100,12002,3|100,10702,1",11368,6119,841,16369920,8811360,325,0,13951500
1805,,8,4,46800,220870,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",11374,6119,841,16378560,8811360,425,1,13970625
1806,,8,4,46800,220880,3000,"100,700205,1|100,12001,3|100,12002,3|100,10702,1",11380,6119,841,16387200,8811360,25,0,13989750
1807,,8,4,46800,220890,3000,"100,700206,1|100,12001,3|100,12002,3|100,10702,1",11386,6120,841,16395840,8812800,125,0,14008875
1808,,8,4,46800,220900,3000,"100,700207,1|100,12001,3|100,12002,3|100,10702,1",11392,6120,841,16404480,8812800,225,0,14028000
1809,,8,4,46800,220910,3000,"100,700208,1|100,12001,3|100,12002,3|100,10702,1",11398,6120,841,16413120,8812800,325,0,14047125
1810,,8,4,46800,220920,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",11404,6120,841,16421760,8812800,425,1,14066250
1811,,8,4,46800,220930,3000,"100,700305,1|100,12001,3|100,12002,3|100,10702,1",11410,6121,841,16430400,8814240,25,0,14085375
1812,,8,4,46800,220940,3000,"100,700306,1|100,12001,3|100,12002,3|100,10702,1",11416,6121,841,16439040,8814240,125,0,14104500
1813,,8,4,46800,220950,3000,"100,700307,1|100,12001,3|100,12002,3|100,10702,1",11422,6121,841,16447680,8814240,225,0,14123625
1814,,8,4,46800,220960,3000,"100,700308,1|100,12001,3|100,12002,3|100,10702,1",11428,6121,841,16456320,8814240,325,0,14142750
1815,,8,4,46800,220970,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",11434,6122,841,16464960,8815680,425,1,14161875
1816,,9,4,46800,220980,3000,"100,700405,1|100,12001,3|100,12002,3|100,10702,1",11440,6122,841,16473600,8815680,25,0,14181000
1817,,9,4,46800,220990,3000,"100,700406,1|100,12001,3|100,12002,3|100,10702,1",11446,6122,841,16482240,8815680,125,0,14200125
1818,,9,4,46800,221000,3000,"100,700407,1|100,12001,3|100,12002,3|100,10702,1",11452,6122,841,16490880,8815680,225,0,14219250
1819,,9,4,46800,221010,3000,"100,700408,1|100,12001,3|100,12002,3|100,10702,1",11458,6123,841,16499520,8817120,325,0,14238375
1820,,9,4,46800,221020,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",11464,6123,841,16508160,8817120,425,1,14257500
1821,,9,4,46800,221030,3000,"100,700105,1|100,12001,3|100,12002,3|100,10702,1",11470,6123,842,16516800,8817120,25,0,14276625
1822,,9,4,46800,221040,3000,"100,700106,1|100,12001,3|100,12002,3|100,10702,1",11476,6124,842,16525440,8818560,125,0,14295750
1823,,9,4,46800,221050,3000,"100,700107,1|100,12001,3|100,12002,3|100,10702,1",11482,6124,842,16534080,8818560,225,0,14314875
1824,,9,4,46800,221060,3000,"100,700108,1|100,12001,3|100,12002,3|100,10702,1",11488,6124,842,16542720,8818560,325,0,14334000
1825,,9,4,46800,221070,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",11494,6124,842,16551360,8818560,425,1,14353125
1826,,9,4,46800,221080,3000,"100,700205,1|100,12001,3|100,12002,3|100,10702,1",11500,6125,842,16560000,8820000,25,0,14372250
1827,,9,4,46800,221090,3000,"100,700206,1|100,12001,3|100,12002,3|100,10702,1",11506,6125,842,16568640,8820000,125,0,14391375
1828,,9,4,46800,221100,3000,"100,700207,1|100,12001,3|100,12002,3|100,10702,1",11512,6125,842,16577280,8820000,225,0,14410500
1829,,9,4,46800,221110,3000,"100,700208,1|100,12001,3|100,12002,3|100,10702,1",11518,6125,842,16585920,8820000,325,0,14429625
1830,,9,4,46800,221120,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",11524,6126,842,16594560,8821440,425,1,14448750
1831,,9,4,46800,221130,3000,"100,700305,1|100,12001,3|100,12002,3|100,10702,1",11530,6126,842,16603200,8821440,27,0,14467875
1832,,9,4,46800,221140,3000,"100,700306,1|100,12001,3|100,12002,3|100,10702,1",11536,6126,842,16611840,8821440,127,0,14487000
1833,,9,4,46800,221150,3000,"100,700307,1|100,12001,3|100,12002,3|100,10702,1",11542,6127,842,16620480,8822880,227,0,14506125
1834,,9,4,46800,221160,3000,"100,700308,1|100,12001,3|100,12002,3|100,10702,1",11548,6127,842,16629120,8822880,327,0,14525250
1835,,9,4,46800,221170,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",11554,6127,842,16637760,8822880,427,1,14544375
1836,,10,4,46800,221180,3000,"100,700405,1|100,12001,3|100,12002,3|100,10702,1",11560,6127,842,16646400,8822880,27,0,14563500
1837,,10,4,46800,221190,3000,"100,700406,1|100,12001,3|100,12002,3|100,10702,1",11566,6128,842,16655040,8824320,127,0,14582625
1838,,10,4,46800,221200,3000,"100,700407,1|100,12001,3|100,12002,3|100,10702,1",11572,6128,842,16663680,8824320,227,0,14601750
1839,,10,4,46800,221210,3000,"100,700408,1|100,12001,3|100,12002,3|100,10702,1",11578,6128,842,16672320,8824320,327,0,14620875
1840,,10,4,46800,221220,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",11584,6128,842,16680960,8824320,427,1,14640000
1841,,10,4,46800,221230,3000,"100,700105,1|100,12001,3|100,12002,3|100,10702,1",11590,6129,843,16689600,8825760,27,0,14659125
1842,,10,4,46800,221240,3000,"100,700106,1|100,12001,3|100,12002,3|100,10702,1",11596,6129,843,16698240,8825760,127,0,14678250
1843,,10,4,46800,221250,3000,"100,700107,1|100,12001,3|100,12002,3|100,10702,1",11602,6129,843,16706880,8825760,227,0,14697375
1844,,10,4,46800,221260,3000,"100,700108,1|100,12001,3|100,12002,3|100,10702,1",11608,6130,843,16715520,8827200,327,0,14716500
1845,,10,4,46800,221270,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",11614,6130,843,16724160,8827200,427,1,14735625
1846,,10,4,46800,221280,3000,"100,700205,1|100,12001,3|100,12002,3|100,10702,1",11620,6130,843,16732800,8827200,27,0,14754750
1847,,10,4,46800,221290,3000,"100,700206,1|100,12001,3|100,12002,3|100,10702,1",11626,6130,843,16741440,8827200,127,0,14773875
1848,,10,4,46800,221300,3000,"100,700207,1|100,12001,3|100,12002,3|100,10702,1",11632,6131,843,16750080,8828640,227,0,14793000
1849,,10,4,46800,221310,3000,"100,700208,1|100,12001,3|100,12002,3|100,10702,1",11638,6131,843,16758720,8828640,327,0,14812125
1850,,10,4,46800,221320,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",11644,6131,843,16767360,8828640,427,1,14831250
1851,,10,4,46800,221330,3000,"100,700305,1|100,12001,3|100,12002,3|100,10702,1",11650,6131,843,16776000,8828640,27,0,14850375
1852,,10,4,46800,221340,3000,"100,700306,1|100,12001,3|100,12002,3|100,10702,1",11656,6132,843,16784640,8830080,127,0,14869500
1853,,10,4,46800,221350,3000,"100,700307,1|100,12001,3|100,12002,3|100,10702,1",11662,6132,843,16793280,8830080,227,0,14888625
1854,,10,4,46800,221360,3000,"100,700308,1|100,12001,3|100,12002,3|100,10702,1",11668,6132,843,16801920,8830080,327,0,14907750
1855,,10,4,46800,221370,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",11674,6132,843,16810560,8830080,427,1,14926875
1856,,11,4,46800,221380,3000,"100,700405,1|100,12001,3|100,12002,3|100,10702,1",11680,6133,843,16819200,8831520,27,0,14946000
1857,,11,4,46800,221390,3000,"100,700406,1|100,12001,3|100,12002,3|100,10702,1",11686,6133,843,16827840,8831520,127,0,14965125
1858,,11,4,46800,221400,3000,"100,700407,1|100,12001,3|100,12002,3|100,10702,1",11692,6133,843,16836480,8831520,227,0,14984250
1859,,11,4,46800,221410,3000,"100,700408,1|100,12001,3|100,12002,3|100,10702,1",11698,6134,843,16845120,8832960,327,0,15003375
1860,,11,4,46800,221420,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",11704,6134,843,16853760,8832960,427,1,15022500
1861,,11,4,46800,221430,3000,"100,700105,1|100,12001,3|100,12002,3|100,10702,1",11710,6134,844,16862400,8832960,27,0,15041625
1862,,11,4,46800,221440,3000,"100,700106,1|100,12001,3|100,12002,3|100,10702,1",11716,6134,844,16871040,8832960,127,0,15060750
1863,,11,4,46800,221450,3000,"100,700107,1|100,12001,3|100,12002,3|100,10702,1",11722,6135,844,16879680,8834400,227,0,15079875
1864,,11,4,46800,221460,3000,"100,700108,1|100,12001,3|100,12002,3|100,10702,1",11728,6135,844,16888320,8834400,327,0,15099000
1865,,11,4,46800,221470,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",11734,6135,844,16896960,8834400,427,1,15118125
1866,,11,4,46800,221480,3000,"100,700205,1|100,12001,3|100,12002,3|100,10702,1",11740,6135,844,16905600,8834400,27,0,15137250
1867,,11,4,46800,221490,3000,"100,700206,1|100,12001,3|100,12002,3|100,10702,1",11746,6136,844,16914240,8835840,127,0,15156375
1868,,11,4,46800,221500,3000,"100,700207,1|100,12001,3|100,12002,3|100,10702,1",11752,6136,844,16922880,8835840,227,0,15175500
1869,,11,4,46800,221510,3000,"100,700208,1|100,12001,3|100,12002,3|100,10702,1",11758,6136,844,16931520,8835840,327,0,15194625
1870,,11,4,46800,221520,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",11764,6137,844,16940160,8837280,427,1,15213750
1871,,11,4,46800,221530,3000,"100,700305,1|100,12001,3|100,12002,3|100,10702,1",11770,6137,844,16948800,8837280,27,0,15232875
1872,,11,4,46800,221540,3000,"100,700306,1|100,12001,3|100,12002,3|100,10702,1",11776,6137,844,16957440,8837280,127,0,15252000
1873,,11,4,46800,221550,3000,"100,700307,1|100,12001,3|100,12002,3|100,10702,1",11782,6137,844,16966080,8837280,227,0,15271125
1874,,11,4,46800,221560,3000,"100,700308,1|100,12001,3|100,12002,3|100,10702,1",11788,6138,844,16974720,8838720,327,0,15290250
1875,,11,4,46800,221570,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",11794,6138,844,16983360,8838720,427,1,15309375
1876,,12,4,46800,221580,3000,"100,700405,1|100,12001,3|100,12002,3|100,10702,1",11800,6138,844,16992000,8838720,27,0,15328500
1877,,12,4,46800,221590,3000,"100,700406,1|100,12001,3|100,12002,3|100,10702,1",11806,6138,844,17000640,8838720,127,0,15347625
1878,,12,4,46800,221600,3000,"100,700407,1|100,12001,3|100,12002,3|100,10702,1",11812,6139,844,17009280,8840160,227,0,15366750
1879,,12,4,46800,221610,3000,"100,700408,1|100,12001,3|100,12002,3|100,10702,1",11818,6139,844,17017920,8840160,327,0,15385875
1880,,12,4,46800,221620,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",11824,6139,844,17026560,8840160,427,1,15405000
1881,,12,4,46800,221630,3000,"100,700105,1|100,12001,3|100,12002,3|100,10702,1",11830,6140,845,17035200,8841600,27,0,15424125
1882,,12,4,46800,221640,3000,"100,700106,1|100,12001,3|100,12002,3|100,10702,1",11836,6140,845,17043840,8841600,127,0,15443250
1883,,12,4,46800,221650,3000,"100,700107,1|100,12001,3|100,12002,3|100,10702,1",11842,6140,845,17052480,8841600,227,0,15462375
1884,,12,4,46800,221660,3000,"100,700108,1|100,12001,3|100,12002,3|100,10702,1",11848,6140,845,17061120,8841600,327,0,15481500
1885,,12,4,46800,221670,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",11854,6141,845,17069760,8843040,427,1,15500625
1886,,12,4,46800,221680,3000,"100,700205,1|100,12001,3|100,12002,3|100,10702,1",11860,6141,845,17078400,8843040,27,0,15519750
1887,,12,4,46800,221690,3000,"100,700206,1|100,12001,3|100,12002,3|100,10702,1",11866,6141,845,17087040,8843040,127,0,15538875
1888,,12,4,46800,221700,3000,"100,700207,1|100,12001,3|100,12002,3|100,10702,1",11872,6141,845,17095680,8843040,227,0,15558000
1889,,12,4,46800,221710,3000,"100,700208,1|100,12001,3|100,12002,3|100,10702,1",11878,6142,845,17104320,8844480,327,0,15577125
1890,,12,4,46800,221720,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",11884,6142,845,17112960,8844480,427,1,15596250
1891,,12,4,46800,221730,3000,"100,700305,1|100,12001,3|100,12002,3|100,10702,1",11890,6142,845,17121600,8844480,27,0,15615375
1892,,12,4,46800,221740,3000,"100,700306,1|100,12001,3|100,12002,3|100,10702,1",11896,6142,845,17130240,8844480,127,0,15634500
1893,,12,4,46800,221750,3000,"100,700307,1|100,12001,3|100,12002,3|100,10702,1",11902,6143,845,17138880,8845920,227,0,15653625
1894,,12,4,46800,221760,3000,"100,700308,1|100,12001,3|100,12002,3|100,10702,1",11908,6143,845,17147520,8845920,327,0,15672750
1895,,12,4,46800,221770,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",11914,6143,845,17156160,8845920,427,1,15691875
1896,,13,4,46800,221780,3000,"100,700405,1|100,12001,3|100,12002,3|100,10702,1",11920,6144,845,17164800,8847360,27,0,15711000
1897,,13,4,46800,221790,3000,"100,700406,1|100,12001,3|100,12002,3|100,10702,1",11926,6144,845,17173440,8847360,127,0,15730125
1898,,13,4,46800,221800,3000,"100,700407,1|100,12001,3|100,12002,3|100,10702,1",11932,6144,845,17182080,8847360,227,0,15749250
1899,,13,4,46800,221810,3000,"100,700408,1|100,12001,3|100,12002,3|100,10702,1",11938,6144,845,17190720,8847360,327,0,15768375
1900,,13,4,46800,221820,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",11944,6145,845,17199360,8848800,427,1,15787500
1901,,13,4,48600,221830,3000,"100,700105,1|100,12001,3|100,12002,3|100,10702,1",11950,6145,846,17208000,8848800,27,0,15808125
1902,,13,4,48600,221840,3000,"100,700106,1|100,12001,3|100,12002,3|100,10702,1",11956,6145,846,17216640,8848800,127,0,15828750
1903,,13,4,48600,221850,3000,"100,700107,1|100,12001,3|100,12002,3|100,10702,1",11962,6145,846,17225280,8848800,227,0,15849375
1904,,13,4,48600,221860,3000,"100,700108,1|100,12001,3|100,12002,3|100,10702,1",11968,6146,846,17233920,8850240,327,0,15870000
1905,,13,4,48600,221870,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",11974,6146,846,17242560,8850240,427,1,15890625
1906,,13,4,48600,221880,3000,"100,700205,1|100,12001,3|100,12002,3|100,10702,1",11980,6146,846,17251200,8850240,27,0,15911250
1907,,13,4,48600,221890,3000,"100,700206,1|100,12001,3|100,12002,3|100,10702,1",11986,6147,846,17259840,8851680,127,0,15931875
1908,,13,4,48600,221900,3000,"100,700207,1|100,12001,3|100,12002,3|100,10702,1",11992,6147,846,17268480,8851680,227,0,15952500
1909,,13,4,48600,221910,3000,"100,700208,1|100,12001,3|100,12002,3|100,10702,1",11998,6147,846,17277120,8851680,327,0,15973125
1910,,13,4,48600,221920,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12004,6147,846,17285760,8851680,427,1,15993750
1911,,13,4,48600,221930,3000,"100,700305,1|100,12001,3|100,12002,3|100,10702,1",12010,6148,846,17294400,8853120,27,0,16014375
1912,,13,4,48600,221940,3000,"100,700306,1|100,12001,3|100,12002,3|100,10702,1",12016,6148,846,17303040,8853120,127,0,16035000
1913,,13,4,48600,221950,3000,"100,700307,1|100,12001,3|100,12002,3|100,10702,1",12022,6148,846,17311680,8853120,227,0,16055625
1914,,13,4,48600,221960,3000,"100,700308,1|100,12001,3|100,12002,3|100,10702,1",12028,6148,846,17320320,8853120,327,0,16076250
1915,,13,4,48600,221970,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12034,6149,846,17328960,8854560,427,1,16096875
1916,,14,4,48600,221980,3000,"100,700405,1|100,12001,3|100,12002,3|100,10702,1",12040,6149,846,17337600,8854560,27,0,16117500
1917,,14,4,48600,221990,3000,"100,700406,1|100,12001,3|100,12002,3|100,10702,1",12046,6149,846,17346240,8854560,127,0,16138125
1918,,14,4,48600,222000,3000,"100,700407,1|100,12001,3|100,12002,3|100,10702,1",12052,6150,846,17354880,8856000,227,0,16158750
1919,,14,4,48600,222010,3000,"100,700408,1|100,12001,3|100,12002,3|100,10702,1",12058,6150,846,17363520,8856000,327,0,16179375
1920,,14,4,48600,222020,3000,"100,19002,6|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12064,6150,846,17372160,8856000,427,1,16200000
1921,,14,4,48600,222030,3000,"100,700105,1|100,12001,3|100,12002,3|100,10702,1",12070,6150,847,17380800,8856000,27,0,16220625
1922,,14,4,48600,222040,3000,"100,700106,1|100,12001,3|100,12002,3|100,10702,1",12076,6151,847,17389440,8857440,127,0,16241250
1923,,14,4,48600,222050,3000,"100,700107,1|100,12001,3|100,12002,3|100,10702,1",12082,6151,847,17398080,8857440,227,0,16261875
1924,,14,4,48600,222060,3000,"100,700108,1|100,12001,3|100,12002,3|100,10702,1",12088,6151,847,17406720,8857440,327,0,16282500
1925,,14,4,48600,222070,3000,"100,12003,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12094,6151,847,17415360,8857440,427,1,16303125
1926,,14,4,48600,222080,3000,"100,700205,1|100,12001,3|100,12002,3|100,10702,1",12100,6152,847,17424000,8858880,27,0,16323750
1927,,14,4,48600,222090,3000,"100,700206,1|100,12001,3|100,12002,3|100,10702,1",12106,6152,847,17432640,8858880,127,0,16344375
1928,,14,4,48600,222100,3000,"100,700207,1|100,12001,3|100,12002,3|100,10702,1",12112,6152,847,17441280,8858880,227,0,16365000
1929,,14,4,48600,222110,3000,"100,700208,1|100,12001,3|100,12002,3|100,10702,1",12118,6152,847,17449920,8858880,327,0,16385625
1930,,14,4,48600,222120,3000,"100,12004,2|100,12152,1|100,12231,1|100,12236,1|100,12246,1",12124,6153,847,17458560,8860320,427,1,16406250
1931,,14,4,48600,222130,3000,"100,700305,1|100,12001,3|100,12002,3|100,10702,1",12130,6153,847,17467200,8860320,29,0,16426875
1932,,14,4,48600,222140,3000,"100,700306,1|100,12001,3|100,12002,3|100,10702,1",12136,6153,847,17475840,8860320,129,0,16447500
1933,,14,4,48600,222150,3000,"100,700307,1|100,12001,3|100,12002,3|100,10702,1",12142,6154,847,17484480,8861760,229,0,16468125
1934,,14,4,48600,222160,3000,"100,700308,1|100,12001,3|100,12002,3|100,10702,1",12148,6154,847,17493120,8861760,329,0,16488750
1935,,14,4,48600,222170,3000,"100,12005,2|100,12152,1|100,12221,1|100,12226,1|100,12241,1",12154,6154,847,17501760,8861760,429,1,16509375
